method,run,group,n_events,coverage,accepted_secondary_fraction_mean,accepted_secondary_contribution,bad_proxy_contribution,mean_probability
traditional_template_fit,44,high_20nA,433,0.4618937644341801,0.5394145522005427,0.24915221810648625,0.0023094688221709007,0.4467667077703009
ridge_linear,44,high_20nA,433,0.05542725173210162,0.5668639365266739,0.03141971010771403,0.0,0.24160416514782665
gradient_boosted_trees,44,high_20nA,433,1.0,0.11040873677830158,0.11040873677830158,0.013856812933025405,0.2879846918358918
mlp,44,high_20nA,433,0.9792147806004619,0.11834931003007818,0.11588939365531904,0.013856812933025405,0.19303231666843218
cnn_1d_dual_head,44,high_20nA,433,0.006928406466512702,0.4033184051513672,0.0027943537570536137,0.0,0.3455124795436859
consensus_abstention_ensemble,44,high_20nA,433,0.10623556581986143,0.22538037245992215,0.02394341139297095,0.0,0.2755098241084067
traditional_template_fit,45,high_20nA,640,0.434375,0.5319338443386844,0.23105876363461603,0.00625,0.42165233863093105
ridge_linear,45,high_20nA,640,0.046875,0.6092418526532012,0.028558211843118807,0.0015625,0.25772148715304943
gradient_boosted_trees,45,high_20nA,640,1.0,0.08693647348878354,0.08693647348878354,0.0265625,0.2666420515738303
mlp,45,high_20nA,640,0.9765625,0.055344676967896786,0.0540475361014617,0.0265625,0.11296223430968744
cnn_1d_dual_head,45,high_20nA,640,0.0078125,0.4960673451423645,0.0038755261339247227,0.0,0.3020738661289215
consensus_abstention_ensemble,45,high_20nA,640,0.0359375,0.18916194442435902,0.006798007377750402,0.003125,0.2272260429156124
traditional_template_fit,46,low_2nA,278,0.6294964028776978,0.5178854035260613,0.3260069986225205,0.0,0.6155338179290525
ridge_linear,46,low_2nA,278,0.014388489208633094,0.44772473850647376,0.006442082568438472,0.0,0.1804542994928117
gradient_boosted_trees,46,low_2nA,278,0.01079136690647482,0.1965453375217987,0.002120992850954662,0.0,0.20737720030659626
mlp,46,low_2nA,278,1.0,0.030343832575225056,0.030343832575225056,0.0,0.061715042639380394
cnn_1d_dual_head,46,low_2nA,278,0.0,,0.0,0.0,0.3590087890625
consensus_abstention_ensemble,46,low_2nA,278,0.03597122302158273,0.11739137026070283,0.0042227111604569365,0.0,0.20936700885598158
traditional_template_fit,47,low_2nA,464,0.47629310344827586,0.5471564242112014,0.2606068313592144,0.0,0.46540949482661004
ridge_linear,47,low_2nA,464,0.017241379310344827,0.4170752184205798,0.007190952041734135,0.0021551724137931034,0.17793018569811309
gradient_boosted_trees,47,low_2nA,464,0.01293103448275862,0.273133917987693,0.003531904111909823,0.0021551724137931034,0.22042392850891163
