method,coverage,coverage_ci_low,coverage_ci_high,accepted_secondary_fraction,accepted_secondary_fraction_ci_low,accepted_secondary_fraction_ci_high,accepted_time_residual_proxy_rms_ns,accepted_time_residual_proxy_rms_ns_ci_low,accepted_time_residual_proxy_rms_ns_ci_high,bad_proxy_rate,bad_proxy_rate_ci_low,bad_proxy_rate_ci_high,high_amp_large_lowering_broad_late_retention,high_amp_large_lowering_broad_late_retention_ci_low,high_amp_large_lowering_broad_late_retention_ci_high,risk_coverage_score,risk_coverage_score_ci_low,risk_coverage_score_ci_high,risk_coverage_delta_vs_traditional,risk_coverage_delta_vs_traditional_ci_low,risk_coverage_delta_vs_traditional_ci_high,n_bootstrap,selection_score
traditional_template_fit,0.4338489070688994,0.42131764187779364,0.44704237835342786,0.5293153114201988,0.5243623734057512,0.534225961743347,2.0931385333220427,2.07911172522652,2.110145429819669,0.007071302298173247,0.004599293824458357,0.009710604975962352,0.23877327491785322,0.18888328350772296,0.3011160714285714,0.43078103029528314,0.41829781202293237,0.44426410617561213,0.0,0.0,0.0,500,1.330875339167959
mlp,0.9750735012143679,0.963991763939896,0.9865525438615538,0.09946385324249171,0.07816037091188935,0.12354451388485303,6.315384213709235,5.943520978225616,6.724504668174987,0.02136864184583115,0.01820070561736178,0.02438515913216994,0.9879518072289156,0.9744625345250287,0.9979414058148601,0.9542375047935574,0.9422785700930235,0.9664403617787828,0.5235471194053529,0.5133665264128264,0.5362042792868046,500,4.249457707883728
gradient_boosted_trees,0.9063019302058034,0.8820939823458472,0.929869969994539,0.08906065057513937,0.0849491466715861,0.09426089605501813,6.806030221487126,6.576266801722117,7.100818901276157,0.022708039492242597,0.01937912627985277,0.025687773749916456,0.9726177437020811,0.9477866061293984,0.9957671957671957,0.8857215901827943,0.8619048339638893,0.9095850157371467,0.4548973946459092,0.43109293893343176,0.4783317224002752,500,4.882704293336706
cnn_1d_dual_head,0.0795091397162214,0.0022322238993022865,0.23665922432767936,0.11900028603906082,0.08613731236529583,0.6079635840935512,8.962863962972767,7.052009587322004,27.478913671933956,0.014469453376205787,0.0,0.015530854471737854,0.07338444687842278,0.0011412639066085794,0.23539075550199148,0.07835868592611529,0.0022322238993022865,0.23302418939465064,-0.3569723879574958,-0.43548844966722877,-0.1985910627603569,500,9.030665967291716
consensus_abstention_ensemble,0.0664706634283523,0.05137788287194301,0.08435867174223517,0.16475658178824648,0.14690432373522497,0.18629364135982399,11.581218336807185,9.777233394691995,12.868327994370278,0.04423076923076923,0.016255671617431043,0.07609288916264585,0.10843373493975904,0.07464706299659478,0.15072944012703046,0.06353061485363672,0.04883751387174435,0.08190488778448232,-0.36643531788085487,-0.38413511871816125,-0.34666873139927756,500,12.169232452878743
ridge_linear,0.04128850824491883,0.035326265070835465,0.04772317295531362,0.48441350127386296,0.42212129992870867,0.5464899580016165,12.291154636326967,10.308662811355067,14.500506428470347,0.04953560371517028,0.0211300050259675,0.08054298642533937,0.10186199342825848,0.05885559897717952,0.15431031342606627,0.03924325706250799,0.03308805454738084,0.045462088568500855,-0.3916354954115617,-0.40310360654438304,-0.37923837039460945,500,13.019000747404395
