method,disagreement_class,covariate,level,fraction,n_class
cnn_1d_dual_head,joint,amp_bin,amp_1000_2500,0.5170940170940171,234
cnn_1d_dual_head,joint,amp_bin,amp_2500_4500,0.24358974358974358,234
cnn_1d_dual_head,joint,amp_bin,amp_ge_4500,0.23931623931623933,234
cnn_1d_dual_head,joint,baseline_bin,s16_no_lowering,0.6923076923076923,234
cnn_1d_dual_head,joint,baseline_bin,s16_mild_lowering,0.1794871794871795,234
cnn_1d_dual_head,joint,baseline_bin,s16_large_lowering,0.1282051282051282,234
cnn_1d_dual_head,joint,p02_topology,p02_broad_late,0.9401709401709402,234
cnn_1d_dual_head,joint,p02_topology,p02_early_pathology,0.05982905982905983,234
cnn_1d_dual_head,joint,ref_stave,B2,0.9743589743589743,234
cnn_1d_dual_head,joint,ref_stave,B6,0.017094017094017096,234
cnn_1d_dual_head,joint,ref_stave,B8,0.004273504273504274,234
cnn_1d_dual_head,joint,ref_stave,B4,0.004273504273504274,234
cnn_1d_dual_head,ml_only,amp_bin,amp_ge_4500,0.41237113402061853,388
cnn_1d_dual_head,ml_only,amp_bin,amp_1000_2500,0.3118556701030928,388
cnn_1d_dual_head,ml_only,amp_bin,amp_2500_4500,0.2757731958762887,388
cnn_1d_dual_head,ml_only,baseline_bin,s16_large_lowering,0.7860824742268041,388
cnn_1d_dual_head,ml_only,baseline_bin,s16_no_lowering,0.211340206185567,388
cnn_1d_dual_head,ml_only,baseline_bin,s16_mild_lowering,0.002577319587628866,388
cnn_1d_dual_head,ml_only,p02_topology,p02_early_pathology,0.654639175257732,388
cnn_1d_dual_head,ml_only,p02_topology,p02_broad_late,0.34536082474226804,388
cnn_1d_dual_head,ml_only,ref_stave,B2,0.9845360824742269,388
cnn_1d_dual_head,ml_only,ref_stave,B6,0.007731958762886598,388
cnn_1d_dual_head,ml_only,ref_stave,B4,0.005154639175257732,388
cnn_1d_dual_head,ml_only,ref_stave,B8,0.002577319587628866,388
cnn_1d_dual_head,neither,amp_bin,amp_ge_4500,0.49170997277901507,4041
cnn_1d_dual_head,neither,amp_bin,amp_2500_4500,0.2635486265775798,4041
cnn_1d_dual_head,neither,amp_bin,amp_1000_2500,0.2447414006434051,4041
cnn_1d_dual_head,neither,baseline_bin,s16_large_lowering,0.7631774313288789,4041
cnn_1d_dual_head,neither,baseline_bin,s16_no_lowering,0.2269240287057659,4041
cnn_1d_dual_head,neither,baseline_bin,s16_mild_lowering,0.00989853996535511,4041
cnn_1d_dual_head,neither,p02_topology,p02_early_pathology,0.6038109378866617,4041
cnn_1d_dual_head,neither,p02_topology,p02_broad_late,0.39618906211333826,4041
cnn_1d_dual_head,neither,ref_stave,B2,0.9757485770848799,4041
cnn_1d_dual_head,neither,ref_stave,B4,0.015590200445434299,4041
cnn_1d_dual_head,neither,ref_stave,B6,0.005939123979213066,4041
cnn_1d_dual_head,neither,ref_stave,B8,0.002722098490472655,4041
cnn_1d_dual_head,traditional_only,amp_bin,amp_1000_2500,0.5174050632911392,3160
cnn_1d_dual_head,traditional_only,amp_bin,amp_2500_4500,0.2636075949367089,3160
cnn_1d_dual_head,traditional_only,amp_bin,amp_ge_4500,0.2189873417721519,3160
cnn_1d_dual_head,traditional_only,baseline_bin,s16_no_lowering,0.6958860759493671,3160
cnn_1d_dual_head,traditional_only,baseline_bin,s16_mild_lowering,0.19050632911392404,3160
cnn_1d_dual_head,traditional_only,baseline_bin,s16_large_lowering,0.11360759493670886,3160
cnn_1d_dual_head,traditional_only,p02_topology,p02_broad_late,0.9503164556962025,3160
cnn_1d_dual_head,traditional_only,p02_topology,p02_early_pathology,0.04968354430379747,3160
cnn_1d_dual_head,traditional_only,ref_stave,B2,0.9731012658227848,3160
cnn_1d_dual_head,traditional_only,ref_stave,B6,0.013924050632911392,3160
cnn_1d_dual_head,traditional_only,ref_stave,B4,0.006645569620253164,3160
cnn_1d_dual_head,traditional_only,ref_stave,B8,0.006329113924050633,3160
consensus_abstention_ensemble,joint,amp_bin,amp_1000_2500,0.4639175257731959,97
consensus_abstention_ensemble,joint,amp_bin,amp_2500_4500,0.4329896907216495,97
consensus_abstention_ensemble,joint,amp_bin,amp_ge_4500,0.10309278350515463,97
consensus_abstention_ensemble,joint,baseline_bin,s16_no_lowering,0.8865979381443299,97
consensus_abstention_ensemble,joint,baseline_bin,s16_mild_lowering,0.10309278350515463,97
consensus_abstention_ensemble,joint,baseline_bin,s16_large_lowering,0.010309278350515464,97
consensus_abstention_ensemble,joint,p02_topology,p02_broad_late,1.0,97
consensus_abstention_ensemble,joint,ref_stave,B2,0.9278350515463918,97
consensus_abstention_ensemble,joint,ref_stave,B6,0.041237113402061855,97
consensus_abstention_ensemble,joint,ref_stave,B4,0.030927835051546393,97
consensus_abstention_ensemble,ml_only,amp_bin,amp_1000_2500,0.5035460992907801,423
consensus_abstention_ensemble,ml_only,amp_bin,amp_ge_4500,0.31678486997635935,423
consensus_abstention_ensemble,ml_only,amp_bin,amp_2500_4500,0.17966903073286053,423
consensus_abstention_ensemble,ml_only,baseline_bin,s16_large_lowering,0.9314420803782506,423
consensus_abstention_ensemble,ml_only,baseline_bin,s16_no_lowering,0.06382978723404255,423
consensus_abstention_ensemble,ml_only,baseline_bin,s16_mild_lowering,0.004728132387706856,423
consensus_abstention_ensemble,ml_only,p02_topology,p02_early_pathology,0.6997635933806147,423
consensus_abstention_ensemble,ml_only,p02_topology,p02_broad_late,0.30023640661938533,423
consensus_abstention_ensemble,ml_only,ref_stave,B2,0.9763593380614657,423
consensus_abstention_ensemble,ml_only,ref_stave,B4,0.018912529550827423,423
consensus_abstention_ensemble,ml_only,ref_stave,B6,0.002364066193853428,423
consensus_abstention_ensemble,ml_only,ref_stave,B8,0.002364066193853428,423
consensus_abstention_ensemble,neither,amp_bin,amp_ge_4500,0.5024962556165752,4006
consensus_abstention_ensemble,neither,amp_bin,amp_2500_4500,0.273589615576635,4006
consensus_abstention_ensemble,neither,amp_bin,amp_1000_2500,0.22391412880678982,4006
consensus_abstention_ensemble,neither,baseline_bin,s16_large_lowering,0.7476285571642536,4006
consensus_abstention_ensemble,neither,baseline_bin,s16_no_lowering,0.24263604593110336,4006
consensus_abstention_ensemble,neither,baseline_bin,s16_mild_lowering,0.009735396904643036,4006
consensus_abstention_ensemble,neither,p02_topology,p02_early_pathology,0.5986020968547179,4006
consensus_abstention_ensemble,neither,p02_topology,p02_broad_late,0.40139790314528206,4006
consensus_abstention_ensemble,neither,ref_stave,B2,0.9765351972041937,4006
consensus_abstention_ensemble,neither,ref_stave,B4,0.014228657014478282,4006
consensus_abstention_ensemble,neither,ref_stave,B6,0.006490264603095357,4006
consensus_abstention_ensemble,neither,ref_stave,B8,0.0027458811782326512,4006
consensus_abstention_ensemble,traditional_only,amp_bin,amp_1000_2500,0.518956627236882,3297
consensus_abstention_ensemble,traditional_only,amp_bin,amp_2500_4500,0.25720351835001515,3297
consensus_abstention_ensemble,traditional_only,amp_bin,amp_ge_4500,0.22383985441310283,3297
consensus_abstention_ensemble,traditional_only,baseline_bin,s16_no_lowering,0.6900212314225053,3297
consensus_abstention_ensemble,traditional_only,baseline_bin,s16_mild_lowering,0.19229602669093115,3297
consensus_abstention_ensemble,traditional_only,baseline_bin,s16_large_lowering,0.11768274188656354,3297
consensus_abstention_ensemble,traditional_only,p02_topology,p02_broad_late,0.9481346678798908,3297
consensus_abstention_ensemble,traditional_only,p02_topology,p02_early_pathology,0.051865332120109194,3297
consensus_abstention_ensemble,traditional_only,ref_stave,B2,0.9745222929936306,3297
consensus_abstention_ensemble,traditional_only,ref_stave,B6,0.013345465574764938,3297
consensus_abstention_ensemble,traditional_only,ref_stave,B8,0.006369426751592357,3297
consensus_abstention_ensemble,traditional_only,ref_stave,B4,0.005762814680012132,3297
gradient_boosted_trees,joint,amp_bin,amp_1000_2500,0.5206391478029294,3004
gradient_boosted_trees,joint,amp_bin,amp_2500_4500,0.25233022636484687,3004
gradient_boosted_trees,joint,amp_bin,amp_ge_4500,0.2270306258322237,3004
gradient_boosted_trees,joint,baseline_bin,s16_no_lowering,0.6741011984021305,3004
gradient_boosted_trees,joint,baseline_bin,s16_mild_lowering,0.20239680426098536,3004
gradient_boosted_trees,joint,baseline_bin,s16_large_lowering,0.12350199733688415,3004
gradient_boosted_trees,joint,p02_topology,p02_broad_late,0.948069241011984,3004
gradient_boosted_trees,joint,p02_topology,p02_early_pathology,0.05193075898801598,3004
gradient_boosted_trees,joint,ref_stave,B2,0.9713715046604527,3004
gradient_boosted_trees,joint,ref_stave,B6,0.014980026631158456,3004
gradient_boosted_trees,joint,ref_stave,B4,0.006990679094540613,3004
gradient_boosted_trees,joint,ref_stave,B8,0.006657789613848202,3004
gradient_boosted_trees,ml_only,amp_bin,amp_ge_4500,0.4855604503181596,4086
gradient_boosted_trees,ml_only,amp_bin,amp_2500_4500,0.26823299069995105,4086
gradient_boosted_trees,ml_only,amp_bin,amp_1000_2500,0.24620655898188937,4086
gradient_boosted_trees,ml_only,baseline_bin,s16_large_lowering,0.7794909446891826,4086
gradient_boosted_trees,ml_only,baseline_bin,s16_no_lowering,0.2109642682329907,4086
gradient_boosted_trees,ml_only,baseline_bin,s16_mild_lowering,0.009544787077826725,4086
gradient_boosted_trees,ml_only,p02_topology,p02_early_pathology,0.6147821830641214,4086
gradient_boosted_trees,ml_only,p02_topology,p02_broad_late,0.3852178169358786,4086
gradient_boosted_trees,ml_only,ref_stave,B2,0.9767498776309349,4086
gradient_boosted_trees,ml_only,ref_stave,B4,0.01443954968184043,4086
gradient_boosted_trees,ml_only,ref_stave,B6,0.006118453255017132,4086
gradient_boosted_trees,ml_only,ref_stave,B8,0.0026921194322075378,4086
gradient_boosted_trees,neither,amp_bin,amp_ge_4500,0.4752186588921283,343
gradient_boosted_trees,neither,amp_bin,amp_1000_2500,0.3032069970845481,343
gradient_boosted_trees,neither,amp_bin,amp_2500_4500,0.22157434402332363,343
gradient_boosted_trees,neither,baseline_bin,s16_large_lowering,0.5947521865889213,343
gradient_boosted_trees,neither,baseline_bin,s16_no_lowering,0.39941690962099125,343
gradient_boosted_trees,neither,baseline_bin,s16_mild_lowering,0.0058309037900874635,343
gradient_boosted_trees,neither,p02_topology,p02_early_pathology,0.5306122448979592,343
gradient_boosted_trees,neither,p02_topology,p02_broad_late,0.46938775510204084,343
gradient_boosted_trees,neither,ref_stave,B2,0.9737609329446064,343
gradient_boosted_trees,neither,ref_stave,B4,0.01749271137026239,343
gradient_boosted_trees,neither,ref_stave,B6,0.0058309037900874635,343
gradient_boosted_trees,neither,ref_stave,B8,0.0029154518950437317,343
gradient_boosted_trees,traditional_only,amp_bin,amp_1000_2500,0.49230769230769234,390
gradient_boosted_trees,traditional_only,amp_bin,amp_2500_4500,0.3384615384615385,390
gradient_boosted_trees,traditional_only,amp_bin,amp_ge_4500,0.16923076923076924,390
gradient_boosted_trees,traditional_only,baseline_bin,s16_no_lowering,0.8615384615384616,390
gradient_boosted_trees,traditional_only,baseline_bin,s16_mild_lowering,0.09230769230769231,390
gradient_boosted_trees,traditional_only,baseline_bin,s16_large_lowering,0.046153846153846156,390
gradient_boosted_trees,traditional_only,p02_topology,p02_broad_late,0.9615384615384616,390
gradient_boosted_trees,traditional_only,p02_topology,p02_early_pathology,0.038461538461538464,390
gradient_boosted_trees,traditional_only,ref_stave,B2,0.9871794871794872,390
gradient_boosted_trees,traditional_only,ref_stave,B6,0.007692307692307693,390
gradient_boosted_trees,traditional_only,ref_stave,B4,0.002564102564102564,390
gradient_boosted_trees,traditional_only,ref_stave,B8,0.002564102564102564,390
mlp,joint,amp_bin,amp_1000_2500,0.5172719220549159,3387
mlp,joint,amp_bin,amp_2500_4500,0.26188367286684383,3387
mlp,joint,amp_bin,amp_ge_4500,0.22084440507824032,3387
mlp,joint,baseline_bin,s16_no_lowering,0.6950103336285799,3387
mlp,joint,baseline_bin,s16_mild_lowering,0.19013876586950104,3387
mlp,joint,baseline_bin,s16_large_lowering,0.11485090050191911,3387
mlp,joint,p02_topology,p02_broad_late,0.9495128432240921,3387
mlp,joint,p02_topology,p02_early_pathology,0.050487156775907885,3387
mlp,joint,ref_stave,B2,0.9737230587540596,3387
mlp,joint,ref_stave,B6,0.013876586950103336,3387
mlp,joint,ref_stave,B4,0.006200177147918512,3387
mlp,joint,ref_stave,B8,0.006200177147918512,3387
mlp,ml_only,amp_bin,amp_ge_4500,0.4984673426078755,4241
mlp,ml_only,amp_bin,amp_2500_4500,0.26927611412402735,4241
mlp,ml_only,amp_bin,amp_1000_2500,0.23225654326809714,4241
mlp,ml_only,baseline_bin,s16_large_lowering,0.7550106107050224,4241
mlp,ml_only,baseline_bin,s16_no_lowering,0.23532185805234615,4241
mlp,ml_only,baseline_bin,s16_mild_lowering,0.009667531242631455,4241
mlp,ml_only,p02_topology,p02_early_pathology,0.5937278943645367,4241
mlp,ml_only,p02_topology,p02_broad_late,0.40627210563546334,4241
mlp,ml_only,ref_stave,B2,0.976420655505777,4241
mlp,ml_only,ref_stave,B4,0.01509078047630276,4241
mlp,ml_only,ref_stave,B6,0.005659042678613535,4241
mlp,ml_only,ref_stave,B8,0.0028295213393067674,4241
mlp,neither,amp_bin,amp_1000_2500,0.6648936170212766,188
mlp,neither,amp_bin,amp_ge_4500,0.17553191489361702,188
mlp,neither,amp_bin,amp_2500_4500,0.1595744680851064,188
mlp,neither,baseline_bin,s16_large_lowering,0.9946808510638298,188
mlp,neither,baseline_bin,s16_no_lowering,0.005319148936170213,188
mlp,neither,p02_topology,p02_early_pathology,0.9361702127659575,188
mlp,neither,p02_topology,p02_broad_late,0.06382978723404255,188
mlp,neither,ref_stave,B2,0.9787234042553191,188
