method,disagreement_class,group,n,downstream_rate,median_ref_amp_adc,median_lowering_adc,trad_delay_median_ns,trad_delay_iqr_ns,secondary_area_proxy_median,secondary_area_proxy_iqr,ml_secondary_fraction_median,ml_secondary_fraction_iqr
cnn_1d_dual_head,joint,high_20nA,234,0.042735042735042736,2413.25,0.0,20.0,10.0,0.5792040966430989,0.09750840214910605,0.06979380175471306,0.03859839402139187
cnn_1d_dual_head,ml_only,high_20nA,388,0.04381443298969072,3751.0,1423.6062499999998,30.0,20.0,0.07614444196224213,0.10175582487136126,0.07614444196224213,0.10175582487136126
cnn_1d_dual_head,neither,high_20nA,3695,0.08064952638700948,4416.5,1413.1274999999996,30.0,20.0,0.1053808182477951,0.09323598816990852,0.1053808182477951,0.09323598816990852
cnn_1d_dual_head,neither,low_2nA,346,0.04046242774566474,4144.75,814.65375,30.0,9.999999999999996,0.09923898056149483,0.08726497925817966,0.09923898056149483,0.08726497925817966
cnn_1d_dual_head,traditional_only,high_20nA,2764,0.04884225759768451,2439.25,0.0,20.0,10.0,0.588120881864547,0.10142587988779783,0.0954611487686634,0.05309329368174076
cnn_1d_dual_head,traditional_only,low_2nA,396,0.020202020202020204,2547.75,0.0,20.0,10.0,0.5858566064845558,0.08039703048482505,0.1031431332230568,0.045917268842458725
consensus_abstention_ensemble,joint,high_20nA,90,0.15555555555555556,3024.5,0.0,30.0,7.105427357601002e-15,0.5953364695480203,0.05647384248547871,0.27522177247704765,0.0650702030619677
consensus_abstention_ensemble,joint,low_2nA,7,0.0,2259.5,0.0,20.000000000000007,9.99999999999999,0.6015059312104651,0.03246548962441387,0.2823829329826305,0.012245894332625129
consensus_abstention_ensemble,ml_only,high_20nA,410,0.10975609756097561,2514.0,4198.45125,40.0,29.999999999999993,0.12279427360930953,0.07941621506038826,0.12279427360930953,0.07941621506038826
consensus_abstention_ensemble,ml_only,low_2nA,13,0.15384615384615385,1768.5,3824.5,,,0.10464510950942332,0.008752391746674568,0.10464510950942332,0.008752391746674568
consensus_abstention_ensemble,neither,high_20nA,3673,0.07350939286686632,4534.0,1150.5325000000003,30.0,20.0,0.06619892626813666,0.06219636890731854,0.06619892626813666,0.06219636890731854
