method,n,pred_mean_ns,target_mean_ns
analytic_timewalk,1639,-4.014271167136516,-3.8249543000697015
analytic_timewalk,1636,-3.867469837366645,-4.057962921672415
analytic_timewalk,1638,-0.1589029050507334,-0.410955222878744
analytic_timewalk,1637,1.8162932491913881,2.1096762004473955
analytic_timewalk,1636,1.919295756642879,2.0801576100076318
analytic_timewalk,1637,2.0177901285190933,2.045673383783064
analytic_timewalk,1637,2.2380523919818605,2.062081229925452
s03b_binned_timewalk,3820,-3.924252652723764,-3.928310244346796
s03b_binned_timewalk,3820,1.463576431961414,2.3465607251551326
s03b_binned_timewalk,3820,2.460676220762352,1.5817495191916675
signed_physics_prior,1639,-4.016182616602425,-3.8219036594351685
signed_physics_prior,1637,-3.989508672346575,-4.010538541544773
signed_physics_prior,1636,-0.15431440510108477,-0.8318979278785094
signed_physics_prior,3928,1.8942267171222162,2.318702902732928
signed_physics_prior,983,1.9836354073117686,1.7363628942109748
signed_physics_prior,1637,2.3334956744279087,2.062081229925452
hgb_timewalk,3820,-3.148524725341094,-3.928310244346796
hgb_timewalk,1364,1.2827229527058819,1.0078981168888195
hgb_timewalk,1579,1.4988943339836764,1.5107909024391284
hgb_timewalk,1800,1.5623818850324895,2.044007932897012
hgb_timewalk,1395,1.6391246071798442,2.032233142265354
hgb_timewalk,1502,1.7153415334347801,3.1502355221985705
