candidate,fold,sigma68_ns,n_pair_residuals,active_positive_terms
inv_sqrt_amp,0,1.3406207002243236,1266,3
inv_sqrt_amp,1,1.400199974168538,1257,2
inv_sqrt_amp,2,1.4658628028354372,1257,2
inv_sqrt_amp,-1,1.4022278257427665,0,0
inv_amp,0,1.3580953928544688,1266,2
inv_amp,1,1.405194758894717,1257,2
inv_amp,2,1.4732775941484166,1257,2
inv_amp,-1,1.412189248632534,0,0
inv_sqrt_plus_inv_amp,0,1.3441802852073992,1266,3
inv_sqrt_plus_inv_amp,1,1.4001999741691609,1257,2
inv_sqrt_plus_inv_amp,2,1.4657158866817253,1257,2
inv_sqrt_plus_inv_amp,-1,1.4033653820194285,0,0
