mode,direction,n_bins,fold,sigma68_ns,n_pair_residuals
monotonic,decreasing,4,0,0.8979715141142002,1266
monotonic,decreasing,4,1,0.8979715141142002,1257
monotonic,decreasing,4,2,0.8979715141142002,1257
monotonic,decreasing,4,-1,0.8979715141142002,0
monotonic,decreasing,6,0,0.8979715141142002,1266
monotonic,decreasing,6,1,0.8979715141142002,1257
monotonic,decreasing,6,2,0.8979715141142002,1257
monotonic,decreasing,6,-1,0.8979715141142002,0
monotonic,decreasing,8,0,0.8979715141142002,1266
monotonic,decreasing,8,1,0.8979715141142002,1257
monotonic,decreasing,8,2,0.8979715141142002,1257
monotonic,decreasing,8,-1,0.8979715141142002,0
monotonic,decreasing,10,0,0.8979715141142002,1266
monotonic,decreasing,10,1,0.8979715141142002,1257
monotonic,decreasing,10,2,0.8979715141142002,1257
monotonic,decreasing,10,-1,0.8979715141142002,0
monotonic,decreasing,12,0,0.8979715141142002,1266
monotonic,decreasing,12,1,0.8979715141142002,1257
monotonic,decreasing,12,2,0.8979715141142002,1257
monotonic,decreasing,12,-1,0.8979715141142002,0
