stave,mode,direction,log_amp_center,raw_bin_target_median_ns,fitted_target_ns,n_train_pulses
B4,monotonic,decreasing,7.426549072397305,-3.9242526527237587,-3.9242526527237587,315
B4,monotonic,decreasing,7.690286020676768,-3.9242526527237658,-3.9242526527237658,315
B4,monotonic,decreasing,7.849518806829323,-3.9242526527237658,-3.9242526527237658,315
B4,monotonic,decreasing,7.980878804883081,-3.9242526527237658,-3.9242526527237658,315
B6,monotonic,decreasing,7.432483807917119,1.463576431961414,1.463576431961414,315
B6,monotonic,decreasing,7.71333788887187,1.463576431961414,1.463576431961414,315
B6,monotonic,decreasing,7.883069351305753,1.463576431961414,1.463576431961414,315
B6,monotonic,decreasing,8.02567987868262,1.463576431961414,1.463576431961414,315
B8,monotonic,decreasing,7.697348357810335,2.460676220762352,2.460676220762352,315
B8,monotonic,decreasing,8.006700845440367,2.460676220762352,2.460676220762352,315
B8,monotonic,decreasing,8.169336235517207,2.460676220762352,2.460676220762352,316
B8,monotonic,decreasing,8.422936910627985,2.460676220762352,2.460676220762352,314
