primary_atom,n,runs,median_amp_adc,dynamic_amp_adc,baseline_excursion_adc,secondary_fraction,timing_tail_fraction,saturation_fraction,dropout_proxy_fraction,pid_support_proxy_fraction,median_energy_range_proxy,fraction_of_edge
baseline_excursion,119017,33,4895.5,5896.0,843.0,0.05036255324869556,0.07645126326491174,1.0,0.24553635194972148,0.12262954031776974,2.0,0.6087608116333431
dynamic_only,65636,33,351.5,3255.0,831.0,1.5235541471143885e-05,0.09467365470168809,1.0,0.9925650557620818,0.16763666280699616,2.0,0.3357219946088887
median_threshold_edge,10854,33,1074.5,1138.0,40.0,0.0003685277317118113,0.06486088078127879,1.0,0.4028929426939377,0.10125299428782016,2.0,0.055517193757768264
