metric,edge_value,matched_control_value,delta,ci_low,ci_high,unit
secondary_fraction,0.030445178307207343,0.09546351296292326,-0.06501833465571591,-0.07083300689979334,-0.05974675456901733,fraction
timing_tail_fraction,0.0763836767954024,0.10670019085197179,-0.03031651405656939,-0.042583197667954584,-0.020496783942324792,fraction
median_amp_adc,2331.0,4228.0,-1897.0,-2198.8875,-1658.6250000000002,ADC or ADC-samples
dynamic_amp_adc,4202.0,4241.0,-39.0,-56.7625,-5.425000000000026,ADC or ADC-samples
signed_area_adc_samples,9055.5,37031.5,-27976.0,-30117.4,-22333.275000000005,ADC or ADC-samples
baseline_excursion_adc,822.0,19.0,803.0,673.275,933.3,ADC or ADC-samples
