match_key,edge_n,control_n,matched_n
"56|high_20nA|B2|(7000.0, 12000.0]|B2_only",5087,15315,5087
"50|high_20nA|B2|(7000.0, 12000.0]|B2_only",3793,14562,3793
"37|high_20nA|B2|(3000.0, 4500.0]|B2_only",3121,4305,3121
"31|high_20nA|B2|(7000.0, 12000.0]|B2_only",3006,8277,3006
"45|high_20nA|B2|(3000.0, 4500.0]|B2_only",2950,4160,2950
"32|high_20nA|B2|(7000.0, 12000.0]|B2_only",2885,8127,2885
"45|high_20nA|B2|(4500.0, 7000.0]|B2_only",2700,5034,2700
"37|high_20nA|B2|(4500.0, 7000.0]|B2_only",2690,5005,2690
"56|high_20nA|B2|(4500.0, 7000.0]|B2_only",2282,9283,2282
"32|high_20nA|B2|(4500.0, 7000.0]|B2_only",2236,6553,2236
"41|high_20nA|B2|(3000.0, 4500.0]|B2_only",2094,3053,2094
"31|high_20nA|B2|(4500.0, 7000.0]|B2_only",2089,6593,2089
"42|high_20nA|B2|(3000.0, 4500.0]|B2_only",2016,2886,2016
"40|high_20nA|B2|(3000.0, 4500.0]|B2_only",2014,2913,2014
"49|high_20nA|B2|(3000.0, 4500.0]|B2_only",1973,2913,1973
"39|high_20nA|B2|(3000.0, 4500.0]|B2_only",1963,2705,1963
"57|high_20nA|B2|(3000.0, 4500.0]|B2_only",1942,2836,1942
"48|high_20nA|B2|(3000.0, 4500.0]|B2_only",1901,2961,1901
"41|high_20nA|B2|(4500.0, 7000.0]|B2_only",1767,3271,1767
"42|high_20nA|B2|(4500.0, 7000.0]|B2_only",1767,3658,1767
"55|high_20nA|B2|(7000.0, 12000.0]|B2_only",1746,6249,1746
"53|high_20nA|B2|(7000.0, 12000.0]|B2_only",1717,11980,1717
"32|high_20nA|B2|(3000.0, 4500.0]|B2_only",1705,3086,1705
"50|high_20nA|B2|(4500.0, 7000.0]|B2_only",1651,8502,1651
"39|high_20nA|B2|(4500.0, 7000.0]|B2_only",1650,2872,1650
"40|high_20nA|B2|(4500.0, 7000.0]|B2_only",1608,2987,1608
"54|high_20nA|B2|(7000.0, 12000.0]|B2_only",1599,11412,1599
"51|high_20nA|B2|(7000.0, 12000.0]|B2_only",1592,5317,1592
"49|high_20nA|B2|(4500.0, 7000.0]|B2_only",1539,3124,1539
"45|high_20nA|B2|(7000.0, 12000.0]|B2_only",1525,3399,1525
"48|high_20nA|B2|(4500.0, 7000.0]|B2_only",1524,2797,1524
"35|high_20nA|B2|(3000.0, 4500.0]|B2_only",1481,2772,1481
"31|high_20nA|B2|(3000.0, 4500.0]|B2_only",1479,2830,1479
"57|high_20nA|B2|(4500.0, 7000.0]|B2_only",1404,2830,1404
"37|high_20nA|B2|(7000.0, 12000.0]|B2_only",1382,3059,1382
"42|high_20nA|B2|(7000.0, 12000.0]|B2_only",1279,3019,1279
"36|high_20nA|B2|(3000.0, 4500.0]|B2_only",1242,2009,1242
"53|high_20nA|B2|(4500.0, 7000.0]|B2_only",1175,12436,1175
"35|high_20nA|B2|(4500.0, 7000.0]|B2_only",1169,2360,1169
"34|high_20nA|B2|(7000.0, 12000.0]|B2_only",1168,13992,1168
"55|high_20nA|B2|(4500.0, 7000.0]|B2_only",1101,4479,1101
"59|high_20nA|B2|(3000.0, 4500.0]|B2_only",1057,2184,1057
"54|high_20nA|B2|(4500.0, 7000.0]|B2_only",1046,11742,1046
"36|high_20nA|B2|(4500.0, 7000.0]|B2_only",1038,2095,1038
"56|high_20nA|B2|(3000.0, 4500.0]|B2_only",990,2460,990
"33|high_20nA|B2|(7000.0, 12000.0]|B2_only",895,14992,895
"33|high_20nA|B2|(4500.0, 7000.0]|B2_only",877,25559,877
"51|high_20nA|B2|(4500.0, 7000.0]|B2_only",867,3738,867
"37|high_20nA|B2|(2000.0, 3000.0]|B2_only",842,1946,842
"59|high_20nA|B2|(4500.0, 7000.0]|B2_only",823,1474,823
"41|high_20nA|B2|(7000.0, 12000.0]|B2_only",808,1679,808
"63|high_20nA|B2|(4500.0, 7000.0]|B2_only",799,2089,799
"45|high_20nA|B2|(2000.0, 3000.0]|B2_only",780,1715,780
"52|high_20nA|B2|(7000.0, 12000.0]|B2_only",772,2640,772
"62|high_20nA|B2|(3000.0, 4500.0]|B2_only",758,1762,758
"63|high_20nA|B2|(3000.0, 4500.0]|B2_only",750,3187,750
"64|high_20nA|B2|(3000.0, 4500.0]|B2_only",724,2687,724
"61|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream",710,1112,710
"50|high_20nA|B2|(3000.0, 4500.0]|B2_only",703,1989,703
"39|high_20nA|B2|(7000.0, 12000.0]|B2_only",702,1416,702
"65|high_20nA|B2|(3000.0, 4500.0]|B2_only",702,2498,702
"59|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream",699,888,699
"55|high_20nA|B2|(3000.0, 4500.0]|B2_only",678,1252,678
"62|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream",676,996,676
"49|high_20nA|B2|(7000.0, 12000.0]|B2_only",668,1310,668
"60|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream",668,1104,668
"64|high_20nA|B2|(4500.0, 7000.0]|B2_only",649,1849,649
"34|high_20nA|B2|(4500.0, 7000.0]|B2_only",643,14095,643
"65|high_20nA|B2|(4500.0, 7000.0]|B2_only",641,1928,641
"61|high_20nA|B2|(3000.0, 4500.0]|B2_only",631,1580,631
"53|high_20nA|B2|(3000.0, 4500.0]|B2_only",625,1650,625
"40|high_20nA|B2|(7000.0, 12000.0]|B2_only",619,1192,619
"36|high_20nA|B2|(7000.0, 12000.0]|B2_only",616,1320,616
"51|high_20nA|B2|(3000.0, 4500.0]|B2_only",608,996,608
"40|high_20nA|B2|(2000.0, 3000.0]|B2_only",605,1327,605
"48|high_20nA|B2|(7000.0, 12000.0]|B2_only",598,1201,598
"61|high_20nA|B2|(4500.0, 7000.0]|B2_only",584,1362,584
"57|high_20nA|B2|(7000.0, 12000.0]|B2_only",582,1124,582
"62|high_20nA|B2|(4500.0, 7000.0]|B2_only",581,1387,581
"59|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream",579,872,579
"41|high_20nA|B2|(2000.0, 3000.0]|B2_only",578,1337,578
"37|high_20nA|B2|(999.999, 1500.0]|B2_only",619,577,577
"65|high_20nA|B2|(999.999, 1500.0]|B2_only",565,983,565
"60|high_20nA|B2|(3000.0, 4500.0]|B2_only",564,1364,564
"54|high_20nA|B2|(3000.0, 4500.0]|B2_only",553,1607,553
"45|high_20nA|B2|(999.999, 1500.0]|B2_only",562,551,551
"61|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream",551,837,551
"60|high_20nA|B2|(4500.0, 7000.0]|B2_only",548,1197,548
"48|high_20nA|B2|(2000.0, 3000.0]|B2_only",546,1269,546
"42|high_20nA|B2|(2000.0, 3000.0]|B2_only",543,1176,543
"49|high_20nA|B2|(2000.0, 3000.0]|B2_only",527,1326,527
"33|high_20nA|B2|(3000.0, 4500.0]|B2_only",526,2933,526
"57|high_20nA|B2|(2000.0, 3000.0]|B2_only",512,1252,512
"62|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream",509,791,509
"39|high_20nA|B2|(2000.0, 3000.0]|B2_only",508,1164,508
"60|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream",471,690,471
"35|high_20nA|B2|(7000.0, 12000.0]|B2_only",470,821,470
"59|high_20nA|B2|(999.999, 1500.0]|B2_only",459,592,459
"52|high_20nA|B2|(4500.0, 7000.0]|B2_only",456,1730,456
"47|low_2nA|B2|(4500.0, 7000.0]|B2_only",445,1116,445
"35|high_20nA|B2|(2000.0, 3000.0]|B2_only",429,1238,429
"63|high_20nA|B2|(999.999, 1500.0]|B2_only",429,607,429
"63|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream",419,546,419
"62|high_20nA|B2|(999.999, 1500.0]|B2_only",413,537,413
"61|high_20nA|B2|(3000.0, 4500.0]|B2_plus_ge2_downstream",411,653,411
"40|high_20nA|B2|(999.999, 1500.0]|B2_only",426,398,398
"41|high_20nA|B2|(999.999, 1500.0]|B2_only",408,395,395
"48|high_20nA|B2|(999.999, 1500.0]|B2_only",422,394,394
"60|high_20nA|B2|(3000.0, 4500.0]|B2_plus_ge2_downstream",386,584,386
"49|high_20nA|B2|(999.999, 1500.0]|B2_only",422,384,384
"57|high_20nA|B2|(999.999, 1500.0]|B2_only",407,371,371
"63|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream",369,582,369
"32|high_20nA|B2|(2000.0, 3000.0]|B2_only",366,1144,366
"64|high_20nA|B2|(999.999, 1500.0]|B2_only",351,583,351
"47|low_2nA|B2|(3000.0, 4500.0]|B2_only",350,1050,350
"42|high_20nA|B2|(999.999, 1500.0]|B2_only",373,348,348
"47|low_2nA|B2|(7000.0, 12000.0]|B2_only",347,793,347
"32|high_20nA|B2|(12000.0, 20000.0]|B2_only",345,724,345
"37|high_20nA|B2|(1500.0, 2000.0]|B2_only",335,808,335
"62|high_20nA|B2|(3000.0, 4500.0]|B2_plus_ge2_downstream",335,540,335
"61|high_20nA|B6|(3000.0, 4500.0]|B2_plus_ge2_downstream",330,612,330
"35|high_20nA|B2|(999.999, 1500.0]|B2_only",329,351,329
"45|high_20nA|B2|(1500.0, 2000.0]|B2_only",327,680,327
"31|high_20nA|B2|(2000.0, 3000.0]|B2_only",322,1100,322
"37|high_20nA|B2|(12000.0, 20000.0]|B2_only",320,369,320
"39|high_20nA|B2|(999.999, 1500.0]|B2_only",443,319,319
"45|high_20nA|B2|(12000.0, 20000.0]|B2_only",319,423,319
"61|high_20nA|B2|(999.999, 1500.0]|B2_only",319,417,319
"60|high_20nA|B4|(3000.0, 4500.0]|B2_plus_ge2_downstream",316,535,316
"59|high_20nA|B2|(3000.0, 4500.0]|B2_plus_ge2_downstream",315,350,315
"31|high_20nA|B2|(12000.0, 20000.0]|B2_only",314,672,314
"60|high_20nA|B2|(999.999, 1500.0]|B2_only",311,456,311
"32|high_20nA|B2|(999.999, 1500.0]|B2_only",309,328,309
"59|high_20nA|B2|(2000.0, 3000.0]|B2_only",309,1206,309
"58|high_20nA|B2|(999.999, 1500.0]|B2_only",306,591,306
"59|high_20nA|B4|(2000.0, 3000.0]|B2_plus_ge2_downstream",303,579,303
"60|high_20nA|B6|(3000.0, 4500.0]|B2_plus_ge2_downstream",298,526,298
"36|high_20nA|B2|(2000.0, 3000.0]|B2_only",297,906,297
"56|high_20nA|B2|(12000.0, 20000.0]|B2_only",296,784,296
"61|high_20nA|B4|(2000.0, 3000.0]|B2_plus_ge2_downstream",292,490,292
"64|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream",284,354,284
"62|high_20nA|B4|(2000.0, 3000.0]|B2_plus_ge2_downstream",281,492,281
"63|high_20nA|B2|(7000.0, 12000.0]|B2_only",275,735,275
"61|high_20nA|B4|(3000.0, 4500.0]|B2_plus_ge2_downstream",271,466,271
"60|high_20nA|B4|(2000.0, 3000.0]|all_four",270,418,270
"49|high_20nA|B2|(1500.0, 2000.0]|B2_only",260,563,260
"64|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream",259,361,259
"59|high_20nA|B6|(3000.0, 4500.0]|B2_plus_ge2_downstream",254,572,254
"34|high_20nA|B2|(3000.0, 4500.0]|B2_only",253,1581,253
"52|high_20nA|B2|(3000.0, 4500.0]|B2_only",253,463,253
"40|high_20nA|B2|(1500.0, 2000.0]|B2_only",251,541,251
"61|high_20nA|B4|(2000.0, 3000.0]|all_four",251,491,251
"56|high_20nA|B2|(2000.0, 3000.0]|B2_only",249,904,249
"62|high_20nA|B6|(3000.0, 4500.0]|B2_plus_ge2_downstream",248,597,248
"42|high_20nA|B2|(12000.0, 20000.0]|B2_only",247,432,247
"48|high_20nA|B2|(1500.0, 2000.0]|B2_only",242,517,242
"62|high_20nA|B4|(2000.0, 3000.0]|all_four",241,426,241
"44|high_20nA|B2|(3000.0, 4500.0]|B2_only",237,363,237
"41|high_20nA|B2|(1500.0, 2000.0]|B2_only",236,590,236
"59|high_20nA|B2|(7000.0, 12000.0]|B2_only",236,336,236
"37|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream",321,228,228
"63|high_20nA|B2|(2000.0, 3000.0]|B2_only",228,2100,228
"56|high_20nA|B2|(999.999, 1500.0]|B2_only",226,258,226
"62|high_20nA|B4|(3000.0, 4500.0]|B2_plus_ge2_downstream",226,451,226
"31|high_20nA|B2|(999.999, 1500.0]|B2_only",225,310,225
"36|high_20nA|B2|(999.999, 1500.0]|B2_only",224,277,224
"44|high_20nA|B2|(4500.0, 7000.0]|B2_only",221,458,221
"60|high_20nA|B4|(2000.0, 3000.0]|B2_plus_ge2_downstream",221,303,221
"62|high_20nA|B2|(2000.0, 3000.0]|B2_only",220,1140,220
"59|high_20nA|B4|(2000.0, 3000.0]|all_four",219,360,219
"45|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream",283,215,215
"57|high_20nA|B2|(1500.0, 2000.0]|B2_only",215,511,215
"42|high_20nA|B2|(1500.0, 2000.0]|B2_only",213,511,213
"59|high_20nA|B2|(2000.0, 3000.0]|B2_plus_ge2_downstream",210,395,210
"39|high_20nA|B2|(1500.0, 2000.0]|B2_only",206,473,206
"65|high_20nA|B2|(2000.0, 3000.0]|B2_only",206,2081,206
"50|high_20nA|B2|(999.999, 1500.0]|B2_only",205,210,205
"50|high_20nA|B2|(12000.0, 20000.0]|B2_only",203,788,203
"64|high_20nA|B2|(2000.0, 3000.0]|B2_only",200,1902,200
"50|high_20nA|B2|(2000.0, 3000.0]|B2_only",199,768,199
"61|high_20nA|B6|(2000.0, 3000.0]|all_four",199,464,199
"59|high_20nA|B4|(2000.0, 3000.0]|B2_plus_one_downstream",198,320,198
"59|high_20nA|B6|(2000.0, 3000.0]|all_four",196,361,196
"60|high_20nA|B6|(2000.0, 3000.0]|all_four",196,395,196
"62|high_20nA|B2|(2000.0, 3000.0]|B2_plus_ge2_downstream",191,308,191
"60|high_20nA|B4|(4500.0, 7000.0]|B2_plus_one_downstream",190,425,190
"45|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream",263,188,188
"59|high_20nA|B4|(3000.0, 4500.0]|B2_plus_ge2_downstream",188,339,188
