heldout_run,heldout_group,n_scored_events,ml_fold,train_low_runs,cal_low_runs,n_synthetic_train,n_synthetic_cal,synthetic_staves,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,shuffled_label_synthetic_auc,template_source_runs,ml_models_used,ml_train_runs_used
-1,low_overlay_calibration,0,low46_train_low47_cal,46,47,346.0,520.0,B2 B6 B8,0.7064201183431953,0.68529695293974,0.22750460584987778,0.24192789379393317,0.5414792899408283,,,
-1,low_overlay_calibration,0,low47_train_low46_cal,47,46,520.0,257.0,B2 B4 B6 B8,0.643047480620155,0.6510763374251045,0.2339874805826745,0.2188065608872796,0.609798934108527,,,
44,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
45,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
46,low_2nA,81,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,47,low47_train_low46_cal,47
47,low_2nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46,low46_train_low47_cal,46
48,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
49,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
50,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
51,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
52,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
53,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
54,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
55,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
56,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
57,high_20nA,128,,,,,,,0.6747337994816751,0.6681866451824223,0.23074604321627612,0.23036722734060638,0.5756391120246777,46 47,low46_train_low47_cal low47_train_low46_cal,46 47
