method,n_events,n_accepted,coverage,abstention_rate,accepted_candidate_secondary_fraction,accepted_time_residual_proxy_rms_ns,bad_recovery_proxy_rate,accepted_mean_model_probability,support_subset_n,high_amp_large_lowering_broad_late_retention
cnn_1d_dual_head,8673,69,0.007955724662746454,0.9920442753372536,0.2123902576395135,15.41449084610889,0.07246376811594203,0.9312808306320853,1013,0.011846001974333662
consensus_abstention_ensemble,8673,463,0.05338406549060302,0.946615934509397,0.17105089775065507,11.206383138264334,0.03455723542116631,0.6300501740017441,1013,0.08884501480750247
gradient_boosted_trees,8673,6691,0.7714746915715439,0.22852530842845614,0.0862578946950073,6.957797170600785,0.021670901210581378,0.2515723406218173,1013,0.7611056268509379
mlp,8673,7362,0.8488412314078173,0.15115876859218264,0.0979611718694144,6.540813820779307,0.02241238793806031,0.1361128482581531,1013,0.8588351431391905
ridge_linear,8673,410,0.0472731465467543,0.9527268534532457,0.39705190483939534,13.091417904367557,0.04390243902439024,0.9926368156850408,1013,0.09180651530108588
traditional_template_fit,8673,5132,0.5917214343364464,0.4082785656635536,0.4885529977052902,3.297954239136155,0.020265003897116135,0.9689621140675237,1013,0.4777887462981244
