method,run,group,n_events,coverage,accepted_secondary_fraction_mean,accepted_secondary_contribution,bad_proxy_contribution,mean_probability
traditional_template_fit,44,high_20nA,473,0.6046511627906976,0.4866312644794162,0.2942421599177865,0.0021141649048625794,0.5937394835333472
ridge_linear,44,high_20nA,473,0.040169133192389,0.4109273599820955,0.016506595855517576,0.0,0.21771733098240145
gradient_boosted_trees,44,high_20nA,473,1.0,0.08428439393903779,0.08428439393903779,0.012684989429175475,0.2529230486677477
mlp,44,high_20nA,473,1.0,0.09428088571348835,0.09428088571348835,0.012684989429175475,0.08096905729844121
cnn_1d_dual_head,44,high_20nA,473,0.0,,0.0,0.0,0.2717481851577759
consensus_abstention_ensemble,44,high_20nA,473,0.03805496828752643,0.21352340315090915,0.008125626335552567,0.0,0.20188010603557424
traditional_template_fit,45,high_20nA,720,0.5916666666666667,0.48723052964652624,0.2882780633741947,0.018055555555555554,0.5783420784176815
ridge_linear,45,high_20nA,720,0.04722222222222222,0.46944946384828906,0.022168446903946985,0.001388888888888889,0.2292069387135767
gradient_boosted_trees,45,high_20nA,720,1.0,0.09080776436876976,0.09080776436876976,0.029166666666666667,0.24103737612237594
mlp,45,high_20nA,720,0.9763888888888889,0.10598486719411901,0.10348244671870231,0.029166666666666667,0.14316682384469687
cnn_1d_dual_head,45,high_20nA,720,0.0,,0.0,0.0,0.25990504026412964
consensus_abstention_ensemble,45,high_20nA,720,0.03194444444444444,0.1550891832335727,0.0049542377977391285,0.001388888888888889,0.21470307322699592
traditional_template_fit,46,low_2nA,308,0.8603896103896104,0.4771196429574074,0.41050878371335375,0.0,0.8479215570625088
ridge_linear,46,low_2nA,308,0.012987012987012988,0.5956554235532161,0.007735784721470339,0.0,0.15208370441968141
gradient_boosted_trees,46,low_2nA,308,1.0,0.05629252561526631,0.05629252561526631,0.0,0.20248809366339404
mlp,46,low_2nA,308,1.0,0.041072998125103996,0.041072998125103996,0.0,0.03677581376297059
cnn_1d_dual_head,46,low_2nA,308,0.0,,0.0,0.0,0.2691556513309479
consensus_abstention_ensemble,46,low_2nA,308,0.016233766233766232,0.18301060692868162,0.0029709514111798964,0.0,0.16947319023575658
traditional_template_fit,47,low_2nA,504,0.6388888888888888,0.4967335629470389,0.3173575541050526,0.001984126984126984,0.6309879745930664
ridge_linear,47,low_2nA,504,0.051587301587301584,0.09635479679346494,0.004970683961567635,0.001984126984126984,0.20258352236739002
gradient_boosted_trees,47,low_2nA,504,1.0,0.08231488697186441,0.08231488697186441,0.007936507936507936,0.24723402055418842
mlp,47,low_2nA,504,0.005952380952380952,0.0,0.0,0.0,0.05769341566684168
cnn_1d_dual_head,47,low_2nA,504,0.0,,0.0,0.0,0.34494319558143616
consensus_abstention_ensemble,47,low_2nA,504,0.011904761904761904,0.20994204515868753,0.0024993100614129466,0.0,0.21662353978016105
traditional_template_fit,48,high_20nA,720,0.5819444444444445,0.4852184900796198,0.28237020464355655,0.009722222222222222,0.5706193010652776
ridge_linear,48,high_20nA,720,0.05416666666666667,0.44774533376621345,0.0242528722456699,0.005555555555555556,0.246250902883456
gradient_boosted_trees,48,high_20nA,720,1.0,0.08972824015023227,0.08972824015023227,0.019444444444444445,0.25813882610406713
mlp,48,high_20nA,720,0.9930555555555556,0.06726751773017728,0.06680038219038438,0.019444444444444445,0.08672127706272502
cnn_1d_dual_head,48,high_20nA,720,0.016666666666666666,0.3078137934207916,0.0051302299834787846,0.004166666666666667,0.28551211953163147
consensus_abstention_ensemble,48,high_20nA,720,0.0625,0.17554489327274286,0.010971555829546427,0.005555555555555556,0.21012407377415307
traditional_template_fit,49,high_20nA,720,0.5819444444444445,0.5015944029265573,0.29190007614753816,0.011111111111111112,0.5641364898150106
ridge_linear,49,high_20nA,720,0.07083333333333333,0.5079168627818272,0.035977444447046106,0.001388888888888889,0.26630735589129373
gradient_boosted_trees,49,high_20nA,720,1.0,0.08962627667705346,0.08962627667705346,0.022222222222222223,0.26115909566804896
mlp,49,high_20nA,720,0.9388888888888889,0.08195690562092384,0.07694842805520072,0.020833333333333332,0.15117859926321084
cnn_1d_dual_head,49,high_20nA,720,0.06944444444444445,0.16830439865589142,0.011687805876135826,0.001388888888888889,0.30188196897506714
consensus_abstention_ensemble,49,high_20nA,720,0.07916666666666666,0.1415320787333892,0.011204622899726648,0.002777777777777778,0.23807321909156526
traditional_template_fit,50,high_20nA,672,0.5729166666666666,0.4926459110153909,0.28224505318590104,0.010416666666666666,0.5450298545154502
ridge_linear,50,high_20nA,672,0.041666666666666664,0.4162919298789326,0.017345497078288856,0.0,0.22005689290504898
gradient_boosted_trees,50,high_20nA,672,1.0,0.09009760961785891,0.09009760961785891,0.017857142857142856,0.24358961692595096
mlp,50,high_20nA,672,0.9613095238095238,0.15303706734868347,0.1471159903381689,0.01636904761904762,0.11907407197648198
cnn_1d_dual_head,50,high_20nA,672,0.001488095238095238,0.409715473651886,0.0006096956203691661,0.0,0.21723002195358276
consensus_abstention_ensemble,50,high_20nA,672,0.03422619047619048,0.1972213618525101,0.006750135896737698,0.0,0.19329790099147376
traditional_template_fit,51,high_20nA,660,0.5727272727272728,0.4984317205144928,0.28546543993102763,0.015151515151515152,0.5574445421676958
ridge_linear,51,high_20nA,660,0.04090909090909091,0.4644512970895201,0.019000280335480367,0.004545454545454545,0.22602653162007008
gradient_boosted_trees,51,high_20nA,660,1.0,0.07314285561100471,0.07314285561100471,0.03333333333333333,0.23653476589416017
mlp,51,high_20nA,660,0.8818181818181818,0.07980256741588285,0.07037135490309669,0.025757575757575757,0.0902561262957554
cnn_1d_dual_head,51,high_20nA,660,0.0,,0.0,0.0,0.2642132043838501
consensus_abstention_ensemble,51,high_20nA,660,0.048484848484848485,0.1750788224935315,0.008488670181504558,0.004545454545454545,0.19700136413254352
traditional_template_fit,52,high_20nA,525,0.5923809523809523,0.49051271541582836,0.29057038951299546,0.015238095238095238,0.576015088451381
ridge_linear,52,high_20nA,525,0.0380952380952381,0.5643562689949958,0.021499286437904597,0.0,0.23519888388170312
gradient_boosted_trees,52,high_20nA,525,1.0,0.08853260381989168,0.08853260381989168,0.02095238095238095,0.27546822456447223
mlp,52,high_20nA,525,0.979047619047619,0.08772237248383723,0.08588437991750922,0.01904761904761905,0.23200800133060176
cnn_1d_dual_head,52,high_20nA,525,0.0019047619047619048,0.3513638973236084,0.0006692645838484168,0.0,0.31113746762275696
consensus_abstention_ensemble,52,high_20nA,525,0.1219047619047619,0.12732481241688995,0.01552150094224944,0.0,0.2728712256059623
traditional_template_fit,53,high_20nA,636,0.5676100628930818,0.4770727578665733,0.2707912980972217,0.01729559748427673,0.5369815950860511
ridge_linear,53,high_20nA,636,0.11006289308176101,0.25445267471467886,0.02800579753148981,0.0047169811320754715,0.3241917672702922
