branch,detector_group,typename,interpretation
PrimaryTrackID,Primary,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
PrimaryPDG,Primary,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
PrimaryEkin,Primary,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
PrimaryTime,Primary,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
PrimaryPosX,Primary,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
PrimaryPosY,Primary,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
PrimaryPosZ,Primary,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
PrimaryMomX,Primary,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
PrimaryMomY,Primary,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
PrimaryMomZ,Primary,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
PrimaryWeight,Primary,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_TrackID,TARGET,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
TARGET_LayerID,TARGET,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
TARGET_LayerID1,TARGET,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
TARGET_LayerID2,TARGET,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
TARGET_PDG,TARGET,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
TARGET_EDep,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_Time,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_TrackLength,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_Position_X,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_Position_Y,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_Position_Z,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_GlobalPosition_X,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_GlobalPosition_Y,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_GlobalPosition_Z,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_Momentum_X,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_Momentum_Y,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
TARGET_Momentum_Z,TARGET,std::vector<double>,"AsJagged(AsDtype('>f8'), header_bytes=10)"
ProtoTPC_TrackID,ProtoTPC,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
ProtoTPC_LayerID,ProtoTPC,std::vector<int32_t>,"AsJagged(AsDtype('>i4'), header_bytes=10)"
