pdg,particle,n_hits,n_events,sum_edep_MeV,mean_hit_edep_MeV,median_hit_edep_MeV,mean_time_ns
2212,proton,82893,17434,1549127.2,18.688275,15.673241,8.1470778
1000010020,deuteron,31113,14371,1086616.3,34.924832,35.053226,106.47902
1000020040,alpha,5054,2133,29404.768,5.8181179,4.1295617,9.9401891
1000060120,1000060120,3936,3493,3463.2156,0.87988202,0.4817872,9.9224206
1000020030,helium3,237,228,3208.2383,13.53687,7.2004613,9.0550184
1000030060,1000030060,241,240,1828.905,7.5888176,5.4828678,10.501083
1000010030,triton,156,148,1821.9738,11.679319,6.64787,9.8038403
1000060110,1000060110,319,318,854.58073,2.6789365,1.2273104,8.5903158
1000050110,1000050110,206,206,777.979,3.7765971,2.1871304,9.6782967
1000030070,1000030070,110,110,542.22295,4.9292995,3.1674443,9.8065289
1000040070,1000040070,92,92,521.23554,5.6656037,4.1255759,9.6373229
11,electron,825,493,498.48363,0.60422258,0.36192181,1894.782
1000050100,1000050100,81,81,358.11725,4.4212006,2.7094533,9.7234264
1000050101,1000050101,90,90,345.16529,3.8351698,2.9111259,9.2698007
1000060130,1000060130,105,105,165.20631,1.5733934,1.1236179,2173.0726
1000040090,1000040090,31,31,89.329866,2.8816086,2.2858538,12.113462
1000070130,1000070130,36,36,85.89403,2.3859453,1.9808081,12.178553
1000040060,1000040060,8,8,81.994317,10.24929,10.303157,8.0848858
1000060100,1000060100,17,17,75.885549,4.4638558,4.1216396,8.0501075
1000020060,1000020060,6,6,67.063377,11.17723,9.0985486,9.7872264
1000050080,1000050080,16,16,46.278577,2.8924111,1.9132679,8.2584863
2112,neutron,519,340,29.621942,0.057075032,0.047032422,33.677057
1000030080,1000030080,5,5,29.311804,5.8623607,5.8547631,9.9938786
1000040100,1000040100,5,5,20.223201,4.0446402,2.1780245,9.9433975
1000050120,1000050120,3,3,8.3648536,2.7882845,1.7690686,12.312311
-11,-11,5,5,7.9275615,1.5855123,1.8162524,8.6242278
1000070120,1000070120,2,2,1.7894235,0.89471173,0.89471173,9.6244526
1000070140,1000070140,1,1,1.1544093,1.1544093,1.1544093,11.162423
22,gamma,462,317,0.05490231,0.00011883617,1.756e-05,2868.6022
