file,sha256,role
/home/billy/ccb-geant4/krakow.config,9bee1e7f1519d2796fb08333de01b3ee1344cbb515672fc537c2411dbd134d2f,provided hibeam_g4 config
/home/billy/ccb-geant4/run_krakow.mac,f9bb3d5e6e44971a4f52a836ff95aad8b20acc8804f5d44ca5399cd938afd5a7,provided hibeam_g4 macro
/home/billy/ccb-geant4/krakow_109_8-38deg_4-71deg.root,a71c5cd7ce4cd7085f7f0236d5852f81aba0b52ff56bc2e9593f677e1e410d4e,provided ROOT geometry
/home/billy/ccb-geant4/sigma_pd_cm_190.txt,0ca33e76a745dde08a12cc451d295c0d213a897c9993914cb3d2a1550d89edfc,provided p-d cross section table
/home/billy/ccb-geant4/dedx_p_in_CD2.txt,9c2dd0d42473a6ffb96ec317a26d97815699d6b9ced6d3c46e65093d0114cb7b,provided proton dE/dx table used by ScatteringGenerator
/home/billy/ccb-geant4/krakow.geoconf,a2bfda12d722d07ea8993bfd765bf8f43e2921715cced9b1b739fd5ffd3871c7,provided geobuilder geometry recipe
