pdg,particle,n_events,mean_total_edep_MeV,median_total_edep_MeV,q16_total_edep_MeV,q84_total_edep_MeV,mean_n_hits
2212,proton,17434,88.856671,90.340103,41.088556,134.60437,4.7546748
1000010020,deuteron,14371,75.611738,74.269992,46.337768,121.17578,2.164985
1000020030,helium3,228,14.071221,7.3245819,2.9056984,30.581178,1.0394737
1000020040,alpha,2133,13.785639,11.34362,4.0063277,23.59148,2.3694327
1000010030,triton,148,12.310634,6.4369104,2.2300078,21.640396,1.0540541
1000020060,1000020060,6,11.17723,9.0985486,4.890026,16.353989,1
1000040060,1000040060,8,10.24929,10.303157,6.5036658,14.068853,1
1000030060,1000030060,240,7.6204377,5.5100892,1.8070103,13.339997,1.0041667
1000030080,1000030080,5,5.8623607,5.8547631,4.5385355,7.3486832,1
1000040070,1000040070,92,5.6656037,4.1255759,1.4541291,9.0765379,1
1000030070,1000030070,110,4.9292995,3.1674443,1.199765,8.5761918,1
1000060100,1000060100,17,4.4638558,4.1216396,1.9098344,7.3903137,1
1000050100,1000050100,81,4.4212006,2.7094533,0.85918568,8.5229343,1
1000040100,1000040100,5,4.0446402,2.1780245,1.302335,6.659875,1
1000050101,1000050101,90,3.8351698,2.9111259,0.93258774,6.6801731,1
1000050110,1000050110,206,3.7765971,2.1871304,0.56190486,7.9544497,1
1000050080,1000050080,16,2.8924111,1.9132679,1.2139173,4.728764,1
1000040090,1000040090,31,2.8816086,2.2858538,0.55133023,4.9025461,1
1000050120,1000050120,3,2.7882845,1.7690686,1.5636041,4.0537335,1
1000060110,1000060110,318,2.6873608,1.2315339,0.31293582,5.0355672,1.0031447
1000070130,1000070130,36,2.3859453,1.9808081,1.0873169,3.8497147,1
-11,-11,5,1.5855123,1.8162524,1.1495736,2.1022906,1
1000060130,1000060130,105,1.5733934,1.1236179,0.32876621,2.9225454,1
1000070140,1000070140,1,1.1544093,1.1544093,1.1544093,1.1544093,1
11,electron,493,1.011123,0.37675629,0.21992751,1.9481427,1.673428
1000060120,1000060120,3493,0.99147313,0.54782728,0.21706392,1.5280844,1.1268251
1000070120,1000070120,2,0.89471173,0.89471173,0.77714468,1.0122788,1
2112,neutron,340,0.087123357,0.074823084,0.020665903,0.15097662,1.5264706
22,gamma,317,0.00017319341,3.512e-05,8.99e-06,0.0003087548,1.4574132
