method,recon_mse,timing_sigma68_ns,amplitude_res68,topology_balanced_accuracy
traditional PCA/hand-shape/S02-CFD20,0.013258999213576317,3.1884502039551736,0.08271829673758874,0.926423204541595
ML masked-denoising AE latent probes,0.01660245470702648,1.9892228263616547,0.053229801038775976,0.8584045682442358
