window,start_sample,width,traditional_recon_delta_mse,traditional_timing_delta_sigma68_ns,ml_recon_delta_mse,importance_score
1-4,1,4,-0.00021467357873916626,13.204358009621497,0.008461078628897667,0.7189440037294409
0-3,0,4,-0.002059515565633774,11.895040829360486,0.009997189044952393,0.7091143496496988
2-4,2,3,0.0008524814620614052,13.204358009621497,0.006634192541241646,0.6716703909984438
3-4,3,2,0.0007279859855771065,12.685110912472009,0.006012856960296631,0.6359303753472652
3-6,3,4,-0.001560533419251442,3.848933373391629,0.017444727942347527,0.5971551763563954
1-3,1,3,0.0007337620481848717,11.93445587605238,0.003806646913290024,0.5504166272414837
2-3,2,2,0.0015958044677972794,11.93445587605238,0.0022539272904396057,0.5102375122838405
2-5,2,4,0.0005331085994839668,4.455450735986233,0.012901227921247482,0.5025513734419934
6-9,6,4,0.004276428371667862,-0.7372630284428596,0.01932247169315815,0.5
7-10,7,4,0.005119692534208298,-0.09211297184229039,0.01867244951426983,0.48317963174663403
3-5,3,3,0.00040416326373815536,3.8492728933691986,0.012295985594391823,0.4639360521061324
14-17,14,4,0.004794567823410034,-0.010899512469768169,0.0169114638119936,0.43761129736786575
8-11,8,4,0.008572040125727654,-0.2762263166308414,0.015925871208310127,0.41210750522018574
5-8,5,4,0.0029235631227493286,-2.0478402391076083,0.015014739707112312,0.3885305137341422
8-10,8,3,0.00797385536134243,-0.20945112190484938,0.014659365639090538,0.3793346387533133
4-7,4,4,-0.0004994245246052742,-0.46753321737050957,0.014537284150719643,0.3761755840963948
7-9,7,3,0.005822142586112022,-0.11487323125362447,0.013942500576376915,0.36078460348615193
4-6,4,3,-0.001404937356710434,-0.4505836471915239,0.012501455843448639,0.32349525573054017
5-7,5,3,0.0017267744988203049,-2.115350634672642,0.01233605109155178,0.3192151420234665
8-9,8,2,0.006861116737127304,-0.16182351205587686,0.010809766128659248,0.27972006636415087
9-12,9,4,0.013458002358675003,-0.12652914088964495,0.010499674826860428,0.27169595571404653
9-11,9,3,0.011653121560811996,-0.1338789366698263,0.010431630536913872,0.269935200386594
5-6,5,2,0.0007220972329378128,-2.0191866584801685,0.010275624692440033,0.2658982985100841
9-10,9,2,0.009041374549269676,-0.1377614632248898,0.009800508618354797,0.2536039067358302
6-8,6,3,0.004930147901177406,-0.8871311851525308,0.009437775239348412,0.24421759775925075
13-16,13,4,0.014094574376940727,0.28587451348542814,0.008984634652733803,0.24331686318696583
4-5,4,2,0.0005868291482329369,-0.44746399968862516,0.007574794813990593,0.19600998604833603
6-7,6,2,0.003821657970547676,-0.9323737934231753,0.006387535482645035,0.1652877433094334
15-17,15,3,0.0070985592901706696,0.09022713589668285,0.00526684895157814,0.13970474529304647
7-8,7,2,0.005635343492031097,-0.1764403047049048,0.005292041227221489,0.13694006934670103
12-15,12,4,0.018831705674529076,0.1445467926049222,0.0035295728594064713,0.09680681883872132
14-16,14,3,0.013238107785582542,0.10581809128165265,0.0030485503375530243,0.08289307614873309
10-11,10,2,0.011285599321126938,0.028311054289336557,0.0019825529307127,0.052373776886632216
10-13,10,4,0.0175212100148201,0.0011177292084663115,0.0018524974584579468,0.04797867235380167
10-12,10,3,0.014737486839294434,0.013066033899786333,0.0018338393419981003,0.04794830153838404
0-2,0,3,-0.001030811108648777,0.03420874290167886,0.0017930008471012115,0.04769213573966503
11-14,11,4,0.019667940214276314,0.039430516026019546,0.0017717909067869186,0.047341023612347356
13-15,13,3,0.016675252467393875,0.3143562651658063,0.0011552218347787857,0.041796725359301345
15-16,15,2,0.011876793578267097,0.08938545193433534,0.0012903828173875809,0.036775423734790716
12-14,12,3,0.01751066744327545,0.14321678715943875,0.000975022092461586,0.03065335104330183
11-13,11,3,0.016864601522684097,0.038892800309656916,0.0006751809269189835,0.01894411718977818
16-17,16,2,0.008964065462350845,0.01104729461669729,0.0007150005549192429,0.018920108152450023
11-12,11,2,0.012693598866462708,0.042857917330263895,0.0004087146371603012,0.012199018073520229
13-14,13,2,0.013936761766672134,0.3180477387690561,-0.00042845122516155243,0.012043286714026808
12-13,12,2,0.013479446992278099,0.15877872749417632,-5.019642412662506e-05,0.006012360744024075
14-15,14,2,0.013592084869742393,0.1233553140842889,-9.084120392799377e-06,0.004671007632268253
1-2,1,2,0.00013212673366069794,0.035710447213650465,-0.00014043785631656647,0.001352222015929501
0-1,0,2,-0.0005142763257026672,-0.015473189949991362,-0.00029034167528152466,0.0
