sample,traditional_recon_delta_mse,traditional_recon_ci_low,traditional_recon_ci_high,traditional_timing_delta_sigma68_ns,traditional_timing_ci_low,traditional_timing_ci_high,traditional_amplitude_delta_res68,traditional_amplitude_ci_low,traditional_amplitude_ci_high,traditional_topology_delta_bacc,traditional_topology_ci_low,traditional_topology_ci_high,ml_recon_delta_mse,ml_recon_ci_low,ml_recon_ci_high,ml_timing_delta_sigma68_ns,ml_timing_ci_low,ml_timing_ci_high,ml_amplitude_delta_res68,ml_amplitude_ci_low,ml_amplitude_ci_high,ml_topology_delta_bacc,ml_topology_ci_low,ml_topology_ci_high,ml_permutation_recon_delta_mse,ml_permutation_topology_delta_bacc,importance_score
5,0.0021352972835302353,0.0016217371448874474,0.002719980664551258,-2.0248881884598737,-2.205797783184041,-1.8193533583119479,-0.028482873014537766,-0.030955780258351204,-0.02483595347584158,-0.06806745815945492,-0.07770042602557392,-0.05750189020514884,0.004705056548118591,0.0046366495080292225,0.004783282987773418,0.016034460842608622,-0.013410732150084925,0.031167373704914958,-0.004861190345700553,-0.005583668450771538,-0.003976099796642894,-0.12654813623471695,-0.15633289784467974,-0.062037399680496486,0.006582826375961304,-0.10419112376478923,0.4353868643180882
4,0.000712880864739418,0.00019406527280807495,0.0011876355856657028,8.604951211065053,7.242818197488784,22.96125667095184,-0.02445508582983382,-0.028427923543181507,-0.019359811077041843,-0.10826020022170069,-0.12671435722784596,-0.08335340778134659,0.0014972593635320663,0.0006509059108793736,0.002644346002489329,-0.00831445864677427,-0.014437264919281656,0.028785173904151806,-0.004033161274642323,-0.004415689647866623,-0.003658469285445054,-0.06572513734814678,-0.07908961635472844,-0.040449509459102306,0.004101905971765518,-0.12114279505770187,0.37569474554886156
6,0.002236594446003437,0.0008957974845543504,0.0033149459632113585,-0.9299359135842327,-1.08207149219513,-0.6579072417020781,0.02125222125643153,0.019667091229899687,0.022555950673267714,-0.07819239412008416,-0.0880122687855156,-0.07412791295668864,0.0025596972554922104,0.0024159401655197144,0.002712552435696125,-0.000670377191080096,-0.020595595240592957,0.019891817346215035,-0.0003188972205598814,-0.0007210892627944842,0.0002377046629299523,-0.00919521606605278,-0.011873782677794598,-0.007924537720357616,0.004025796428322792,-0.011175486991713668,0.3690216776474821
3,0.0013390444219112396,0.0011972770560532808,0.001474916934967041,11.512679789164066,10.42996021631694,22.45491693902016,-0.0009390586220713315,-0.0032254018289226694,0.0019485527515243767,-0.04457391384211962,-0.08709682643497285,-0.025771667641007245,0.0018806811422109604,0.001009310083463788,0.00292387418448925,-0.01748709619044897,-0.03482060968875755,0.02777074116468725,-0.0004891587592246796,-0.001360963416631604,0.0005255739968599224,-0.0029569065879111456,-0.006521699628301625,0.0019445263616607589,0.007036827504634857,-0.029171858412676333,0.32994335544801623
9,0.00531383603811264,0.004069252870976925,0.0069103488931432375,-0.134138850986957,-0.5076999009847665,-0.014356394112108983,-0.0024355423406353244,-0.0037742886299595574,0.00011098800176739809,-0.006842347457366116,-0.010770226352066814,-0.004593284887495996,0.006344916298985481,0.004251021891832352,0.008851693011820316,0.0018394633150129458,-0.010758228532969831,0.0190136491060251,-0.0002216406374320537,-0.0020442559808951447,0.0021671182856484034,0.007164586990795807,0.0038604970038255138,0.008590432872504383,0.0069168973714113235,0.0015951706826240475,0.25
12,0.007580244913697243,0.00635707750916481,0.009318578150123357,0.17305101633727693,0.07543657869100473,0.28249249200822035,0.010564563715951256,0.009345918302398877,0.012534056352886624,-0.02509318840300001,-0.04414713732096531,-0.01689935661452102,1.743994653224945e-05,-0.000108140311203897,0.000134272500872612,-0.0003049480104440061,-0.021269783377650953,0.013590136170385403,0.0007309893363265443,-0.00018976175372199724,0.0018379971365375168,-0.0012433259616505543,-0.0020457315512566157,-0.0001204460952601849,0.0009151194244623184,-0.0010686274505194993,0.13117722309904994
8,0.0045045409351587296,0.003298584371805191,0.005954840523190797,-0.14953010608911432,-0.668683329343791,0.014137087643156576,-0.00040290717268991194,-0.0007964267267471098,0.000695222254939093,-0.05341234536160633,-0.08393938675720947,-0.026405079633751605,0.00222976878285408,0.0013443101197481155,0.0032898234203457832,-0.0016324836015688682,-0.020061695694931103,0.016557488369943973,-0.0028062054734076386,-0.0035077037653422835,-0.0021524471683048163,-0.013662821560310179,-0.016544729601826624,-0.010764082477207504,0.0025545451790094376,-0.008845997745619893,0.11484786175689131
7,0.003614882007241249,0.002650501416064799,0.004910987801849842,-0.22063951665163106,-0.7317584754228594,-0.04251693024113039,0.002646785195862783,0.0015967992543428206,0.003920974724172549,-0.006349283875836442,-0.016439367021703344,0.00025936568552520356,0.0013980362564325333,0.0008036009967327118,0.002089887857437134,-0.0029945683479297713,-0.02118903249502399,0.016306525338440014,-0.0005536389866211688,-0.0006369714446464447,-0.00034575697520233817,-0.0022291300098019606,-0.00301726779763678,-0.0012967439742895825,0.0018924251198768616,-0.0030572999297158177,0.09062401186713194
10,0.0064717866480350494,0.005332578578963876,0.007959552109241486,0.028557764670845476,-0.1748895437717497,0.13505881118774576,-0.001949568468749524,-0.0028128095389882563,-0.0015484592458085145,-0.00526871512478555,-0.009643601942094016,0.0002883058254039561,0.002237169072031975,0.001899518072605133,0.0026813536416739224,-0.005580705122944396,-0.02713458405807434,0.011981966171036917,-0.0036649108904365305,-0.003769149142611228,-0.0028643809708670115,0.012385322460330084,0.009600424581252431,0.0159356815182653,0.004104578867554665,0.0004197284549350977,0.0887682295845945
16,0.008364291861653328,0.006088120862841606,0.01068814191967249,0.05746248098551865,-0.007759779691697943,0.2750397979021182,0.002331162000218004,0.0019174841646400903,0.0030252914694121197,0.00012730155638085439,-0.004877524436200709,0.002875040974580134,0.0013715382665395737,0.0005814071977511048,0.002031531184911728,0.001578049263950998,-0.009299064664839651,0.021885974586009382,0.01204257122346715,0.0049387328045728375,0.01827372886111809,-0.0008863251593552723,-0.003727375059646376,0.0012842678810716102,0.030294181779026985,-0.01538624941730149,0.08446217555015385
13,0.00805121473968029,0.006168980151414871,0.010172161273658276,0.32447082239389546,0.1601256980299941,0.6412769321525089,0.00401453139607616,0.003200637835984191,0.005704921989845926,-0.0035759203020173658,-0.00707688232076955,-8.123411913195941e-05,-0.0005301628261804581,-0.0007694409461691975,-0.00034179724752902985,0.0025894707441340703,-0.021965654008096,0.013681431487202023,0.0009528056575649965,-0.0008902409518757731,0.0036466869264073845,-3.6800393279357024e-05,-0.001407832171601675,0.001305275455356525,0.0005772560834884644,-0.0026570001105117314,0.0543434898560618
14,0.008446628227829933,0.0062203241745010015,0.011185960844159126,0.14989789941072829,0.11656079590320934,0.22004690254107828,0.0016450125786738323,0.0007554039849641259,0.0036613232136107343,-0.0010785839872298197,-0.00523208541295761,0.0027353957534284046,-0.0009555239230394363,-0.0012422828003764153,-0.0007111448794603348,0.002499049983025081,-0.011280142843725027,0.03174425661563873,0.004382504579202827,-0.0008261350829802485,0.009756580029533946,0.0024681559915070705,0.002043630429908183,0.0031539621146478014,0.0036826003342866898,-0.0020792227994209656,0.022606127387740073
15,0.008633121848106384,0.0061492882668972015,0.011131815123371781,0.08822493622541305,0.02413041871070698,0.1930125681869693,0.0016900050580896941,0.0013421963220896596,0.0027473909115224016,-0.003402132548396053,-0.007985290691823521,-0.0018297364390632564,-0.0006904192268848419,-0.0010987315326929092,-0.0003493577241897583,0.00405397840499977,-0.026700869202620936,0.013511379808187396,0.013812641949823415,0.003823320690614522,0.023539650236468215,0.005989045236222679,0.0043516279545573276,0.007974532801330092,0.006074246019124985,0.0026460654514289805,0.021796155392841486
17,0.007454665377736092,0.005402534268796444,0.009451819583773613,-0.045170056142807,-0.07986178410052602,-0.013708387780933862,0.0003497207828904725,-4.359379353181814e-05,0.0010634882448398442,-0.002893468529567289,-0.009601459225517806,0.0009859069689112099,-0.0010874224826693535,-0.0012836854672059416,-0.0009302054066210985,-0.003690517544745031,-0.013064078397753365,0.017756944775578987,0.023721511364412404,0.009006709267326926,0.04161579149023989,-0.0030672834681672034,-0.003522508221139639,-0.0022905515699293885,0.007812164723873138,-0.005736822047645362,0.010173451369361163
2,0.0006093718111515045,0.0004793137544766069,0.0007310695946216583,0.035710447213650465,-0.014767311513427472,0.07667895044355066,0.0005670807006618317,0.00015771011216059172,0.00107123410736161,-0.00013266735894001958,-0.0009343642755209602,0.0003578815026020754,-1.0488554835319519e-05,-0.0003076419234275818,0.0003920244053006172,-0.009100085496902333,-0.03181241634607157,0.017800940532559355,-0.00012367597107513367,-0.0003868394611791573,0.0006435982786894417,5.552844670864143e-05,-0.0011353273186375246,0.00045012222772544686,0.0017595570534467697,-0.0067144665212618415,0.007446299409988345
11,0.007268637418746948,0.00627549085766077,0.00862262025475502,0.06896576136350596,0.036452575586739755,0.17682849089146213,-0.004140023580771757,-0.005803547467256867,-0.002957886430568865,-0.0045852572431281935,-0.00833417744840681,-3.7414433921467705e-05,-5.391798913478851e-05,-0.0001898687332868576,8.066277951002121e-05,-0.0009000323200196725,-0.0064501845264439694,0.013189861297606242,-0.0002675421557884819,-0.0004859694981685666,8.71646135447296e-05,-0.0002526296361456959,-0.001891144215064372,0.0015031610548374985,0.0003168918192386627,-0.0006094971725185694,0.001996682582210556
0,0.00041992776095867157,-0.00018707476556301117,0.0011466210708022118,-0.01023293298482919,-0.02173049764841739,0.0,-0.000682123455870251,-0.0015370385130558106,0.0003285325861084598,-0.0024448104811649607,-0.004390567520067279,-0.0011207849600447517,-0.00012821145355701447,-0.00019541848450899124,-7.502515800297258e-05,-0.003474912202952707,-0.02216267819403961,0.014718333191867217,0.0004482966950635145,0.00010178665946956989,0.0008464131503541153,-0.0002359874853808952,-0.00101150938599881,0.00013850335131859737,0.0019228067249059677,-0.005428255486235489,0.000466201029115107
1,-0.00033122487366199493,-0.0009612180292606354,0.0005131205543875694,0.0044013261795039504,0.0,0.03769297999381971,-0.00036211681245652827,-0.0008733328743100732,0.0006433491625588152,-0.000591477380593397,-0.001297300555158981,9.202242565664598e-05,-0.00016109086573123932,-0.0002486836165189743,-9.228088892996308e-05,-0.005662209391592787,-0.01313761091433685,0.01119550156593796,0.0006494965852612972,0.00043124300431766904,0.000992116181540612,0.0013332931809354465,0.0005634948830355313,0.0019346673224140964,0.0010268334299325943,-0.0010088020996961156,9.557562314133315e-05
