run,pulses,events,support_pulses,support_events,median_late_norm,p90_late_norm,support_event_fraction
58,219,73,57,23,5.06823800890061,6.601856206928997,0.3150684931506849
59,2289,763,122,80,4.847358722358722,6.178869766090415,0.10484927916120576
60,2424,808,116,76,4.959006011366718,6.218054125826366,0.09405940594059406
61,2799,933,203,123,5.107050730868444,6.323043496973688,0.13183279742765272
62,2421,807,135,90,4.896701703515767,6.254408060453401,0.11152416356877323
63,1110,370,76,44,4.744476576055524,6.186858010094092,0.11891891891891893
65,198,66,29,12,4.899196010099744,6.487245993436898,0.18181818181818182
