stave,n_train_pulses,template_peak_sample,template_cfd20_sample,template_area,heldout_run
B2,215035,5,2.845717377219808,9.031820910930032,44
B4,1098,6,3.0357439647246047,10.588934990846974,44
B6,925,6,3.5924196842614426,9.340778586497544,44
B8,447,8,3.91050924310347,9.400891133925237,44
B2,197399,5,2.7870991508463128,9.008792095919077,45
B4,929,6,3.0282673029187293,10.49019234287513,45
B6,832,6,3.5647504164210244,9.303028297131982,45
B8,386,8,4.067028824470946,9.23870512196828,45
B2,216020,5,2.8564497840649787,9.03163284345107,46
B4,1126,6,3.032889380896861,10.562594450114924,46
B6,932,6,3.5815642498277556,9.343694433769643,46
B8,450,8,3.9810628879401575,9.379460979430128,46
B2,212032,5,2.8680666768790144,9.02573249907157,47
B4,1100,6,3.045018079887842,10.573145432753568,47
B6,916,6,3.5901601251500512,9.360922100651376,47
B8,444,8,3.9467064839885473,9.41679960165554,47
B2,205530,5,2.7894452484865733,9.0244482276407,48
B4,980,6,3.0473326589907277,10.508563066238663,48
B6,867,6,3.5709445505195427,9.352465929791878,48
B8,400,8,4.050230546297677,9.254550890387353,48
B2,204869,5,2.7900702688912156,9.021562387912619,49
B4,990,6,3.0215169341567307,10.62572711281696,49
B6,848,6,3.5558143767689256,9.347555270579294,49
B8,403,8,3.877401770314393,9.425408997048248,49
B2,186176,5,2.927993707271354,9.056474328389355,50
B4,1053,6,3.0273654864664765,10.565048575711876,50
B6,834,6,3.625461132257196,9.345900684762126,50
B8,405,8,4.010476300450096,9.337735514998549,50
B2,203968,5,2.8814447252807014,9.03172118028089,51
B4,1077,6,3.0357626036465124,10.574690617558945,51
B6,869,6,3.5622934005634557,9.348277632687049,51
B8,435,8,3.9475062831314807,9.426983010967628,51
B2,210452,5,2.8698783891051645,9.032554981932405,52
B4,1099,6,3.031350705064416,10.575995902821077,52
B6,909,6,3.5741017136033175,9.343981122384706,52
B8,441,8,4.036226019455345,9.331784220301248,52
B2,186855,5,2.8128666787536636,9.072913844902518,53
B4,1055,6,2.999330605557342,10.569808992292133,53
B6,845,6,3.55127400084367,9.337561414718706,53
B8,412,8,3.8095045236853773,9.498799343327573,53
B2,188475,5,2.8192528677773523,9.074049483034553,54
B4,1054,6,2.9916515777609103,10.627786819838414,54
B6,831,6,3.5432208162232053,9.350444546998684,54
B8,416,8,3.905143663000948,9.402511284078525,54
B2,201548,5,2.8891680496729077,9.032230994763191,55
B4,1068,6,3.0266744125444704,10.536464484621895,55
B6,873,6,3.5943046382851724,9.341927866284717,55
B8,431,8,3.946065541979399,9.424640417404403,55
B2,181958,5,2.961589543776012,9.042049336117495,56
B4,1027,7,3.0058715544270695,10.646803791656566,56
B6,806,6,3.592977909801791,9.361684062225175,56
B8,396,8,4.032006966260565,9.384900399909023,56
B2,205795,5,2.7875952299994684,9.025269621828825,57
B4,982,6,3.045296580461275,10.536423455742586,57
B6,855,6,3.5675301201180067,9.338273613044445,57
B8,397,8,3.902673834734015,9.366673088810685,57
