severity,code,path,line,message,evidence
P1,ABSOLUTE_PATH_JSON,/Users/billy/ccb-pr/result.json,1,JSON contains absolute artifact/data paths,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/01_build_pulse_table_from_root.py,451,Argument --skip-ml appears declared but unused,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/01_build_pulse_table_from_root.py,453,Argument --skip-sha256 appears declared but unused,
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/1783727976_9059_2fa2489b_pedestal_energy_pid_coupling.py,24,Committed absolute path reduces portability,"""/tmp/matplotlib-pedestal-energy-pid"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/1783727976_9059_2fa2489b_pedestal_energy_pid_coupling.py,605,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/1783727976_9059_2fa2489b_pedestal_energy_pid_coupling.py --config configs/1783727976.9059.2fa2489b_pedestal_energy_pid"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/bakeoff01_0000000002_1_systematic_ml_bakeoff.py,28,Committed absolute path reduces portability,"""/tmp/matplotlib-s19a-nnarch"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/bakeoff01_0000000002_1_systematic_ml_bakeoff.py,1346,Committed absolute path reduces portability,"""/home/billy/anaconda3/bin/python scripts/bakeoff01_0000000002_1_systematic_ml_bakeoff.py --config configs/bakeoff01_0000000002_1_systematic_ml_bakeoff.yaml"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/cfd_of_scan.py,11,Committed absolute path reduces portability,"""/tmp/cfd_of_scan"
P0,INDEX_PARITY_SPLIT,/Users/billy/ccb-pr/scripts/compare_data_mc.py,1,Index-parity split may leak correlated rows/events,
P0,EVENTNO_ONLY_JOIN,/Users/billy/ccb-pr/scripts/data01_sample_split_staves.py,116,Event-level join appears to use eventno without run,
P0,EVENTNO_ONLY_JOIN,/Users/billy/ccb-pr/scripts/data01_sample_split_staves.py,197,Event-level join appears to use eventno without run,
P0,INDEX_PARITY_SPLIT,/Users/billy/ccb-pr/scripts/data01_sample_split_staves.py,1,Index-parity split may leak correlated rows/events,
P1,UNSEEDED_RANDOMNESS,/Users/billy/ccb-pr/scripts/data01_sample_split_staves.py,1,Random sampling found without an obvious fixed seed,
P0,EVENTNO_ONLY_JOIN,/Users/billy/ccb-pr/scripts/final_gap_closure.py,56,Event-level join appears to use eventno without run,
P0,EVENTNO_ONLY_JOIN,/Users/billy/ccb-pr/scripts/final_gap_closure.py,57,Event-level join appears to use eventno without run,
P0,EVENTNO_ONLY_JOIN,/Users/billy/ccb-pr/scripts/final_gap_closure.py,58,Event-level join appears to use eventno without run,
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/final_gap_closure.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/final_gap_closure.py,45,Argument --data-table appears declared but unused,
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/g4_01_waveform_sim_vs_data.py,22,Committed absolute path reduces portability,"""/tmp/matplotlib-g4-01"
P1,UNUSED_ARGUMENT,/Users/billy/ccb-pr/scripts/g4_04_response_tuning.py,423,Argument --skip-raw appears declared but unused,
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/g4_05_1781212364_2054572_5f095c0d_timing_validation.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/g4_05_1783752394_31275_28c6033a_digitized_waveform_closure.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/g4_05_1783752394_31275_28c6033a_digitized_waveform_closure.py,42,Committed absolute path reduces portability,"""/home/billy/ccb-geant4/output_krakow_1M.root"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/g4_05_1783752394_31275_28c6033a_digitized_waveform_closure.py,43,Committed absolute path reduces portability,"""/home/billy/ccb-geant4/output_30k.root"
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/g4_05b_1783692433_12762_228f1a00_template_digitizer_closure.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/g4_05b_1783692433_12762_228f1a00_template_digitizer_closure.py,19,Committed absolute path reduces portability,"""/tmp/matplotlib-g405b"
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/g4_06_1781212365_pileup_validation.py,23,Committed absolute path reduces portability,"""/tmp/matplotlib-g4-06"
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/g4_07_1783799100_16340_13243f64_event_aligned_digitizer_closure.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P0,MC_WEIGHT_NOT_DECLARED,/Users/billy/ccb-pr/scripts/g4_07_domain_gap.py,1,MC truth reader has no PrimaryWeight or explicit unweighted justification,
P1,ABSOLUTE_PATH,/Users/billy/ccb-pr/scripts/g4_07_domain_gap.py,39,Committed absolute path reduces portability,"""/home/billy/Desktop/test_beam/data/root/root"
