geometry,current_family,depth_stave,saturated_stave,method,n_saturated,n_runs,matched_unsat_control_rows,energy_res68,energy_res68_ci95,sat_minus_unsat_log_charge_delta,sat_minus_unsat_log_charge_delta_ci95,passes_res68_margin,passes_log_delta_limit
center_2cm,high_20nA,B2,B2,observed_even_charge,102060,19,1389157839,0.01909868978073184,"[0.01742827048240938, 0.02420142874234866]",-0.2536140979724337,"[-0.2831794023807145, -0.2069998680855266]",True,False
center_2cm,high_20nA,B2,B2,traditional_template_corrected,102060,19,1389157839,0.07705037542561333,"[0.07538810377933321, 0.08001993465031046]",-0.2436397099067975,"[-0.27324308441591205, -0.19749043700910424]",False,False
center_2cm,high_20nA,B2,B2,p07_p04_corrected,102060,19,1389157839,0.025338160798628877,"[0.02482870214048016, 0.02659127159788701]",-0.25169457582671273,"[-0.28148942910600916, -0.20546208894093657]",True,False
center_2cm,high_20nA,B2,B2,ridge,102060,19,1389157839,0.049374439395339774,"[0.04802869891698812, 0.05218527275747187]",0.037324173192716255,"[0.0332674621319886, 0.0514391407017037]",True,True
center_2cm,high_20nA,B2,B2,gradient_boosted_trees,102060,19,1389157839,0.01713614507367928,"[0.015950484762386634, 0.019527806014484974]",-0.030504630439513316,"[-0.03360733188104678, -0.022061397635401023]",True,True
center_2cm,high_20nA,B2,B2,mlp,102060,19,1389157839,0.043154327317133576,"[0.04074877129127917, 0.04654805199723453]",0.004672328300037706,"[-0.005149907039940439, 0.014865258753666087]",True,True
center_2cm,high_20nA,B2,B2,1d_cnn,102060,19,1389157839,0.1417193283967374,"[0.1348507253511468, 0.15221277738878042]",-0.03311342455241097,"[-0.043213722250028896, -0.024268317686806224]",False,True
center_2cm,high_20nA,B2,B2,template_residual_mlp,102060,19,1389157839,0.02852169091151305,"[0.027427739710593577, 0.032045636382213395]",-0.014448633353538657,"[-0.017418318628222212, -0.00977899951663156]",True,True
center_2cm,high_20nA,B4,B2,observed_even_charge,1564,19,993061,0.02482103109264967,"[0.023376284319882822, 0.02600266462829051]",-0.6750049995165086,"[-0.7703125226876804, -0.6326946699061937]",True,False
center_2cm,high_20nA,B4,B2,traditional_template_corrected,1564,19,993061,0.028577881774667135,"[0.025358203660817733, 0.031350156622432325]",-0.6640016214257833,"[-0.7717153695568227, -0.57023169160235]",True,False
center_2cm,high_20nA,B4,B2,p07_p04_corrected,1564,19,993061,0.025237045753099124,"[0.023695256545558673, 0.026548091638172344]",-0.6714623901155063,"[-0.7599047394244689, -0.633958424565024]",True,False
center_2cm,high_20nA,B4,B2,ridge,1564,19,993061,0.021506684967068906,"[0.01808624789567617, 0.024510634106995555]",0.03878334560659248,"[-0.0008309551264524527, 0.07155002640365389]",True,True
center_2cm,high_20nA,B4,B2,gradient_boosted_trees,1564,19,993061,0.014864353677142674,"[0.013830971929734063, 0.016430474982063382]",-0.11779123305017852,"[-0.14125510571999705, -0.10388174500336395]",True,True
center_2cm,high_20nA,B4,B2,mlp,1564,19,993061,0.045042888914698764,"[0.04257046952786246, 0.04875285801311423]",-0.0442955331240737,"[-0.07237354611194119, -0.03143389398307531]",True,True
center_2cm,high_20nA,B4,B2,1d_cnn,1564,19,993061,0.14171144709108954,"[0.13318908399803128, 0.1472474052851755]",-0.7759519829142887,"[-0.8538270342671793, -0.6180500230624492]",False,False
center_2cm,high_20nA,B4,B2,template_residual_mlp,1564,19,993061,0.017739059602741934,"[0.01672205093962181, 0.019090007444557616]",-0.0010112206175061506,"[-0.01563954762241531, 0.010387343963131417]",True,True
center_2cm,high_20nA,B4,B4,observed_even_charge,73,16,107403,0.012692550602999803,"[0.009179283199496464, 0.029378911249776495]",-0.5351764453648967,"[-0.7977422024407224, -0.463370955085144]",True,False
center_2cm,high_20nA,B4,B4,traditional_template_corrected,73,16,107403,0.02633746637884643,"[0.01919405230971788, 0.04518592426757341]",-0.5261401198414759,"[-0.8026968467616471, -0.45565182895816325]",True,False
