method,family,worst_geometry_saturated_energy_res68,best_geometry_saturated_energy_res68,max_depth_order_violation_rate,max_abs_log_charge_delta
gradient_boosted_trees,ml_tree,0.03272313145785976,0.017076778260249375,0.0,0.21741522666832375
observed_even_charge,traditional_observed,0.03731349902581061,0.019142338665628048,0.0,1.019273523029971
p07_p04_corrected,ml_p07_p04_duplicate,0.047767186358036395,0.025224122051001344,0.0,1.0147272942502825
template_residual_mlp,neural_template_residual,0.05441782563462865,0.028233841250377714,0.0,0.08251109482443529
mlp,neural_tabular,0.08237993380015483,0.04301101462601709,0.0,0.16341426434293785
ridge,ml_linear,0.0939321089729014,0.048905452810441105,0.0,0.06224756977993029
traditional_template_corrected,traditional_rising_edge_template,0.14557957998552626,0.07625133182515677,0.0,1.002068529215389
1d_cnn,neural_waveform,0.27837678522929415,0.14054965260429997,0.0,0.7759519829142887
