geometry,method,family,saturated_energy_res68,saturated_energy_res68_ci95,traditional_minus_observed_res68,traditional_worsens_observed
center_4cm,observed_even_charge,traditional_observed,0.020494395351382345,"[0.01858931300528812, 0.02522964362601408]",0.061055928666714214,True
center_4cm,traditional_template_corrected,traditional_rising_edge_template,0.08155032401809656,"[0.07998853703930026, 0.08443480854765954]",0.061055928666714214,True
center_4cm,p07_p04_corrected,ml_p07_p04_duplicate,0.02696146576720048,"[0.02640334508422177, 0.028060678788754036]",0.061055928666714214,True
center_4cm,ridge,ml_linear,0.05232284096379404,"[0.051261337161133125, 0.055610107070073446]",0.061055928666714214,True
center_4cm,gradient_boosted_trees,ml_tree,0.0182769327627102,"[0.01677008222965071, 0.02036959525719971]",0.061055928666714214,True
center_4cm,mlp,neural_tabular,0.04599012302604188,"[0.04327192453414811, 0.05006510928850111]",0.061055928666714214,True
center_4cm,1d_cnn,neural_waveform,0.15064722220878962,"[0.1442115823367934, 0.16193164037721874]",0.061055928666714214,True
center_4cm,template_residual_mlp,neural_template_residual,0.03022448751030509,"[0.028915909012371583, 0.03339869888774684]",0.061055928666714214,True
center_2cm,observed_even_charge,traditional_observed,0.019142338665628048,"[0.017346462079950227, 0.023595636268388304]",0.05710899315952872,True
center_2cm,traditional_template_corrected,traditional_rising_edge_template,0.07625133182515677,"[0.07473621415946648, 0.0789592904094099]",0.05710899315952872,True
center_2cm,p07_p04_corrected,ml_p07_p04_duplicate,0.025224122051001344,"[0.024707036654735906, 0.026273374231200547]",0.05710899315952872,True
center_2cm,ridge,ml_linear,0.048905452810441105,"[0.047889913477699254, 0.05195750540640377]",0.05710899315952872,True
center_2cm,gradient_boosted_trees,ml_tree,0.017076778260249375,"[0.015674321896237298, 0.019054576210867407]",0.05710899315952872,True
center_2cm,mlp,neural_tabular,0.04301101462601709,"[0.04047845384282614, 0.04678329335132975]",0.05710899315952872,True
center_2cm,1d_cnn,neural_waveform,0.14054965260429997,"[0.13458602690186736, 0.1512391770678927]",0.05710899315952872,True
center_2cm,template_residual_mlp,neural_template_residual,0.028233841250377714,"[0.02701527108196722, 0.031158797183826283]",0.05710899315952872,True
zero_4cm,observed_even_charge,traditional_observed,0.03731349902581061,"[0.034787914863432856, 0.0448627122372889]",0.10826608095971565,True
zero_4cm,traditional_template_corrected,traditional_rising_edge_template,0.14557957998552626,"[0.14268873039627172, 0.1501975675603111]",0.10826608095971565,True
zero_4cm,p07_p04_corrected,ml_p07_p04_duplicate,0.047767186358036395,"[0.04680434240422046, 0.050313023232839954]",0.10826608095971565,True
zero_4cm,ridge,ml_linear,0.0939321089729014,"[0.09170511782339107, 0.09921041873561039]",0.10826608095971565,True
zero_4cm,gradient_boosted_trees,ml_tree,0.03272313145785976,"[0.03042339569258338, 0.03690809961358463]",0.10826608095971565,True
zero_4cm,mlp,neural_tabular,0.08237993380015483,"[0.0770079224401064, 0.0901260438937329]",0.10826608095971565,True
zero_4cm,1d_cnn,neural_waveform,0.27837678522929415,"[0.26786454714216607, 0.2938768343785264]",0.10826608095971565,True
zero_4cm,template_residual_mlp,neural_template_residual,0.05441782563462865,"[0.051872650849236666, 0.06019137000325079]",0.10826608095971565,True
