method,shuffled_proxy,n_pairs,n_events,veto_fraction,timing_efficiency,tail_fraction_before,tail_fraction_after,tail_capture,tail_fraction_delta,auc,average_precision,brier,veto_fraction_ci_low,veto_fraction_ci_high,tail_fraction_after_ci_low,tail_fraction_after_ci_high,tail_fraction_delta_ci_low,tail_fraction_delta_ci_high,tail_capture_ci_low,tail_capture_ci_high,auc_ci_low,auc_ci_high,average_precision_ci_low,average_precision_ci_high
traditional_quantile,False,11460,3820,0.10026178010471204,0.8997382198952879,0.015183246073298429,0.011541072640868975,0.3160919540229885,-0.0036421734324294536,0.7011703035598982,0.05064350532643156,0.35755353210498464,0.08092750989525854,0.11720505073979394,0.007611604256471719,0.013815695769833358,-0.00453477227888609,-0.002694507695554478,0.26388675869120654,0.36923423423423424,0.6723833083987466,0.7314608484069256,0.03821340588538195,0.07067898102136852
traditional_quantile,True,11460,3820,0.10130890052356022,0.8986910994764398,0.015183246073298429,0.014855811243810078,0.1206896551724138,-0.000327434829488351,0.521960378130977,0.016748763825822542,0.3620397249703686,0.09731202281455711,0.10651855311355311,0.011357074109720885,0.018121076203360665,-0.0011584163038123579,0.0003749522206782868,0.07912108329865034,0.1680079207920792,0.4836148410216121,0.5606341151038008,0.013338349264948271,0.02047022362527711
ridge,False,11460,3820,0.10052356020942409,0.8994764397905759,0.015183246073298429,0.00863407062475747,0.4885057471264368,-0.006549175448540959,0.7315568469530962,0.14863613023692407,0.2072547964898249,0.08996806519105825,0.1086638969889146,0.005274464951587127,0.01098582068226152,-0.008184525103620334,-0.004710169284732242,0.4074000878348704,0.5866666666666667,0.687316960923772,0.7956515561531996,0.08013723785595991,0.2495569345374611
ridge,True,11460,3820,0.0830715532286213,0.9169284467713787,0.015183246073298429,0.013703844689760183,0.1724137931034483,-0.0014794013835382463,0.42743374458437977,0.03840163784290514,0.24726810942583904,0.06227267823816325,0.1010624015161592,0.01022473106827138,0.015772020985232817,-0.003948618931792524,0.00026306885484177515,0.053094414815683055,0.2912621359223301,0.30981294449998925,0.537699843442832,0.02261687206251349,0.09483370340249792
gradient_boosted_trees,False,11460,3820,0.10209424083769633,0.8979057591623036,0.015183246073298429,0.00816326530612245,0.5172413793103449,-0.007019980767175979,0.7450100928624825,0.24766622429650578,0.012721379317414426,0.09491869918699188,0.10917953534105664,0.005688881605673485,0.010012720126277005,-0.00871115194209173,-0.005020003128735754,0.45368589743589743,0.5714558342420937,0.710617022502351,0.7694211164468366,0.1753013855696869,0.3209596458416781
gradient_boosted_trees,True,11460,3820,0.09720767888307155,0.9027923211169284,0.015183246073298429,0.014111734003479606,0.16091954022988506,-0.0010715120698188228,0.4528257978046242,0.017214266368409677,0.015067669721935463,0.07010390510098526,0.11886685690799238,0.009054260403131101,0.017703149898144224,-0.0027881570392991866,0.000211161967905787,0.0886491479163893,0.31729645593869726,0.3886534124600899,0.5741537279363497,0.012903381591819453,0.02681951691780038
mlp,False,11460,3820,0.10148342059336823,0.8985165794066318,0.015183246073298429,0.008449062833835098,0.5,-0.006734183239463331,0.7418401600192284,0.2896977432252118,0.012437487509389309,0.0919883994924778,0.1082172420755098,0.005967055705664485,0.010463077513620847,-0.00841509849793937,-0.0048327513584954275,0.4487730968218773,0.5570469798657718,0.7244181464230215,0.7648792594593339,0.23098572019841387,0.40238370188930495
mlp,True,11460,3820,0.10165794066317627,0.8983420593368238,0.015183246073298429,0.014473045167557066,0.14367816091954022,-0.0007102009057413632,0.4608074086295502,0.0180871764731641,0.07494535663368875,0.09253863361614183,0.10839880606688045,0.010491194586418407,0.017766497461928935,-0.0014756936853960929,-0.00013730936735847042,0.10675524858388259,0.19388672735281162,0.37783009500073017,0.5078230115687279,0.010702422066991355,0.04217884873445433
cnn1d,False,11460,3820,0.09790575916230367,0.9020942408376963,0.015183246073298429,0.008028632230605534,0.5229885057471264,-0.007154613842692895,0.7386824486038037,0.3160370605327882,0.14557208319132472,0.08138244823771139,0.11069965854695514,0.005604483586869495,0.009952202297018771,-0.008986539050897004,-0.004977419189479879,0.4670238095238095,0.5818560606060605,0.7149011243151384,0.8008574112468221,0.21126004014686017,0.47317684331888954
cnn1d,True,11460,3820,0.09389179755671902,0.9061082024432809,0.015183246073298429,0.01454160246533128,0.13218390804597702,-0.0006416436079671496,0.35694003963816423,0.014342352416722664,0.24983898824226541,0.0851165652203265,0.0986296965599606,0.01051146899984403,0.01792886225477201,-0.001260070933119797,-0.00024072993529434283,0.10734463276836158,0.1718792002688172,0.3153591567841601,0.4014364057592017,0.011875987071562486,0.019618519184682152
siamese_cnn_meta,False,11460,3820,0.09738219895287958,0.9026178010471204,0.015183246073298429,0.008217324052590874,0.5114942528735632,-0.006965922020707555,0.7420504704231262,0.30219786947914085,0.13736291162293293,0.07869099356387492,0.11014074818998779,0.005574826560951437,0.01015892174612754,-0.008495614688028378,-0.005437011362452542,0.45454545454545453,0.5646495483439277,0.713599724727516,0.7793999229630105,0.2291616555502638,0.4344589858617821
siamese_cnn_meta,True,11460,3820,0.06055846422338569,0.9394415357766143,0.015183246073298429,0.014118521270666914,0.12643678160919541,-0.0010647248026315146,0.41166199197052195,0.035633523332603896,0.24493031019491804,0.04690432775139371,0.08489388264669163,0.009147604765665625,0.018483812930657883,-0.002377105189783685,0.0003365566130291856,0.034482758620689655,0.26584388185654007,0.3249535870671461,0.5000752743124354,0.013918129635465409,0.0815935975535869
