method,delta_auc_vs_shuffled,delta_tail_after_vs_shuffled,delta_tail_capture_vs_shuffled
cnn1d,0.3817424089656395,-0.006512970234725746,0.3908045977011494
gradient_boosted_trees,0.29218429505785837,-0.0059484686973571566,0.3563218390804598
siamese_cnn_meta,0.3303884784526043,-0.00590119721807604,0.3850574712643678
mlp,0.28103275138967815,-0.006023982333721967,0.3563218390804598
ridge,0.3041231023687164,-0.005069774065002712,0.3160919540229885
traditional_quantile,0.17920992542892122,-0.0033147386029411027,0.1954022988505747
