method,run,n_records,mean_bias_adc,mae_adc,rmse_adc
traditional_median4_pre,57,314928,10.714309302443732,25.218106995884774,132.2321457868256
traditional_median4_pre,65,492408,1.874845656447499,16.893752741628894,38.4889555724874
traditional_mean4_pre,57,314928,10.338018531219834,24.524573870853022,128.40394113971038
traditional_mean4_pre,65,492408,1.8466068788484347,16.536999805039724,37.44445783997634
traditional_median4_plus_train_offset,57,314928,8.735142635777066,25.10413173804806,132.03177757045887
traditional_median4_plus_train_offset,65,492408,-0.10432101021916784,16.80356330522656,38.44183582936028
traditional_adaptive_pc_excluding_target,57,314928,-15.021228661789362,23.734728255347253,145.5140392170129
traditional_adaptive_pc_excluding_target,65,492408,-5.8324753050316,14.65011027440659,41.844802431802826
ml_pretrigger_extra_trees_calibrated,57,314928,-1.9613958458949001,19.79215502972829,47.80732167349672
ml_pretrigger_extra_trees_calibrated,65,492408,-0.5468807976191259,17.24822897513506,24.058770531273712
