run,events_total,selected_b_stave_pulses,quiet_proxy_events,quiet_proxy_stave_records
31,39990,27871,9812,39248
32,41921,28240,11088,44352
33,57173,48737,7687,30748
34,39765,34118,5143,20572
35,27786,11667,12953,51812
36,21764,10391,9022,36088
37,50513,24537,20095,80380
39,30321,14218,12368,49472
40,32613,14708,13568,54272
41,33997,16146,13605,54420
42,33972,18112,12000,48000
44,4294,2038,1737,6948
45,48181,24333,17934,71736
46,1441,687,608,2432
47,10970,5276,4596,18384
48,31713,14000,13452,53808
49,32354,14815,13274,53096
50,44804,35217,8013,32052
51,20569,14740,4654,18616
52,10005,7152,2299,9196
53,39612,32200,6245,24980
54,37413,30440,5900,23600
55,24416,17387,5631,22524
56,51823,40148,9680,38720
57,31284,13833,13122,52488
58,34141,16781,14486,57944
59,42303,21377,22021,88084
60,36074,17029,20189,80756
61,36535,18965,19690,78760
62,37584,19089,19637,78548
63,37030,18817,17292,69168
64,35943,14630,18649,74596
65,38424,13038,20517,82068
