file,stack,run,entries,trigger_summary,non_beam_trigger_entries,forced_random_filename_token
hrda_run_0000.root,hrda,0,0,empty,0,False
hrda_run_0001.root,hrda,1,0,empty,0,False
hrda_run_0002.root,hrda,2,0,empty,0,False
hrda_run_0003.root,hrda,3,0,empty,0,False
hrda_run_0012.root,hrda,12,15043,1:15043,0,False
hrda_run_0013.root,hrda,13,51109,1:51109,0,False
hrda_run_0014.root,hrda,14,3495,1:3495,0,False
hrda_run_0015.root,hrda,15,103882,1:103882,0,False
hrda_run_0016.root,hrda,16,11984,1:11984,0,False
hrda_run_0017.root,hrda,17,5670,1:5670,0,False
hrda_run_0018.root,hrda,18,75391,1:75391,0,False
hrda_run_0019.root,hrda,19,73816,1:73816,0,False
hrda_run_0020.root,hrda,20,57759,1:57759,0,False
hrda_run_0021.root,hrda,21,0,empty,0,False
hrda_run_0022.root,hrda,22,0,empty,0,False
hrda_run_0023.root,hrda,23,3815,1:3815,0,False
hrda_run_0024.root,hrda,24,24988,1:24988,0,False
hrda_run_0025.root,hrda,25,3315,1:3315,0,False
hrda_run_0026.root,hrda,26,54079,1:54079,0,False
hrda_run_0027.root,hrda,27,34986,1:34986,0,False
hrda_run_0028.root,hrda,28,5222,1:5222,0,False
hrda_run_0029.root,hrda,29,25873,1:25873,0,False
hrda_run_0030.root,hrda,30,5243,1:5243,0,False
hrda_run_0031.root,hrda,31,39994,1:39994,0,False
hrda_run_0032.root,hrda,32,41913,1:41913,0,False
hrda_run_0033.root,hrda,33,57167,1:57167,0,False
hrda_run_0034.root,hrda,34,39721,1:39721,0,False
hrda_run_0035.root,hrda,35,27764,1:27764,0,False
hrda_run_0036.root,hrda,36,21755,1:21755,0,False
hrda_run_0037.root,hrda,37,50511,1:50511,0,False
hrda_run_0039.root,hrda,39,30336,1:30336,0,False
hrda_run_0040.root,hrda,40,32645,1:32645,0,False
hrda_run_0041.root,hrda,41,34021,1:34021,0,False
hrda_run_0042.root,hrda,42,33976,1:33976,0,False
hrda_run_0043.root,hrda,43,13,1:13,0,False
hrda_run_0044.root,hrda,44,4299,1:4299,0,False
hrda_run_0045.root,hrda,45,48208,1:48208,0,False
hrda_run_0046.root,hrda,46,1444,1:1444,0,False
hrda_run_0047.root,hrda,47,10982,1:10982,0,False
hrda_run_0048.root,hrda,48,31671,1:31671,0,False
hrda_run_0049.root,hrda,49,32325,1:32325,0,False
hrda_run_0050.root,hrda,50,44824,1:44824,0,False
hrda_run_0051.root,hrda,51,20566,1:20566,0,False
hrda_run_0052.root,hrda,52,10010,1:10010,0,False
hrda_run_0053.root,hrda,53,39621,1:39621,0,False
hrda_run_0054.root,hrda,54,37385,1:37385,0,False
hrda_run_0055.root,hrda,55,24409,1:24409,0,False
hrda_run_0056.root,hrda,56,51829,1:51829,0,False
hrda_run_0057.root,hrda,57,31275,1:31275,0,False
hrda_run_0058.root,hrda,58,34178,1:34178,0,False
hrda_run_0059.root,hrda,59,42314,1:42314,0,False
hrda_run_0060.root,hrda,60,36089,1:36089,0,False
hrda_run_0061.root,hrda,61,36550,1:36550,0,False
hrda_run_0062.root,hrda,62,37589,1:37589,0,False
hrda_run_0063.root,hrda,63,37040,1:37040,0,False
hrda_run_0064.root,hrda,64,35985,1:35985,0,False
hrda_run_0065.root,hrda,65,38429,1:38429,0,False
hrdb_run_0012.root,hrdb,12,14791,1:14791,0,False
hrdb_run_0013.root,hrdb,13,50629,1:50629,0,False
hrdb_run_0014.root,hrdb,14,3479,1:3479,0,False
hrdb_run_0015.root,hrdb,15,103871,1:103871,0,False
hrdb_run_0016.root,hrdb,16,11533,1:11533,0,False
hrdb_run_0017.root,hrdb,17,5648,1:5648,0,False
hrdb_run_0018.root,hrdb,18,75023,1:75023,0,False
hrdb_run_0019.root,hrdb,19,73470,1:73470,0,False
hrdb_run_0020.root,hrdb,20,57388,1:57388,0,False
hrdb_run_0021.root,hrdb,21,0,empty,0,False
hrdb_run_0022.root,hrdb,22,0,empty,0,False
hrdb_run_0023.root,hrdb,23,3806,1:3806,0,False
hrdb_run_0024.root,hrdb,24,24908,1:24908,0,False
hrdb_run_0025.root,hrdb,25,3315,1:3315,0,False
hrdb_run_0026.root,hrdb,26,53953,1:53953,0,False
hrdb_run_0027.root,hrdb,27,34979,1:34979,0,False
hrdb_run_0028.root,hrdb,28,5203,1:5203,0,False
hrdb_run_0029.root,hrdb,29,25800,1:25800,0,False
hrdb_run_0030.root,hrdb,30,5265,1:5265,0,False
hrdb_run_0031.root,hrdb,31,39990,1:39990,0,False
hrdb_run_0032.root,hrdb,32,41921,1:41921,0,False
hrdb_run_0033.root,hrdb,33,57173,1:57173,0,False
hrdb_run_0034.root,hrdb,34,39765,1:39765,0,False
hrdb_run_0035.root,hrdb,35,27786,1:27786,0,False
hrdb_run_0036.root,hrdb,36,21764,1:21764,0,False
hrdb_run_0037.root,hrdb,37,50513,1:50513,0,False
hrdb_run_0039.root,hrdb,39,30321,1:30321,0,False
hrdb_run_0040.root,hrdb,40,32613,1:32613,0,False
hrdb_run_0041.root,hrdb,41,33997,1:33997,0,False
