method,n_records,mean_bias_adc,mean_bias_ci_low_adc,mean_bias_ci_high_adc,mae_adc,mae_ci_low_adc,mae_ci_high_adc,rmse_adc,median_bias_adc,q05_adc,q95_adc
traditional_adaptive_pc_excluding_target,807336,-9.416851224273413,-15.209960375,-5.8333848125,18.19386476014943,14.605646125,23.871550499999998,96.58004047713871,-1.5,-41.5,19.0
ml_pretrigger_extra_trees_calibrated,807336,-1.0986589855401319,-2.0090959859028152,-0.4827267381597888,18.240571128242234,17.19582617867993,20.012132737172365,35.278677190398106,1.7466968237167748,-43.18649562382143,27.746696823716775
traditional_mean4_pre,807336,5.158961696245429,1.61019853125,11.613850375,19.652816175669113,16.46836496875,24.3826745,85.36203856984763,2.0,-36.0,35.25
traditional_median4_plus_train_offset,807336,3.343802951930795,-0.1163938125,9.195024906249998,20.041473438568328,16.7454753125,25.68421109375,87.75760976703558,0.0,-39.0,34.0
traditional_median4_pre,807336,5.322969618597461,1.7800579375,11.1162020625,20.140941318112905,16.73845175,25.934231812500002,87.8877916639783,2.0,-37.0,36.0
