method,n,balanced_accuracy,macro_f1,macro_precision,macro_recall,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,macro_precision_ci_low,macro_precision_ci_high,macro_recall_ci_low,macro_recall_ci_high
gradient_boosted_trees,7660,0.9373736842105264,0.9198726975492646,0.9104657993384785,0.9373736842105264,0.9348055717488186,0.940119215124498,0.9156939765753942,0.9241492668299732,0.9060457700714657,0.9153941831156551,0.9348055717488186,0.940119215124498
hybrid_cnn_tabular,7660,0.9284112781954887,0.913524743263608,0.9047048257996476,0.9284112781954887,0.9263971098641831,0.9302453760226677,0.9096958117814343,0.918060022062409,0.8998670782851735,0.9106810915588042,0.9263971098641831,0.9302453760226677
mlp,7660,0.9260330827067669,0.9166594731877087,0.9097653668340299,0.9260330827067669,0.9228558242150835,0.9294191084623988,0.9123849980851723,0.9207914743915273,0.9048817170439305,0.9142922859141848,0.9228558242150835,0.9294191084623988
ridge,7660,0.9102458646616541,0.8847883113816866,0.8771919655174011,0.9102458646616541,0.9051219376877356,0.9148755250223515,0.8790298891406174,0.8902589705549157,0.8718464163784841,0.8825697128782849,0.9051219376877356,0.9148755250223515
cnn1d,7660,0.8977270676691729,0.8725616183186249,0.8654564649537919,0.8977270676691729,0.8914608584639554,0.9039000991352182,0.8648113001001203,0.8794968343214122,0.8590086388809937,0.8715477914112171,0.8914608584639554,0.9039000991352182
traditional_bands,7660,0.8028082706766917,0.8019811705953941,0.8011873167708914,0.8028082706766917,0.7536442489177315,0.8308345577937776,0.7655249191829209,0.8217156237285359,0.7901557316743664,0.8159600326771803,0.7536442489177315,0.8308345577937776
