eval_run,method,n,balanced_accuracy
0,traditional_bands,1532,0.822132938344751
0,ridge,1532,0.9062062581003518
0,gradient_boosted_trees,1532,0.9336641362710609
0,mlp,1532,0.921266432142196
0,cnn1d,1532,0.8896963525273098
0,hybrid_cnn_tabular,1532,0.9257748565080541
1,traditional_bands,1532,0.8229090073529413
1,ridge,1532,0.9083716299019609
1,gradient_boosted_trees,1532,0.9377680759803921
1,mlp,1532,0.9221813725490196
1,cnn1d,1532,0.8995787377450981
1,hybrid_cnn_tabular,1532,0.9265510110294117
2,traditional_bands,1532,0.705284336019015
2,ridge,1532,0.903621459251565
2,gradient_boosted_trees,1532,0.940511683183141
2,mlp,1532,0.9290727379916341
2,cnn1d,1532,0.8893443006466223
2,hybrid_cnn_tabular,1532,0.9301657262101943
3,traditional_bands,1532,0.8263072860957568
3,ridge,1532,0.9154069397799436
3,gradient_boosted_trees,1532,0.941640549617407
3,mlp,1532,0.9311014787610421
3,cnn1d,1532,0.9008867330376309
3,hybrid_cnn_tabular,1532,0.9318008422280897
4,traditional_bands,1532,0.8395217421788985
4,ridge,1532,0.9176654848239648
4,gradient_boosted_trees,1532,0.9332375731229641
4,mlp,1532,0.926790813841772
4,cnn1d,1532,0.9093114171310974
4,hybrid_cnn_tabular,1532,0.9279619182614595
