method,species,truth_n,pred_n,purity,purity_ci_low,purity_ci_high,efficiency,efficiency_ci_low,efficiency_ci_high
traditional_bands,p,5000,4969,0.8643590259609579,0.8096663980750981,0.9011059123777116,0.859,0.8317450910012246,0.9035807161432287
traditional_bands,d,2660,2691,0.738015607580825,0.7183908045977011,0.773396674584323,0.7466165413533835,0.6018652168655279,0.8249905908919835
ridge,p,5000,4281,0.985517402476057,0.9835294117647059,0.9872122762148338,0.8438,0.8356218905472637,0.8528069827415196
ridge,d,2660,3379,0.7688665285587452,0.7583231090800854,0.7796912114014252,0.9766917293233083,0.9744346210593161,0.9789191261019548
gradient_boosted_trees,p,5000,4535,0.987651598676957,0.9836921069797782,0.9912907548012505,0.8958,0.8869179600886918,0.9048
gradient_boosted_trees,d,2660,3125,0.83328,0.8222874909463405,0.8445092322643343,0.9789473684210527,0.9725150602409639,0.9853438556933484
mlp,p,5000,4747,0.9643985675163261,0.9614079728583546,0.9662897822445561,0.9156,0.9098553156776851,0.9207501512401693
mlp,d,2660,2913,0.8551321661517336,0.8458620689655172,0.8643952299829643,0.9364661654135338,0.9325925925925926,0.9387060158910329
cnn1d,p,5000,4271,0.9761180051510185,0.9714753331774608,0.9802555168408827,0.8338,0.8222885572139303,0.8450059689614007
cnn1d,d,2660,3389,0.7547949247565654,0.7417123090227732,0.766497461928934,0.9616541353383459,0.9548315438726398,0.9690943532811587
hybrid_cnn_tabular,p,5000,4598,0.9762940408873423,0.9700882289649236,0.9849120461154496,0.8978,0.8832934626838717,0.9102633707865169
hybrid_cnn_tabular,d,2660,3062,0.833115610711953,0.8194667523289432,0.8498852835136022,0.9590225563909774,0.9484994442386069,0.9718150555675811
