method,base_method,n,pred_mean_ns,target_mean_ns
s02b_template_timewalk,s02b_template,33,-8.436177696928931,-7.491100103940438
s02b_template_timewalk,s02b_template,33,-4.176047857906263,-3.7405156069110106
s02b_template_timewalk,s02b_template,33,1.3900518684633358,1.4972759371548385
s02b_template_timewalk,s02b_template,33,2.5431965077887084,2.5748002276401616
s02b_template_timewalk,s02b_template,33,3.4130230071158554,3.1908744369925235
s02b_template_timewalk,s02b_template,33,4.611210002218364,3.968665109063924
template_phase_timewalk,template_phase,33,-4.373546844652637,-4.58633836332394
template_phase_timewalk,template_phase,33,-3.611803855189907,-4.260580787566357
template_phase_timewalk,template_phase,33,1.448856683883473,1.9346373122062523
template_phase_timewalk,template_phase,33,2.232630276314172,2.2913997075695915
template_phase_timewalk,template_phase,33,2.5729216922303566,2.495213371141222
template_phase_timewalk,template_phase,33,2.918480539187618,2.12566875997323
