feature,coefficient,train_pulses,heldout_pulses,method,base_method
intercept,0.0,11262,198,s02b_template_timewalk,s02b_template
B4_intercept,-87.88820856140146,11262,198,s02b_template_timewalk,s02b_template
B4_log_amp,159.84134593015233,11262,198,s02b_template_timewalk,s02b_template
B4_log_amp2,-83.79530183834346,11262,198,s02b_template_timewalk,s02b_template
B4_inv_amp,-4.2634506071677185,11262,198,s02b_template_timewalk,s02b_template
B4_peak_sample,0.4609579697647142,11262,198,s02b_template_timewalk,s02b_template
B4_area_over_amp,3.246257314532625,11262,198,s02b_template_timewalk,s02b_template
B4_template_sse,0.7920426284263162,11262,198,s02b_template_timewalk,s02b_template
B6_intercept,42.76682061770859,11262,198,s02b_template_timewalk,s02b_template
B6_log_amp,-68.66940875074366,11262,198,s02b_template_timewalk,s02b_template
B6_log_amp2,21.022216766969482,11262,198,s02b_template_timewalk,s02b_template
B6_inv_amp,-1.7877421563002662,11262,198,s02b_template_timewalk,s02b_template
B6_peak_sample,-0.7495857133571732,11262,198,s02b_template_timewalk,s02b_template
B6_area_over_amp,-0.7315536105811588,11262,198,s02b_template_timewalk,s02b_template
B6_template_sse,0.28179206414215907,11262,198,s02b_template_timewalk,s02b_template
B8_intercept,45.121388085702726,11262,198,s02b_template_timewalk,s02b_template
B8_log_amp,-64.83124842847401,11262,198,s02b_template_timewalk,s02b_template
B8_log_amp2,15.845875284038387,11262,198,s02b_template_timewalk,s02b_template
B8_inv_amp,-2.9219304406686826,11262,198,s02b_template_timewalk,s02b_template
B8_peak_sample,-0.677981265476665,11262,198,s02b_template_timewalk,s02b_template
B8_area_over_amp,-1.4403037815657536,11262,198,s02b_template_timewalk,s02b_template
B8_template_sse,0.20908632322992837,11262,198,s02b_template_timewalk,s02b_template
intercept,0.0,11262,198,template_phase_timewalk,template_phase
B4_intercept,80.09228306077969,11262,198,template_phase_timewalk,template_phase
B4_log_amp,-233.31700448197736,11262,198,template_phase_timewalk,template_phase
B4_log_amp2,118.5271086905383,11262,198,template_phase_timewalk,template_phase
B4_inv_amp,-0.07224064593367294,11262,198,template_phase_timewalk,template_phase
B4_peak_sample,0.5493810262588447,11262,198,template_phase_timewalk,template_phase
B4_area_over_amp,-0.49412937336883794,11262,198,template_phase_timewalk,template_phase
B4_template_sse,-0.3324523916489148,11262,198,template_phase_timewalk,template_phase
B6_intercept,-29.071954126902128,11262,198,template_phase_timewalk,template_phase
B6_log_amp,2.8855655396229043,11262,198,template_phase_timewalk,template_phase
B6_log_amp2,-5.023564383283573,11262,198,template_phase_timewalk,template_phase
B6_inv_amp,-0.8182601660831422,11262,198,template_phase_timewalk,template_phase
B6_peak_sample,0.19877125425959852,11262,198,template_phase_timewalk,template_phase
B6_area_over_amp,-0.06505663802426702,11262,198,template_phase_timewalk,template_phase
B6_template_sse,-0.008832835048706009,11262,198,template_phase_timewalk,template_phase
B8_intercept,-51.020336627952055,11262,198,template_phase_timewalk,template_phase
B8_log_amp,51.72650111682649,11262,198,template_phase_timewalk,template_phase
B8_log_amp2,-34.015778010130724,11262,198,template_phase_timewalk,template_phase
B8_inv_amp,-1.034178063610625,11262,198,template_phase_timewalk,template_phase
B8_peak_sample,0.7250811087849954,11262,198,template_phase_timewalk,template_phase
B8_area_over_amp,1.1516563946222969,11262,198,template_phase_timewalk,template_phase
B8_template_sse,0.24737859936801745,11262,198,template_phase_timewalk,template_phase
