alpha,fold,sigma68_ns,n_pair_residuals
0.01,0,2.33226946485797,3018
0.01,1,1.8498404064722354,3534
0.01,2,1.942157855521238,4710
0.01,-1,2.0414225756171476,0
0.1,0,2.330687510533076,3018
0.1,1,1.848944477010143,3534
0.1,2,1.9418921699951859,4710
0.1,-1,2.0405080525128017,0
1.0,0,2.3283899110811617,3018
1.0,1,1.8448001872810524,3534
1.0,2,1.9425281782852948,4710
1.0,-1,2.0385727588825033,0
10.0,0,2.304358352302302,3018
10.0,1,1.8398205398167933,3534
10.0,2,1.9369122934048848,4710
10.0,-1,2.02703039517466,0
100.0,0,2.2326189303193043,3018
100.0,1,1.8170616380776672,3534
100.0,2,1.8791014950428373,4710
100.0,-1,1.9762606878132696,0
