method,base_method,fold,heldout_runs,sigma68_ns,n_pair_residuals
s02b_template_timewalk,s02b_template,0,58 61,3.2536235957902235,3018
s02b_template_timewalk,s02b_template,1,60 63,2.8549264427597794,3534
s02b_template_timewalk,s02b_template,2,59 62,3.198863374194592,4710
template_phase_timewalk,template_phase,0,58 61,2.1365011720154303,3018
template_phase_timewalk,template_phase,1,60 63,1.5224610797604208,3534
template_phase_timewalk,template_phase,2,59 62,1.5806733463667422,4710
