heldout_run,topology,method,epochs,final_loss,train_rows,log_prediction_clip
31,A1A3,cnn1d_waveform,8,0.3928161859512329,1262,"[8.30201244354248, 11.903097152709961]"
31,A1A3,hybrid_support_gate_cnn,8,0.3993293046951294,1262,"[8.30201244354248, 11.903097152709961]"
31,A1_only,cnn1d_waveform,8,0.3839869797229767,140,"[6.242884159088135, 11.407567977905273]"
31,A1_only,hybrid_support_gate_cnn,8,0.3786828815937042,140,"[6.242884159088135, 11.407567977905273]"
31,A3_only,cnn1d_waveform,8,0.46228164434432983,2424,"[7.375631332397461, 11.30445384979248]"
31,A3_only,hybrid_support_gate_cnn,8,0.46048060059547424,2424,"[7.375631332397461, 11.30445384979248]"
32,A1A3,cnn1d_waveform,8,0.40118539333343506,1270,"[8.273963928222656, 11.908244132995605]"
32,A1A3,hybrid_support_gate_cnn,8,0.3941207230091095,1270,"[8.273963928222656, 11.908244132995605]"
32,A1_only,cnn1d_waveform,8,0.39118269085884094,142,"[6.278377056121826, 11.407028198242188]"
32,A1_only,hybrid_support_gate_cnn,8,0.4000220000743866,142,"[6.278377056121826, 11.407028198242188]"
32,A3_only,cnn1d_waveform,8,0.48357826471328735,2436,"[7.375873565673828, 11.304408073425293]"
32,A3_only,hybrid_support_gate_cnn,8,0.4115767180919647,2436,"[7.375873565673828, 11.304408073425293]"
33,A1A3,cnn1d_waveform,8,0.3840894103050232,1341,"[8.316575050354004, 11.906376838684082]"
33,A1A3,hybrid_support_gate_cnn,8,0.3697666525840759,1341,"[8.316575050354004, 11.906376838684082]"
33,A1_only,cnn1d_waveform,8,0.3843719959259033,145,"[6.245473861694336, 11.406219482421875]"
33,A1_only,hybrid_support_gate_cnn,8,0.38758277893066406,145,"[6.245473861694336, 11.406219482421875]"
33,A3_only,cnn1d_waveform,8,0.43198561668395996,2500,"[7.377161026000977, 11.30416202545166]"
33,A3_only,hybrid_support_gate_cnn,8,0.4020388424396515,2500,"[7.377161026000977, 11.30416202545166]"
34,A1A3,cnn1d_waveform,8,0.2749764919281006,1337,"[8.28255844116211, 11.906481742858887]"
34,A1A3,hybrid_support_gate_cnn,8,0.35312092304229736,1337,"[8.28255844116211, 11.906481742858887]"
34,A1_only,cnn1d_waveform,8,0.39704859256744385,147,"[6.246510028839111, 11.405679702758789]"
34,A1_only,hybrid_support_gate_cnn,8,0.38320496678352356,147,"[6.246510028839111, 11.405679702758789]"
34,A3_only,cnn1d_waveform,8,0.4246996343135834,2500,"[7.381816864013672, 11.303457260131836]"
34,A3_only,hybrid_support_gate_cnn,8,0.4304000735282898,2500,"[7.379818916320801, 11.30416202545166]"
35,A1A3,cnn1d_waveform,8,0.380394846200943,1275,"[8.274604797363281, 11.908112525939941]"
35,A1A3,hybrid_support_gate_cnn,8,0.409305602312088,1275,"[8.274604797363281, 11.908112525939941]"
35,A1_only,cnn1d_waveform,8,0.38480061292648315,144,"[6.244956016540527, 11.406489372253418]"
35,A1_only,hybrid_support_gate_cnn,8,0.384194940328598,144,"[6.244956016540527, 11.406489372253418]"
35,A3_only,cnn1d_waveform,8,0.37212419509887695,2415,"[7.375450134277344, 11.303728103637695]"
35,A3_only,hybrid_support_gate_cnn,8,0.3661429286003113,2415,"[7.375450134277344, 11.303728103637695]"
36,A1A3,cnn1d_waveform,8,0.4227083623409271,1245,"[8.29887866973877, 11.903571128845215]"
36,A1A3,hybrid_support_gate_cnn,8,0.37679722905158997,1245,"[8.29887866973877, 11.903571128845215]"
