topology,support_cell,n,runs,median_target_charge,median_b2_charge
A1A3,A1A3|b2_3_5k|b000|inwindow,363,22,31768.0,33704.0
A1A3,A1A3|b2_5_7k|b000|inwindow,315,24,31754.0,51243.0
A1A3,A1A3|b2_7k_inf|b000|inwindow,282,21,33218.5,61708.25
A1A3,A1A3|b2_1_2k|b000|inwindow,170,19,32376.5,8856.5
A1A3,A1A3|b2_2_3k|b000|inwindow,152,18,31827.0,17329.5
A1A3,A1A3|b2_3_5k|b100|inwindow,18,10,34425.5,27701.5
A1A3,A1A3|b2_5_7k|b100|inwindow,7,5,32625.0,50582.0
A1A3,A1A3|b2_7k_inf|b100|inwindow,5,5,39311.0,59319.0
A1A3,A1A3|b2_7k_inf|b000|latepeak,4,4,29720.0,41873.25
A1A3,A1A3|b2_3_5k|b100|latepeak,3,3,30142.0,13253.0
A1A3,A1A3|b2_3_5k|b110|inwindow,3,2,33582.0,30567.0
A1A3,A1A3|b2_5_7k|b111|inwindow,3,2,34804.0,53091.0
A1A3,A1A3|b2_7k_inf|b110|inwindow,3,3,31597.0,64869.0
A1A3,A1A3|b2_1_2k|b100|inwindow,2,2,34712.5,10581.25
A1A3,A1A3|b2_2_3k|b110|inwindow,2,2,33263.0,16144.0
A1A3,A1A3|b2_2_3k|b110|latepeak,2,2,23063.5,6321.5
A1A3,A1A3|b2_3_5k|b000|latepeak,2,2,27029.0,5330.5
A1A3,A1A3|b2_1_2k|b001|inwindow,1,1,44388.0,4982.5
A1A3,A1A3|b2_2_3k|b000|latepeak,1,1,28017.0,2683.0
A1A3,A1A3|b2_2_3k|b100|inwindow,1,1,31213.0,19031.5
A1A3,A1A3|b2_2_3k|b111|inwindow,1,1,31206.0,18755.0
A1A3,A1A3|b2_5_7k|b000|latepeak,1,1,28129.0,52468.0
A1A3,A1A3|b2_5_7k|b100|latepeak,1,1,34841.0,46776.0
A1_only,A1_only|b2_7k_inf|b000|inwindow,47,19,11277.0,61885.0
A1_only,A1_only|b2_5_7k|b000|inwindow,43,15,11308.0,52758.0
A1_only,A1_only|b2_3_5k|b000|inwindow,24,13,10424.0,32521.0
A1_only,A1_only|b2_2_3k|b000|inwindow,19,13,11976.0,18011.0
A1_only,A1_only|b2_1_2k|b000|inwindow,10,7,11854.0,7937.5
A1_only,A1_only|b2_2_3k|b111|inwindow,1,1,19401.0,14726.5
A1_only,A1_only|b2_3_5k|b100|inwindow,1,1,9544.0,19046.5
A1_only,A1_only|b2_3_5k|b110|inwindow,1,1,4242.0,47050.0
A1_only,A1_only|b2_7k_inf|b010|inwindow,1,1,13830.0,60489.0
A1_only,A1_only|b2_7k_inf|b100|inwindow,1,1,14661.0,63286.0
A1_only,A1_only|b2_7k_inf|b110|inwindow,1,1,14364.0,64724.0
A3_only,A3_only|b2_3_5k|b000|inwindow,738,28,15335.5,33199.0
A3_only,A3_only|b2_5_7k|b000|inwindow,567,29,15264.0,50889.0
A3_only,A3_only|b2_7k_inf|b000|inwindow,554,26,15060.5,62100.0
A3_only,A3_only|b2_1_2k|b000|inwindow,305,24,15681.0,8848.0
A3_only,A3_only|b2_2_3k|b000|inwindow,273,21,15371.0,17859.0
A3_only,A3_only|b2_3_5k|b100|inwindow,27,15,17515.0,29917.0
A3_only,A3_only|b2_7k_inf|b100|inwindow,14,8,17901.0,60859.5
A3_only,A3_only|b2_3_5k|b110|inwindow,12,10,15450.75,29206.5
A3_only,A3_only|b2_3_5k|b000|latepeak,11,7,15053.0,16083.0
A3_only,A3_only|b2_2_3k|b100|inwindow,8,7,17862.5,18137.5
A3_only,A3_only|b2_2_3k|b110|inwindow,7,5,19917.0,15917.0
A3_only,A3_only|b2_5_7k|b100|inwindow,7,7,18315.0,42379.0
A3_only,A3_only|b2_5_7k|b110|inwindow,5,4,15235.0,56467.0
A3_only,A3_only|b2_7k_inf|b110|inwindow,5,5,13315.0,64341.0
A3_only,A3_only|b2_2_3k|b111|inwindow,4,4,17488.5,19346.5
A3_only,A3_only|b2_3_5k|b111|inwindow,4,4,12494.0,39868.25
A3_only,A3_only|b2_5_7k|b000|latepeak,4,4,13728.5,34950.5
A3_only,A3_only|b2_1_2k|b100|inwindow,3,2,15597.0,4300.5
A3_only,A3_only|b2_1_2k|b100|latepeak,3,3,15040.0,3859.0
A3_only,A3_only|b2_2_3k|b000|latepeak,3,2,13577.0,5861.5
A3_only,A3_only|b2_5_7k|b010|inwindow,2,2,4719.0,41913.25
A3_only,A3_only|b2_1_2k|b000|latepeak,1,1,17781.0,1596.0
A3_only,A3_only|b2_1_2k|b110|latepeak,1,1,10326.0,1248.0
A3_only,A3_only|b2_2_3k|b010|inwindow,1,1,13477.0,17350.0
A3_only,A3_only|b2_3_5k|b010|inwindow,1,1,26310.0,45258.0
A3_only,A3_only|b2_3_5k|b100|latepeak,1,1,12757.0,4229.0
A3_only,A3_only|b2_3_5k|b101|inwindow,1,1,7689.0,24668.0
A3_only,A3_only|b2_3_5k|b110|latepeak,1,1,14677.0,45266.0
A3_only,A3_only|b2_7k_inf|b010|inwindow,1,1,16611.0,62843.0
