method,n,median_within_10pct,topologies,weighted_res68,weighted_full_rms
cnn1d_waveform,4055,0.1610738255033557,3,0.3562244503232155,0.5575743034366747
hybrid_support_gate_cnn,4055,0.18120805369127516,3,0.35649049727960036,0.5619163033122834
ridge_log_charge,4055,0.15327613104524182,3,0.3567242493149409,0.5374702272420847
huber_log_charge,4055,0.15093603744149767,3,0.3574242375566329,0.5593302797696198
topology_median,4055,0.1622464898595944,3,0.35762283041428794,0.5754034234972458
extra_trees,4055,0.16778523489932887,3,0.3583827772338023,0.5355319230151008
gradient_boosted_trees,4055,0.1610738255033557,3,0.36355069906868737,0.5446718699760167
mlp,4055,0.07600596125186289,3,0.6839661117523428,3.5608893426829697e+27
