topology,method,baseline,delta_res68_vs_huber,delta_full_rms_vs_huber,delta_res68_ci95,delta_full_rms_ci95
A1A3,topology_median,huber_log_charge,-0.0028139256708697435,0.001710650205606734,"[-0.008905117899626464, 0.0010246533029421368]","[-0.000865187931006589, 0.004187292205524465]"
A1A3,ridge_log_charge,huber_log_charge,0.0009365505155405907,-0.011095124399976175,"[-0.005960242032546982, 0.005758852964685982]","[-0.01320177755364679, -0.008757339231763117]"
A1A3,huber_log_charge,huber_log_charge,0.0,0.0,"[0.0, 0.0]","[0.0, 0.0]"
A1A3,gradient_boosted_trees,huber_log_charge,0.00528739671216194,-0.006884137157437187,"[-0.0036654833269774045, 0.010956589765130132]","[-0.012430101705061836, 0.0004192898263450886]"
A1A3,extra_trees,huber_log_charge,0.005455565855605249,-0.010344849667912326,"[-0.0012574702724615747, 0.010656986501422376]","[-0.016261367655117043, -0.0046862459729036425]"
A1A3,mlp,huber_log_charge,0.6088891522534808,1.0759615750667455e+28,"[0.48666681813108204, 0.6887506722641326]","[1769.7195196153705, 1.9342753136026262e+28]"
A1A3,cnn1d_waveform,huber_log_charge,-0.0013594260914524536,-0.0017761615458751767,"[-0.007257233095891454, 0.00276762946836198]","[-0.0038915706606875793, 0.0002591265427761608]"
A1A3,hybrid_support_gate_cnn,huber_log_charge,-0.0026851935026324103,-0.0011373845917038161,"[-0.0094928027763962, 0.0023246329313457363]","[-0.0035318086927890345, 0.003050256004206887]"
A1_only,topology_median,huber_log_charge,-0.02318670059909883,0.031697906272853515,"[-0.09640426571566467, 0.030456499351149992]","[-0.09852983574649996, 0.12532311270350405]"
A1_only,ridge_log_charge,huber_log_charge,-0.028337785394765502,-0.1301110138566175,"[-0.09826702480554238, 0.003786011094035202]","[-0.23746408653069787, -0.05320318212723367]"
A1_only,huber_log_charge,huber_log_charge,0.0,0.0,"[0.0, 0.0]","[0.0, 0.0]"
A1_only,gradient_boosted_trees,huber_log_charge,0.005015592174426264,-0.10755689759264508,"[-0.1061207641068316, 0.08825751333390462]","[-0.2378333182971204, 0.005524380368181271]"
A1_only,extra_trees,huber_log_charge,-0.02693487945326084,-0.1783781397348867,"[-0.09696501960637205, 0.03166354058887596]","[-0.32218181843099, -0.046652039807041364]"
A1_only,mlp,huber_log_charge,0.45397362320942725,1.3068347099301424e+22,"[0.31143019158866814, 0.805324369164066]","[32943106.717012547, 2.4232752481966894e+22]"
A1_only,cnn1d_waveform,huber_log_charge,-0.031505259410890496,-0.016034178290265988,"[-0.09975414518644514, 0.01465037281112487]","[-0.14014619776924067, 0.07502970389127504]"
A1_only,hybrid_support_gate_cnn,huber_log_charge,0.007506577300793071,0.05643329267710384,"[-0.08361345201888351, 0.05276464505516225]","[-0.08903239294025687, 0.17368217753209095]"
A3_only,topology_median,huber_log_charge,0.003134321637037474,0.02268249500972863,"[-0.0046287758592845505, 0.010183664029656914]","[0.012925425355723686, 0.03539910780709618]"
A3_only,ridge_log_charge,huber_log_charge,4.954247734145767e-05,-0.021203710994442626,"[-0.005210642402038156, 0.0053326459762476205]","[-0.02945939474748437, -0.01123094935149761]"
A3_only,huber_log_charge,huber_log_charge,0.0,0.0,"[0.0, 0.0]","[0.0, 0.0]"
A3_only,gradient_boosted_trees,huber_log_charge,0.006630184013131868,-0.01332892430049748,"[-0.0009461471195697067, 0.012076038769477767]","[-0.025223472225166386, -0.001340622984550407]"
A3_only,extra_trees,huber_log_charge,0.0002257433897175365,-0.021856944448025772,"[-0.00740956645580851, 0.005012348682915349]","[-0.030790803033673007, -0.012327547017675746]"
A3_only,mlp,huber_log_charge,0.1713556894232558,1461431498.715816,"[0.1497556688302979, 0.19149922370892275]","[499.90758928097733, 2579698105.424885]"
A3_only,cnn1d_waveform,huber_log_charge,0.0006448893273964251,-0.0009156718682833409,"[-0.00429358966003405, 0.0032737073660759164]","[-0.009433543837948024, 0.008816744125934852]"
A3_only,hybrid_support_gate_cnn,huber_log_charge,-0.0005075144932341069,0.0014056688684397356,"[-0.003826918566189423, 0.0031437288336551754]","[-0.005967656391050618, 0.010411296153923432]"
