gallery_row_id,method,run,event_index,eventno,evt,stave,amplitude_adc,taxon,broad_source,traditional_broad_score,ml_broad_probability,ml_no_qwidth_probability,q_template_rmse,width_half,review_width_half,review_width_035,peak_sample,review_peak_sample,baseline_mad,saturation_count,secondary_peak,post_peak_min,timing_span_dup,reviewer_a_label,reviewer_b_label,consensus_label,reviewers_agree,label_novel_broad_template_mismatch,label_gallery_qtemplate_or_broad,q_template_only_source,p09a_strict_q_template_only_source,broad_width_source
0,traditional_qtemplate_width,42,16371,783673,16015,B2,1615.5,novel_broad_template_mismatch,q_template_only,59.31216474518207,0.64265895,0.53959584,3.6016839,3,3,4,9,9,934.0,1,0.99380994,-1.3943051,13.451838,dropout,dropout,dropout,True,True,True,True,True,False
1,traditional_qtemplate_width,42,11055,778357,11033,B2,2507.0,unassigned_common,q_template_only,36.62396709041468,0.60738975,0.6871882,2.2665722,2,2,3,8,8,297.0,1,0.57159954,-0.5999202,9.228881,novel_broad_template_mismatch,dropout,unassigned_common,False,False,True,True,False,False
2,traditional_qtemplate_width,42,24541,791847,7211,B2,10066.5,baseline_excursion,broad_width,4.971109212913742,0.93532825,0.754715,0.36205313,15,15,16,1,1,4139.5,1,0.9918542,-0.41121542,3.072713,baseline_excursion,baseline_excursion,baseline_excursion,True,True,True,False,False,True
3,traditional_qtemplate_width,42,10657,777959,10660,B2,3918.5,novel_broad_template_mismatch,broad_width,4.957415069280353,0.9944715,0.98617774,0.3804785,14,14,15,4,4,677.0,1,0.77721065,0.37705755,18.0,pileup_or_long_tail,pileup_or_long_tail,pileup_or_long_tail,True,True,True,False,False,True
4,traditional_qtemplate_width,42,28539,795845,10944,B2,4628.5,novel_broad_template_mismatch,broad_width,4.812371348389025,0.99956197,0.9981586,0.29101315,15,15,15,10,10,659.0,2,0.8373123,0.58366644,18.0,novel_broad_template_mismatch,novel_broad_template_mismatch,novel_broad_template_mismatch,True,True,True,False,False,True
5,traditional_qtemplate_width,42,27566,794872,10030,B2,6329.5,novel_broad_template_mismatch,broad_width,4.7868498817087675,0.99189115,0.95534754,0.25761598,15,15,15,4,4,139.5,1,0.8124654,0.5119678,18.0,pileup_or_long_tail,pileup_or_long_tail,pileup_or_long_tail,True,True,True,False,False,True
6,traditional_qtemplate_width,42,26867,794173,9371,B2,3974.5,novel_broad_template_mismatch,broad_width,4.75133096220168,0.99972886,0.99425536,0.36473235,14,14,15,11,11,401.0,1,0.834193,0.49930808,18.0,pileup_or_long_tail,pileup_or_long_tail,pileup_or_long_tail,True,True,True,False,False,True
7,traditional_qtemplate_width,42,20022,787326,3019,B2,4836.0,novel_broad_template_mismatch,broad_width,4.743503348582005,0.9997673,0.99919343,0.27545905,15,15,15,10,10,252.5,1,0.7702647,0.63606286,18.0,pileup_or_long_tail,pileup_or_long_tail,pileup_or_long_tail,True,True,True,False,False,True
8,traditional_qtemplate_width,42,7189,774490,7434,B2,10260.5,baseline_excursion,broad_width,4.706016294357398,0.9243751,0.6878664,0.35551137,14,14,16,1,1,4147.5,1,0.94093853,-0.40422007,2.9158018,baseline_excursion,baseline_excursion,baseline_excursion,True,True,True,False,False,True
9,traditional_qtemplate_width,42,26698,794004,9208,B2,3823.5,novel_delayed_peak,broad_width,4.603502978580401,0.99862665,0.99564964,0.34837496,13,13,13,14,14,6.0,1,0.957892,0.8365372,18.0,pileup_or_long_tail,pileup_or_long_tail,pileup_or_long_tail,True,True,True,False,False,True
