mode,direction,n_bins,fold,sigma68_ns,n_pair_residuals,heldout_run
monotonic,decreasing,4,0,2.1304688214082987,2997,58
monotonic,decreasing,4,1,1.4056012777732123,3534,58
monotonic,decreasing,4,2,1.5616324501987369,4710,58
monotonic,decreasing,4,-1,1.6992341831267492,0,58
monotonic,decreasing,6,0,2.095211319408463,2997,58
monotonic,decreasing,6,1,1.434815082658499,3534,58
monotonic,decreasing,6,2,1.5000000000000036,4710,58
monotonic,decreasing,6,-1,1.6766754673556552,0,58
monotonic,decreasing,8,0,1.8990336200355438,2997,58
monotonic,decreasing,8,1,1.420848055466431,3534,58
monotonic,decreasing,8,2,1.463434484394368,4710,58
monotonic,decreasing,8,-1,1.5944387199654475,0,58
monotonic,decreasing,10,0,1.8865864692975336,2997,58
monotonic,decreasing,10,1,1.3922283967696827,3534,58
monotonic,decreasing,10,2,1.4464015519560363,4710,58
monotonic,decreasing,10,-1,1.5750721393410843,0,58
monotonic,decreasing,12,0,1.8865864692975371,2997,58
monotonic,decreasing,12,1,1.416599665500446,3534,58
monotonic,decreasing,12,2,1.476574333803552,4710,58
monotonic,decreasing,12,-1,1.593253489533845,0,58
monotonic,decreasing,4,0,2.0941403770332725,2799,59
monotonic,decreasing,4,1,1.4405037380448498,2841,59
monotonic,decreasing,4,2,1.4660522505121854,3531,59
monotonic,decreasing,4,-1,1.6668987885301025,0,59
monotonic,decreasing,6,0,2.061663372526251,2799,59
monotonic,decreasing,6,1,1.375327244630499,2841,59
monotonic,decreasing,6,2,1.4715250030349778,3531,59
monotonic,decreasing,6,-1,1.6361718733972426,0,59
monotonic,decreasing,8,0,1.9721105469092433,2799,59
monotonic,decreasing,8,1,1.3227326586853856,2841,59
monotonic,decreasing,8,2,1.4405037380448569,3531,59
monotonic,decreasing,8,-1,1.578448981213162,0,59
monotonic,decreasing,10,0,1.9897474585010642,2799,59
monotonic,decreasing,10,1,1.3116633725262616,2841,59
monotonic,decreasing,10,2,1.4405037380448569,3531,59
monotonic,decreasing,10,-1,1.5806381896907276,0,59
monotonic,decreasing,12,0,1.9130617060444912,2799,59
monotonic,decreasing,12,1,1.4330978114143988,2841,59
monotonic,decreasing,12,2,1.4405037380448569,3531,59
