group,events_total,events_with_selected,selected_pulses,B2,B4,B6,B8
sample_i_calib,409815,239453,274880,237484,30083,5005,2308
sample_i_analysis,388879,242927,288763,241040,40432,4848,2443
sample_ii_calib,35943,12096,14965,11836,1270,1174,685
sample_ii_analysis,262091,90230,130395,87659,14920,17197,10619
