run,selected_pulses_raw,B2_raw,B4_raw,B6_raw,B8_raw,selected_pulses_sorted_even,B2_sorted_even,B4_sorted_even,B6_sorted_even,B8_sorted_even,identity_events,identity_exact_events,identity_mismatch_cells,identity_evt_mismatches,gate_state
31,27871,26948,592,237,94,27871,26948,592,237,94,39990,39990,0,0,PASS
32,28240,27316,605,224,95,28240,27316,605,224,95,41921,41921,0,0,PASS
33,48737,47724,559,318,136,48737,47724,559,318,136,57173,57173,0,0,PASS
34,34118,33373,412,244,89,34118,33373,412,244,89,39765,39765,0,0,PASS
35,11667,11029,403,163,72,11667,11029,403,163,72,27786,27786,0,0,PASS
36,10391,9847,340,143,61,10391,9847,340,143,61,21764,21764,0,0,PASS
37,24537,22956,997,423,161,24537,22956,997,423,161,50513,50513,0,0,PASS
39,14218,13174,663,273,108,14218,13174,663,273,108,30321,30321,0,0,PASS
40,14708,13575,707,310,116,14708,13575,707,310,116,32613,32613,0,0,PASS
41,16146,14963,758,298,127,16146,14963,758,298,127,33997,33997,0,0,PASS
42,18112,16977,711,307,117,18112,16977,711,307,117,33972,33972,0,0,PASS
44,2038,1884,93,44,17,2038,1884,93,44,17,4294,4294,0,0,PASS
45,24333,22786,969,401,177,24333,22786,969,401,177,48181,48181,0,0,PASS
46,687,675,7,3,2,687,675,7,3,2,1441,1441,0,0,PASS
47,5276,5116,85,50,25,5276,5116,85,50,25,10970,10970,0,0,PASS
48,14000,13044,599,245,112,14000,13044,599,245,112,31713,31713,0,0,PASS
49,14815,13779,640,281,115,14815,13779,640,281,115,32354,32354,0,0,PASS
50,35217,34088,659,330,140,35217,34088,659,330,140,44804,44804,0,0,PASS
51,14740,14200,303,177,60,14740,14200,303,177,60,20569,20569,0,0,PASS
52,7152,6893,148,76,35,7152,6893,148,76,35,10005,10005,0,0,PASS
53,32200,31225,559,296,120,32200,31225,559,296,120,39612,39612,0,0,PASS
54,30440,29493,536,298,113,30440,29493,536,298,113,37413,37413,0,0,PASS
55,17387,16735,372,199,81,17387,16735,372,199,81,24416,24416,0,0,PASS
56,40148,38730,825,421,172,40148,38730,825,421,172,51823,51823,0,0,PASS
57,13833,12774,656,273,130,13833,12774,656,273,130,31284,31284,0,0,PASS
58,16781,15791,591,285,114,16781,15791,591,285,114,34141,34141,0,0,PASS
59,21377,13565,4527,2366,919,21377,13565,4527,2366,919,42303,42303,0,0,PASS
60,17029,9873,4040,2189,927,17029,9873,4040,2189,927,36074,36074,0,0,PASS
61,18965,11015,4401,2490,1059,18965,11015,4401,2490,1059,36535,36535,0,0,PASS
62,19089,11635,4183,2342,929,19089,11635,4183,2342,929,37584,37584,0,0,PASS
63,18817,14566,2645,1153,453,18817,14566,2645,1153,453,37030,37030,0,0,PASS
64,14630,11907,1689,763,271,14630,11907,1689,763,271,35943,35943,0,0,PASS
65,13038,11768,842,323,105,13038,11768,842,323,105,38424,38424,0,0,PASS
