run,group,events_total,events_with_selected,selected_pulses,B2,B4,B6,B8
31,sample_i_calib,39990,27060,32814,26924,5251,436,203
32,sample_i_calib,41921,27430,32858,27283,4957,434,184
33,sample_i_calib,57173,47868,51980,47708,3639,400,233
34,sample_i_calib,39765,33469,37420,33363,3595,293,169
35,sample_i_calib,27786,11128,12361,10999,932,295,135
36,sample_i_calib,21764,9921,11336,9825,1135,263,113
37,sample_i_calib,50513,23185,26954,22881,2976,751,346
39,sample_i_calib,30321,13319,15394,13131,1579,477,207
40,sample_i_calib,32613,13767,15786,13516,1504,519,247
41,sample_i_calib,33997,15158,17573,14918,1828,592,235
42,sample_i_calib,33972,17148,20404,16936,2687,545,236
44,sample_i_analysis,4294,1907,2209,1876,219,75,39
45,sample_i_analysis,48181,23020,26947,22706,3203,718,320
46,sample_i_analysis,1441,676,743,674,64,2,3
47,sample_i_analysis,10970,5141,5776,5110,576,52,38
48,sample_i_analysis,31713,13191,15020,12992,1413,416,199
49,sample_i_analysis,32354,13921,15992,13730,1530,484,248
50,sample_i_analysis,44804,34231,42309,34062,7496,501,250
51,sample_i_analysis,20569,14280,17475,14186,2917,236,136
52,sample_i_analysis,10005,6931,8515,6886,1453,115,61
53,sample_i_analysis,39612,31354,36129,31206,4249,442,232
54,sample_i_analysis,37413,29628,34085,29472,3985,410,218
55,sample_i_analysis,24416,16839,20267,16719,3107,286,155
56,sample_i_analysis,51823,38900,48524,38697,8859,632,336
57,sample_i_analysis,31284,12908,14772,12724,1361,479,208
58,sample_ii_analysis,34141,15904,17146,15742,744,447,213
59,sample_ii_analysis,42303,13925,22200,13468,3000,3452,2280
60,sample_ii_analysis,36074,10281,18372,9774,2868,3578,2152
61,sample_ii_analysis,36535,11449,19922,10909,2793,3810,2410
62,sample_ii_analysis,37584,12004,19896,11566,2688,3418,2224
63,sample_ii_analysis,37030,14788,19560,14500,2059,1930,1071
64,sample_ii_calib,35943,12096,14965,11836,1270,1174,685
65,sample_ii_analysis,38424,11879,13299,11700,768,562,269
