quantity,report_value,reproduced,delta,tolerance,pass
total selected B-stave pulses,640737,709003,68266,0,False
sample_i_calib events with selected pulse,239559,239453,-106,0,False
sample_i_calib selected pulses,248745,274880,26135,0,False
sample_i_analysis events with selected pulse,243133,242927,-206,0,False
sample_i_analysis selected pulses,252266,288763,36497,0,False
sample_i_analysis B2 selected pulses,241422,241040,-382,0,False
sample_i_analysis B4 selected pulses,6451,40432,33981,0,False
sample_i_analysis B6 selected pulses,3094,4848,1754,0,False
sample_i_analysis B8 selected pulses,1299,2443,1144,0,False
sample_ii_calib events with selected pulse,12103,12096,-7,0,False
sample_ii_calib selected pulses,14630,14965,335,0,False
sample_ii_analysis events with selected pulse,89807,90230,423,0,False
sample_ii_analysis selected pulses,125096,130395,5299,0,False
sample_ii_analysis B2 selected pulses,88213,87659,-554,0,False
sample_ii_analysis B4 selected pulses,21229,14920,-6309,0,False
sample_ii_analysis B6 selected pulses,11148,17197,6049,0,False
sample_ii_analysis B8 selected pulses,4506,10619,6113,0,False
