method,heldout_run,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
1d_cnn,58,0.7379069480814432,0.7842056932966024,0.8562901744719926,0.696969696969697,0.8214285714285714,0.7727272727272727,0.2982624989892635,11.11570529970162,0.2019230769230769,0.2121212121212121,0.3636363636363636,-0.0363559223085089,0.104712298975241,132,66
1d_cnn,60,0.7603308845592257,0.7460973370064278,0.8951612903225806,0.8064516129032258,0.8620689655172413,0.8460829493087557,-3.384085813664326,12.258862041678874,0.25,0.303030303030303,0.3333333333333333,-0.0328538818359375,0.1000870482743676,132,66
1d_cnn,62,0.7769006958342795,0.7803030303030303,0.8541474654377881,0.7580645161290323,0.7966101694915254,0.7933179723502304,-4.608304560368088,8.058339705950377,0.1444444444444444,0.3181818181818182,0.2121212121212121,-0.0397191162109375,0.0817889437744944,132,66
1d_cnn,64,0.8357274347126356,0.8429752066115702,0.7657407407407406,0.7361111111111112,0.7464788732394366,0.7180555555555556,-4.67969719872201,11.076060084697875,0.2222222222222222,0.3181818181818182,0.1212121212121212,-0.0562942651049832,0.1744443002662387,132,66
1d_cnn,65,0.8305381021528044,0.8358585858585859,0.7954545454545454,0.7878787878787878,0.7323943661971831,0.75,-3.1125681686119933,11.157835420856014,0.2234042553191489,0.2878787878787879,0.2272727272727272,-0.047076416015625,0.0899077724344057,132,66
deltaE_over_E_likelihood_template,58,0.6947717178364594,0.6685032139577594,0.832415059687787,0.6666666666666666,0.8301886792452831,0.7651515151515151,1.8676456411141151,14.677603805222413,0.3148148148148148,0.5909090909090909,0.0909090909090909,-0.0156451271852161,0.0920279472427792,132,66
deltaE_over_E_likelihood_template,60,0.637762218018523,0.5941230486685032,0.8218894009216591,0.7580645161290323,0.8545454545454545,0.821889400921659,-0.6782556472451029,9.741518195785623,0.1428571428571428,0.6818181818181818,0.1666666666666666,0.0032148432055735,0.1037647196881414,132,66
deltaE_over_E_likelihood_template,62,0.6349122554461061,0.5944674012855831,0.83963133640553,0.7580645161290323,0.7833333333333333,0.7861751152073733,-1.5033264795195531,10.55276566458187,0.2352941176470588,0.7424242424242424,0.0757575757575757,-0.0056822046130664,0.0979506369708754,132,66
deltaE_over_E_likelihood_template,64,0.6476382789007562,0.6184573002754821,0.7034722222222222,0.7222222222222222,0.7536231884057971,0.7194444444444444,-3.478266088331754,13.142493197946058,0.2777777777777778,0.7272727272727273,0.0757575757575757,0.0169717051396902,0.1099978462146906,132,66
deltaE_over_E_likelihood_template,65,0.6223254613856569,0.613406795224977,0.7426538108356291,0.696969696969697,0.7666666666666667,0.7424242424242424,0.268080308094869,6.651694017686069,0.175,0.696969696969697,0.0606060606060606,-0.0197287557100255,0.1292262333313868,132,66
gradient_boosted_trees,58,0.8411739595106313,0.8227731864095501,0.9251606978879706,0.8939393939393939,0.8805970149253731,0.8863636363636364,0.5490027994901903,8.56768773373674,0.1320754716981132,0.1969696969696969,0.3333333333333333,-0.0252188561479245,0.0830167606910476,132,66
gradient_boosted_trees,60,0.7689528111289959,0.7309458218549127,0.9516129032258064,0.9032258064516128,0.8615384615384616,0.8873271889400922,-0.0265553353424108,7.33366559140994,0.0888888888888888,0.3181818181818182,0.3181818181818182,-0.0012038266192409,0.0842203484503233,132,66
gradient_boosted_trees,62,0.8206157542678696,0.7926997245179063,0.8737327188940092,0.9032258064516128,0.7777777777777778,0.8373271889400922,-0.784893331062082,9.375737408263396,0.1219512195121951,0.3787878787878788,0.2121212121212121,-0.0116190790185636,0.0787599563815921,132,66
gradient_boosted_trees,64,0.8102485524074177,0.810376492194674,0.8592592592592592,0.8472222222222222,0.7530864197530864,0.7569444444444444,-0.704782688110317,6.328655269452243,0.1363636363636363,0.3333333333333333,0.1666666666666666,-0.0124768759917157,0.0848667226073707,132,66
gradient_boosted_trees,65,0.8638786585317497,0.8496326905417815,0.9315886134067952,0.9545454545454546,0.7875,0.8484848484848485,0.1683154014154908,9.379149309790478,0.1195652173913043,0.303030303030303,0.1969696969696969,-0.0053972687643635,0.0909857193320106,132,66
joint_sequence_transformer,58,0.7673108513884901,0.7975206611570247,0.4731404958677686,0.3333333333333333,0.4680851063829787,0.4772727272727273,2.2000097343832925,13.809886071958964,0.3061224489795918,0.2575757575757575,0.303030303030303,0.0609711860035981,0.1097442204222988,132,66
joint_sequence_transformer,60,0.7090143815445654,0.7323232323232323,0.5046082949308756,0.4516129032258064,0.4516129032258064,0.4829493087557603,-0.4408243726697547,14.870671040750228,0.3,0.3939393939393939,0.2727272727272727,0.0745196820703804,0.1095685463361917,132,66
joint_sequence_transformer,62,0.7630512955661711,0.7991276400367309,0.5527649769585254,0.4516129032258064,0.4827586206896552,0.511520737327189,0.4170693727742147,10.019214846339134,0.1341463414634146,0.3787878787878788,0.2121212121212121,0.0697706994231277,0.1070172672261344,132,66
