source,path,sha256
raw_root_dir,data/root/root,
p03f_pooled_run_block_summary,reports/1781034623.1381.12086ef0__p03f_loro_feature_multimodel/pooled_run_block_summary.csv,29a173c2006bc573235b0ae5346a4994cba0d61ace4b32418851806b13c3fa23
p03f_heldout_run_summary,reports/1781034623.1381.12086ef0__p03f_loro_feature_multimodel/heldout_run_summary.csv,6109c3be311a4958d0f2fe4e69c2fd6d785c9ef1d49013928a3e38dd0ba7252b
s03f_pooled_run_bootstrap,reports/1781020977.1287.077c1595/pooled_run_bootstrap.csv,46d2ee3d5941be5e20268d89395a5e51e3a0739dab25bc0813d860ca3f6cabf9
s19a_timing_head_to_head,reports/0000000006.1.nnarch__neural_architecture_sweep/timing_head_to_head.csv,d3663df66096b1fe3020d45f61e23adc478bc735c6e0d96d645bccfa7c378c29
t07_primary_method_summary,reports/0000000007.1.tradshape/primary_method_summary.csv,22033a38a09472dbab31927f5a5539dd8f7e050782815425df761d642242e7c7
