heldout_run,method,family,baseline,n_events,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,model_family
58,mlp_waveform_amp_shape_stave,ml,analytic_timewalk,73,219,1.0277732268195994,2.628461566576567,3.163319940773952,0.0410958904109589,0.8047119290432825,1.2624483995885516,-0.1597101377543173,-0.4020941427447796,0.0240271581336005,mlp
58,ridge_waveform_stave_onehot,ml,analytic_timewalk,73,219,1.0326335388245824,2.657046955533247,2.557039634738974,0.0365296803652968,0.9500670053935028,1.1889657904290654,-0.1548498257493342,-0.3317184395979993,-0.0308464328820205,ridge
58,hgb_waveform_amp_shape_stave,ml,analytic_timewalk,73,219,1.0375271067923233,2.4419060667002555,2.738676888448381,0.0319634703196347,0.8464900285426873,1.2582868772644278,-0.1499562577815933,-0.3648506285883607,0.044070673519984,gradient_boosted_trees
58,analytic_timewalk,traditional,analytic_timewalk,73,219,1.187483364573917,2.677930132419911,3.676164190705748,0.0502283105022831,1.134232310320777,1.4157188948203083,0.0,0.0,0.0,traditional_s03_analytic_timewalk
58,feature_gated_waveform_amp_shape_stave,ml,analytic_timewalk,73,219,1.189435029564653,2.557864510912649,2.621424447191889,0.0365296803652968,1.0274655187502253,1.3922818545130276,0.0019516649907362,-0.2732453440009424,0.2106843123851726,new_feature_gated_architecture
58,cnn1d_waveform_amp_shape_stave,ml,analytic_timewalk,73,219,1.191072099691808,2.829977839968163,2.9651219829398414,0.0365296803652968,1.0067216327391355,1.334343523320779,0.0035887351178913,-0.2726783363068505,0.1275927699195483,1d_cnn
59,hgb_waveform_amp_shape_stave,ml,analytic_timewalk,763,2289,1.0668959216787186,2.1043349342904465,2.498620076442506,0.018785495849716,1.0154289458812888,1.1257610964243734,-0.391812208670018,-0.4771111871852591,-0.2940704477654795,gradient_boosted_trees
59,mlp_waveform_amp_shape_stave,ml,analytic_timewalk,763,2289,1.1419493016724762,2.3503218139072044,2.679996620067357,0.0231542158147662,1.0774068735758782,1.199355681609759,-0.3167588286762604,-0.4085032005603028,-0.232166221027998,mlp
59,ridge_waveform_stave_onehot,ml,analytic_timewalk,763,2289,1.3067254370784371,2.3538866709660464,2.8762621641887747,0.0305810397553516,1.2529359335459822,1.3716642192811015,-0.1519826932702994,-0.2392253838082407,-0.0411177256859886,ridge
59,feature_gated_waveform_amp_shape_stave,ml,analytic_timewalk,763,2289,1.3138690298633622,2.341332348746075,3.0012256297069846,0.0314547837483617,1.2296778337982248,1.3643554992309754,-0.1448391004853744,-0.2480703771820885,-0.0616631492290715,new_feature_gated_architecture
59,cnn1d_waveform_amp_shape_stave,ml,analytic_timewalk,763,2289,1.3373678968163214,2.352161456997848,3.001560912972975,0.0314547837483617,1.272375472905949,1.3909310349770536,-0.1213402335324151,-0.2134214209631546,-0.0408642737691363,1d_cnn
