method,n,timing_res68,timing_bias,shape_mae,energy_bias,energy_res68,pid_auc,pid_average_precision,pid_ece,timing_res68_ci95,energy_bias_ci95,energy_res68_ci95,pid_auc_ci95,pid_ece_ci95,winner_score
mlp,167683,0.01506315157413483,0.004071519970893861,0.05196836822170839,-0.00014636241613502632,0.031117567378964373,0.6109025965735957,0.5407450290670751,0.12441233461684725,"[0.012288757770061493, 0.018923914611339552]","[-0.0050637444456066395, 0.011659341764909369]","[0.026436489742322412, 0.036910907520452]","[0.5991990644659895, 0.6220778790172871]","[0.08792621097157421, 0.16806714311700582]",10.0
traditional_optimal_transport_template_likelihood,167683,0.01853016650671806,0.00024849944620305986,0.13034975773956886,0.000443148244928665,0.026300130146754287,0.610510987526178,0.537333662852081,0.12730502576585448,"[0.015739560591513938, 0.023608901678697256]","[-0.00393428664789517, 0.005122973100608486]","[0.023077745451276787, 0.03204355727892741]","[0.5904050253744867, 0.6290712450676907]","[0.07241769633222962, 0.1686150909923812]",12.0
gradient_boosted_trees,167683,0.0330976028287903,-0.013020802206114623,0.07849562248827854,0.0013393036125773083,0.026324647139842453,0.5350782176377956,0.4528154999195692,0.1235142355357087,"[0.029532912665876217, 0.03781380857345655]","[-0.003140358716381203, 0.006309945046769963]","[0.023712885150290575, 0.028980002231753683]","[0.48492913310587443, 0.5714700293348137]","[0.0832220414780025, 0.1631978154095219]",14.0
1d_cnn,167683,0.03336443572044373,0.0007333761453628407,0.09146167154830627,0.000962998973852186,0.04290668458996077,0.6065208117973506,0.5122376011912078,0.12521674349505285,"[0.024985153809189784, 0.04551036787927149]","[-0.004060391592181784, 0.009548009151914458]","[0.031180562645942086, 0.05892472420269509]","[0.5905127045338949, 0.6211795075775501]","[0.0881478147567358, 0.16869828248172164]",18.0
compact_waveform_transformer,167683,0.04541795313358307,-0.0032297807931900013,0.0920628856833206,0.005834816035920287,0.053896605813220186,0.5971079912460332,0.508041633743265,0.12292324329553109,"[0.03974906003057956, 0.05252049056470398]","[0.0005171061982118366, 0.01153887346128756]","[0.045076541808195876, 0.06318487012857464]","[0.5681436224043516, 0.6325631336697676]","[0.07776676333944645, 0.16994448014663116]",18.0
manifold_gated_residual_cnn_new,167683,0.04580278491973878,0.011863560080528246,0.10361086049490623,0.005002062951953518,0.04653387434807809,0.6093316507685791,0.5212216476850517,0.12434213191300453,"[0.03967424731701614, 0.053805596783757195]","[-0.001555868142272338, 0.013519981847662654]","[0.038457790696108295, 0.05565511391185794]","[0.5834933763511939, 0.6386863971128555]","[0.08168140164244561, 0.1676398526890619]",18.0
ridge,167683,0.1583607931559601,0.01749337664079159,0.2081250926857362,0.007534608434969621,0.06739519635783559,0.6549933111327051,0.5992682380507028,0.16194113471223193,"[0.1321444241014768, 0.19972814679265116]","[-0.0007517325479809246, 0.02049923198402317]","[0.057335401328802084, 0.08277009534363901]","[0.619368092637087, 0.6884994605649452]","[0.14096458598031447, 0.18434382625877682]",22.0
