method,bin,prob_low,prob_high,n,mean_predicted_probability,observed_positive_fraction,abs_calibration_error
1d_cnn,0,0.0,0.1,4848,0.06479366390422991,0.2233910891089109,0.15859742520468098
1d_cnn,1,0.1,0.2,3612,0.14425124565875808,0.3178294573643411,0.17357821170558302
1d_cnn,2,0.2,0.30000000000000004,3453,0.2495107113788551,0.24963799594555458,0.00012728456669947041
1d_cnn,3,0.30000000000000004,0.4,2667,0.35453974296638124,0.4356955380577428,0.08115579509136156
1d_cnn,4,0.4,0.5,10662,0.47065920921511106,0.39786156443444004,0.07279764478067102
1d_cnn,5,0.5,0.6000000000000001,140323,0.5267304775244622,0.3948176706598348,0.13191280686462742
1d_cnn,6,0.6000000000000001,0.7000000000000001,2007,0.6264694625902485,0.6143497757847534,0.012119686805495133
1d_cnn,7,0.7000000000000001,0.8,76,0.7362809604720065,0.15789473684210525,0.5783862236299013
1d_cnn,8,0.8,0.9,27,0.8465812537405226,0.037037037037037035,0.8095442167034856
1d_cnn,9,0.9,1.0,8,0.9104772135615349,0.0,0.9104772135615349
compact_waveform_transformer,0,0.0,0.1,4692,0.05676262606830929,0.24445865302642797,0.18769602695811868
compact_waveform_transformer,1,0.1,0.2,3727,0.1487651629628814,0.2707271263751006,0.12196196341221921
compact_waveform_transformer,2,0.2,0.30000000000000004,3261,0.24735806320789072,0.2667893284268629,0.019431265218972205
compact_waveform_transformer,3,0.30000000000000004,0.4,3026,0.3534758781665851,0.3605419695968275,0.007066091430242394
compact_waveform_transformer,4,0.4,0.5,12011,0.4720386340748945,0.3693281158937641,0.10271051818113042
compact_waveform_transformer,5,0.5,0.6000000000000001,139649,0.5277184089454809,0.39980236163524263,0.1279160473102383
compact_waveform_transformer,6,0.6000000000000001,0.7000000000000001,1153,0.6350110807009397,0.590633130962706,0.044377949738233724
compact_waveform_transformer,7,0.7000000000000001,0.8,138,0.7323675561642301,0.5579710144927537,0.17439654167147645
compact_waveform_transformer,8,0.8,0.9,25,0.8403132271766662,0.08,0.7603132271766663
compact_waveform_transformer,9,0.9,1.0,1,0.9224066734313965,0.0,0.9224066734313965
gradient_boosted_trees,0,0.0,0.1,3375,0.07495017059118468,0.16355555555555557,0.08860538496437088
gradient_boosted_trees,1,0.1,0.2,3950,0.14338516477356117,0.35670886075949365,0.21332369598593248
