method,observed_pid_auc,run_shuffled_pid_auc_mean,run_shuffled_pid_auc_ci95,observed_minus_shuffled_auc,run_shuffled_energy_res68_mean,n
ridge,0.6549933111327051,0.5193373619537319,"[np.float64(0.5164893046710276), np.float64(0.5219001780216823)]",0.13565594917897317,0.13116903926151174,167683
manifold_gated_residual_cnn_new,0.6093316507685791,0.5055492300879997,"[np.float64(0.5029368163955671), np.float64(0.508089540705419)]",0.10378242068057941,0.10066516514294155,167683
traditional_optimal_transport_template_likelihood,0.610510987526178,0.5073669192850597,"[np.float64(0.5051170520432275), np.float64(0.5097706628667182)]",0.10314406824111833,0.08644153360061223,167683
mlp,0.6109025965735957,0.5159624504537366,"[np.float64(0.5131666783843909), np.float64(0.5188109265897453)]",0.09494014611985913,0.08019605203666103,167683
1d_cnn,0.6065208117973506,0.5122249942958489,"[np.float64(0.5096835309951625), np.float64(0.5151594126120133)]",0.09429581750150173,0.10236695525755414,167683
compact_waveform_transformer,0.5971079912460332,0.5075283130535243,"[np.float64(0.5049474943629658), np.float64(0.5101529579925397)]",0.0895796781925089,0.10164127008440649,167683
gradient_boosted_trees,0.5350782176377956,0.5211903826974524,"[np.float64(0.5183307737184933), np.float64(0.5239237346546821)]",0.01388783494034318,0.05894090344479292,167683
