method,reference_run,comparison_run,n_reference,n_comparison,w1_timing_prediction,w1_timing_target,w1_energy_prediction,w1_energy_target_charge_loss,w1_pid_probability,w1_pid_label
1d_cnn,44,45,1912,9000,0.028118484811951464,0.013441365868665943,0.024405470507713228,0.013528852215921004,0.00419856710415899,0.0
1d_cnn,44,46,1912,677,0.1413103533423308,0.14315729025364526,0.12265046411735829,0.12677377407598975,0.024357394589619212,0.04040404040404041
1d_cnn,44,47,1912,5161,0.15613318864143255,0.15686579545763404,0.13551595891338913,0.14142146392904145,0.026289481808139815,0.04040404040404041
1d_cnn,44,48,1912,9000,0.020657173224320327,0.009803495669545522,0.01792941600997065,0.010662575966180012,0.0027342322781079937,0.010101010101010102
1d_cnn,44,49,1912,9000,0.02621096988970586,0.023769108704801176,0.022749834202016837,0.023149806544034143,0.0034913045709783442,0.0
1d_cnn,44,50,1912,9000,0.2224900929885681,0.2273846181104806,0.19311050155901396,0.2180553150357622,0.037485220173392626,0.030303030303030304
1d_cnn,44,51,1912,9000,0.18426533009367757,0.1785213463925803,0.1599332790336324,0.1713034854212192,0.03114109822069152,0.030303030303030304
1d_cnn,44,52,1912,6933,0.1918396700421969,0.19061722610812598,0.16650743574120472,0.1827235964271757,0.03226381753580738,0.030303030303030304
1d_cnn,44,53,1912,9000,0.23666884018315207,0.23860810809086522,0.20541695966464893,0.22675183881412841,0.040039194101336016,0.030303030303030304
1d_cnn,44,54,1912,9000,0.24050783640808526,0.2452501213384999,0.20874902073782445,0.2317060315307944,0.04084129656655619,0.04040404040404041
1d_cnn,44,55,1912,9000,0.18555325116774044,0.18789865398229372,0.16105113269559232,0.17966629192082564,0.031210443759054844,0.030303030303030304
1d_cnn,44,56,1912,9000,0.2116493163114846,0.2184432747039756,0.18370123965777135,0.20913200742668572,0.03546810338894526,0.030303030303030304
1d_cnn,44,57,1912,9000,0.016778193419479386,0.014155645642075896,0.014562646032511721,0.014559482245734256,0.002439741503183899,0.0
