method,n,positives,roc_auc,auc_ci_low,auc_ci_high,average_precision,role,family
traditional_fisher_gatti_all_features,9745,2021,0.9963841600020089,0.9947096492215983,0.9976870920311337,0.9811147647846018,traditional_multivariate,fisher_gatti_engineered_features
traditional_gatti_waveform,9745,2021,0.9913139507978244,0.9892550423031399,0.9931429652990514,0.9671611401338697,traditional_multivariate,current_integration_gatti
traditional_scalar__matched_template_delta_chi2,9745,2021,0.9900776440846001,0.9876494742907009,0.9926586890817979,0.9627012661350134,traditional_scalar,matched_filter_template_chi2
traditional_scalar__matched_template_nominal_chi2,9745,2021,0.9877660151014042,0.9856350601205502,0.989963287677537,0.9316859701761483,traditional_scalar,matched_filter_template_chi2
traditional_scalar__area_over_peak,9745,2021,0.9702222981839316,0.965805822093062,0.9753219552567797,0.9052116090300655,traditional_scalar,traditional_scalar
traditional_scalar__positive_area,9745,2021,0.969180607761436,0.9622036727125972,0.9744397408571958,0.9349914634228024,traditional_scalar,traditional_scalar
traditional_scalar__width20,9745,2021,0.9511242774277646,0.9370494008330381,0.9629941298424278,0.9098308985652444,traditional_scalar,rise_time_width
traditional_scalar__time_variance,9745,2021,0.9265222606956321,0.9052161880639844,0.9426594541528068,0.9042411033233295,traditional_scalar,mean_time_moments
traditional_scalar__width50,9745,2021,0.9201866292074082,0.9098691274852755,0.9281343416630411,0.8157276336298025,traditional_scalar,rise_time_width
traditional_scalar__haar_l0_d02,9745,2021,0.8953302596173629,0.8881451472662567,0.9044784949135046,0.6449716094415681,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d01,9745,2021,0.8876988731217095,0.8733166354455593,0.9003161655934607,0.5883097183999324,traditional_scalar,wavelet_haar
traditional_scalar__middle_5_9_over_total,9745,2021,0.8648471858535609,0.7968822169201982,0.9106294214010958,0.8361510417209561,traditional_scalar,charge_comparison_psd
traditional_scalar__time_skewness,9745,2021,0.8496691010572315,0.808911051707953,0.8805098273814894,0.8135748059158173,traditional_scalar,mean_time_moments
