method,n,positives,roc_auc,auc_ci_low,auc_ci_high,average_precision,role,family
ML_gradient_boosted_trees,9745,2021,0.9999994875147051,0.9999987789286507,1.0,0.9999980418314972,ml_panel,
ML_mlp,9745,2021,0.9999238318730492,0.9998468370252966,0.9999769601264401,0.9997137119135138,ml_panel,
traditional_fisher_gatti_all_features,9745,2021,0.9963841600020089,0.9947096492215983,0.9976870920311337,0.9811147647846018,traditional_multivariate,fisher_gatti_engineered_features
ML_ridge_classifier,9745,2021,0.9951561171141646,0.9930274566626792,0.9970221941906473,0.9647713508508476,ml_panel,
NN_residual_squeeze_cnn_new,9745,2021,0.9877568544267583,0.9834011287580553,0.9908681594666617,0.9560302255720005,ml_panel,
NN_1d_cnn,9745,2021,0.9722035663339185,0.9656863366512792,0.9786360493952461,0.9134257217539727,ml_panel,
