method,n,timing_res68,timing_bias,shape_mae,energy_bias,energy_res68,pid_auc,pid_average_precision,pid_ece,timing_res68_ci95,energy_bias_ci95,energy_res68_ci95,pid_auc_ci95,pid_ece_ci95,winner_score
mlp,167683,0.020962703239917755,-0.008101440966129303,0.0584574343837832,0.0038120186644984566,0.034985810532523316,0.5625316211239247,0.4930121717511001,0.12329240035480557,"[0.018972731891870508, 0.02377428722381595]","[-0.0076671582174476565, 0.013551855005682682]","[0.029213972160221188, 0.039404248556131144]","[0.5465835699108024, 0.579554181009321]","[0.09182052702706717, 0.17308788510866402]",11.0
traditional_cfd_timewalk_deltae_lookup,167683,0.02981273285599635,0.0013275023492893834,0.14067845826223818,0.004764588669120121,0.043289727901365496,0.609762476781104,0.5336036100015711,0.12885509793335995,"[0.027235095569315814, 0.032584021244439695]","[-0.0007045556825120651, 0.010029302206819276]","[0.03876418737090905, 0.048731324343604554]","[0.5916162569298575, 0.6265869690548873]","[0.08068049533499622, 0.1747017790634395]",13.0
compact_waveform_transformer,167683,0.039845985031127934,0.002477661967277528,0.0966433504981572,0.0047443980996552115,0.05503951490082688,0.5702883706339467,0.4880356700767726,0.12128167537615749,"[0.03408110993355513, 0.048556750909090035]","[-0.0006531454421776002, 0.013122069432147778]","[0.04692170305536496, 0.06310894129037845]","[0.5514655417646049, 0.5891554982983238]","[0.08569228745564383, 0.1656576987790627]",14.0
gradient_boosted_trees,167683,0.031751711789109974,-0.01278176622851801,0.07810360505763425,0.002388599078209319,0.02763381090981682,0.5424169858431003,0.48111026300523246,0.12561079975104916,"[0.029521750291517913, 0.03471533238111494]","[-0.0034247630567317633, 0.007236744933978819]","[0.024841110697597316, 0.03081196169224719]","[0.4892962798791732, 0.5898007472036114]","[0.0780542354116084, 0.16169506412166812]",16.0
manifold_gated_residual_cnn_new,167683,0.06752148478031159,0.009209207296371424,0.11713566713955201,0.0051947021163578355,0.06717295515217386,0.5846570510974735,0.47449282184725405,0.12266059216472262,"[0.05530347173035147, 0.07927740450590848]","[-0.004830223975200055, 0.017467753303646544]","[0.05336465170003835, 0.08011831626215717]","[0.5582327868698648, 0.6092262037901219]","[0.08226655973435996, 0.1630996991287528]",18.0
1d_cnn,167683,0.056565548920631405,0.029360653162002565,0.106491446460587,0.002303559153130297,0.04639150547943298,0.5545327942023126,0.4710720627584453,0.12346046686223835,"[0.04957110823690891, 0.0636522710645199]","[-0.008425616577969195, 0.014513972301577308]","[0.04018241751592809, 0.05415279109674628]","[0.5408619528207986, 0.5686178172781899]","[0.09519625219202311, 0.1717950211070265]",19.0
ridge,167683,0.16097471458215354,0.018961665037357495,0.209245154817562,0.0079832675705293,0.06608397818632754,0.6565970954090928,0.5990709080570675,0.1666514292486099,"[0.1351920703443592, 0.20032292159971063]","[-0.0009116714600401906, 0.018740893059583996]","[0.05642015370149203, 0.08055007745616037]","[0.6223613776889749, 0.6875603287064648]","[0.1494851224084982, 0.18611876449590434]",21.0
