heldout_run,model,threshold,n_train_events,n_heldout_events,n_heldout_tail,tail_fraction,train_seconds,n_parameters,roc_auc,average_precision,brier,tail_rejection_at_90_clean,clean_acceptance,flagged_fraction,C,learning_rate,hidden,width
58,traditional_s16f_scorecard,0.037631623446941376,3747,73,70,0.958904109589041,0.0002677440643310547,0,0.5523809523809524,0.9741341784883668,0.781259532581845,0.2857142857142857,1.0,0.273972602739726,,,,
58,ridge,0.31977876548732287,3747,73,70,0.958904109589041,0.07271909713745117,83,0.9952380952380953,0.9997987927565388,0.033385238872595036,0.9857142857142858,1.0,0.9452054794520548,0.3,,,
58,ridge,0.28618228687367614,3747,73,70,0.958904109589041,0.1473681926727295,83,0.9952380952380953,0.999798792756539,0.028820436047408277,0.9857142857142858,1.0,0.9452054794520548,1.0,,,
58,ridge,0.27697327904006963,3747,73,70,0.958904109589041,0.17477965354919434,83,0.9952380952380953,0.999798792756539,0.026849864604658644,0.9857142857142858,1.0,0.9452054794520548,3.0,,,
58,gradient_boosted_trees,0.28353206183723745,3747,73,70,0.958904109589041,674.0337512493134,83,0.9904761904761905,0.9996031746031744,0.026384170961870346,1.0,0.0,1.0,,0.03,,
58,gradient_boosted_trees,0.022797203419818238,3747,73,70,0.958904109589041,0.7094295024871826,83,1.0,0.9999999999999998,0.02501147133088842,1.0,0.0,1.0,,0.08,,
58,mlp,0.8820391774177552,3747,73,70,0.958904109589041,0.13138389587402344,2041,0.8523809523809525,0.9931899900373878,0.05716468363384444,0.5428571428571428,1.0,0.5205479452054794,,,24.0,
58,mlp,0.9534244537353516,3747,73,70,0.958904109589041,0.18701863288879395,4081,0.9428571428571428,0.9975499804046792,0.034179655529882294,0.5285714285714286,1.0,0.5068493150684932,,,48.0,
58,cnn,0.28140156865119936,3747,73,70,0.958904109589041,1.0376815795898438,361,0.9904761904761905,0.9996031746031744,0.07112060695482596,0.9857142857142858,1.0,0.9452054794520548,,,,8.0
58,tcn,0.42587472200393706,3747,73,70,0.958904109589041,1.124150037765503,361,0.9904761904761905,0.9996031746031744,0.08284123189835156,0.9,1.0,0.863013698630137,,,,8.0
