event_id,run,max_q_template_rmse,dominant_q_stave,dominant_q_stave_index,max_peak_sample,max_tail_area_frac,max_secondary_peak_frac,max_width20_samples,max_adaptive_lowering_adc,max_pretrigger_absmax_adc,min_over_max_amp,amp_cv,mean_log_amp,dt_span_ns,tail_label,atom_class,pulse_shape_handoff,artifact_handoff
58:391631:10103:2692,58,0.10560825261688957,B8,2,9.0,0.6287228708545233,0.982030852686896,12.0,0.0,12.5,0.7210560206052801,0.14923077912323435,8.063925088668938,4.307085546556088,True,common_shape,False,False
58:391841:10300:2900,58,0.5601512468807,B4,0,13.0,0.5534146219077726,0.9996750081247969,7.0,0.0,37.0,0.6065476777438122,0.2512960879536719,8.19832503046514,4.546345877190099,True,delayed_peak_shape,True,False
58:392066:10514:3123,58,0.17708238840421786,B8,2,8.0,0.6367022965393163,0.8014669926650366,13.0,0.0,12.0,0.376542073283005,0.482078827381853,7.9758716084554715,2.546345877190099,False,low_charge_pair_artifact,False,True
58:392204:10642:3261,58,0.09866954796918852,B8,2,10.0,0.7029933246745401,0.9874690849134378,12.0,0.0,25.5,0.7925854465270121,0.10196952131192842,8.05950477029959,4.807085546556088,True,broad_late_shape,True,False
58:392294:10722:3348,58,0.09430482651555448,B8,2,9.0,0.4879695384040366,0.9195381562330868,11.0,0.0,25.5,0.4214324373083168,0.3591643496144173,7.469162151075533,2.807085546556074,False,common_shape,False,False
58:392636:11042:3687,58,0.2528836648774923,B4,0,10.0,0.673654376468185,0.9735221674876847,11.0,0.0,23.0,0.5607956368302855,0.24447201315746384,8.136160587136859,6.546345877190099,True,common_shape,False,False
58:393248:11615:4294,58,0.6118187055207988,B4,0,16.0,0.214641902146419,0.7975295381310419,5.0,0.0,18.0,0.6525241675617616,0.21012827111236387,7.94226557801873,4.546345877190099,True,delayed_peak_shape,True,False
58:394656:12923:5698,58,0.12227785951948776,B8,2,11.0,0.6498122012292283,0.9819905213270143,12.0,0.0,20.5,0.6507605495583906,0.17850600107415393,8.08565858184272,5.807085546556088,True,common_shape,False,False
58:394684:12945:5726,58,0.5334108856168989,B4,0,5.0,0.6628201519842387,0.9647218453188603,11.0,651.6700000000001,2305.0,0.7540927694406548,0.12342949028253046,7.818974063912431,4.546345877190099,True,common_shape,False,False
58:394786:13037:5828,58,0.5964738004207127,B4,0,17.0,0.0,0.557367501456028,3.0,0.0,27.5,0.5793776970247558,0.21842919997595403,7.4327138990120245,4.546345877190099,True,delayed_peak_shape,True,False
58:394965:13201:6007,58,0.11594342274085803,B8,2,8.0,0.6586555946175294,0.8886185455528521,13.0,0.0,22.5,0.42754798594214655,0.393184652086119,7.705959656014007,5.546345877190106,True,common_shape,False,False
58:395467:13673:6509,58,0.13934576346911534,B8,2,10.0,0.6840284293488459,0.9993550467591099,12.0,0.0,14.5,0.5879865553507535,0.23583236749933792,8.12731787664466,3.546345877190099,True,delayed_peak_shape,True,False
58:396978:15063:8018,58,0.11973466647688222,B4,0,11.0,0.6097694609516584,0.9977917981072555,12.0,0.0,9.0,0.6785488958990537,0.16835303940881813,7.930265138973682,5.046345877190106,True,delayed_peak_shape,True,False
58:398418:42:9453,58,0.1163342080381442,B8,2,8.0,0.6319302400688988,0.9472566371681416,12.0,0.0,17.0,0.6004650024473813,0.22382334117417713,8.022620800102287,4.807085546556088,True,common_shape,False,False
58:398580:196:9615,58,0.3128369954470794,B4,0,11.0,0.6329909669432677,0.9836541954231747,11.0,0.0,18.5,0.8053382420616659,0.09515462900609707,7.961220856994866,4.546345877190099,True,common_shape,False,False
58:399270:859:10304,58,0.4331198214340606,B6,1,12.0,0.5573495653968172,0.9712673165726013,9.0,0.0,35.5,0.5348041730802121,0.25037080924418903,7.674044358906225,4.546345877190099,True,common_shape,False,False
58:399602:1163:10635,58,0.32380803415140613,B6,1,11.0,0.5176195252423939,0.8776371308016878,10.0,0.0,9.0,0.6814621409921671,0.159590080323371,7.6903497492391395,4.546345877190099,True,common_shape,False,False
58:399989:1517:11021,58,0.45893232028092307,B4,0,14.0,0.42996013707252256,0.9808499916008735,9.0,0.0,18.5,0.39391903242062826,0.40073693246819136,7.48300692421077,4.546345877190099,True,delayed_peak_shape,True,False
58:400792:2281:11821,58,1.0205563596329248,B4,0,10.0,0.4995873452544704,0.9393004115226338,10.0,2103.42,2091.0,0.3724279835390947,0.36829703879534187,7.5389322297817225,29.307085546556117,True,pretrigger_baseline_shape,True,False
58:401022:2495:12051,58,0.4346066621005055,B4,0,8.0,0.4572249540849576,0.9989711934156379,11.0,271.1949999999997,1555.5,0.6704389574759945,0.16091792967592108,7.786187900827062,4.546345877190099,True,delayed_peak_shape,True,False
58:401083:2548:12110,58,0.10315344294075153,B8,2,10.0,0.5072218460844053,0.9297777777777778,11.0,0.0,13.0,0.4577822990844354,0.30548394050172817,7.531684225499872,7.807085546556088,True,common_shape,False,False
58:401283:2737:12310,58,0.21827476259754527,B6,1,10.0,0.5912643472823903,0.994015138179898,11.0,0.0,25.0,0.713192791567494,0.1432361041794323,7.862636781557401,4.807085546556088,True,common_shape,False,False
58:401498:2943:12525,58,0.24438872600947603,B8,2,7.0,0.6759906293174218,0.843298969072165,13.0,0.0,84.0,0.41199456337071017,0.4465083576405519,8.101443384714758,3.546345877190106,True,common_shape,False,False
58:401532:2974:12559,58,0.12492290586175665,B8,2,9.0,0.635546369160275,0.8577817531305904,12.0,0.0,14.5,0.46041387830742303,0.37497314786423985,7.99989773212231,5.546345877190092,True,common_shape,False,False
58:401733:3159:12760,58,0.13748894729362032,B8,2,7.0,0.6830741679593407,0.9982004678783516,13.0,0.0,12.5,0.6556932153392331,0.17692669545818276,8.124590497313454,4.546345877190099,True,delayed_peak_shape,True,False
58:402308:3701:13332,58,0.6938421852559499,B4,0,5.0,0.4042328042328042,0.8032638259292838,8.0,580.9099999999999,947.5,0.7878571428571428,0.097299903472605,7.124968858768635,4.546345877190099,True,q_template_mismatch,True,False
58:402542:3915:13565,58,0.44559167581615466,B4,0,12.0,0.4625474833808167,0.9223190602500947,9.0,0.0,14.0,0.7404319818112921,0.12861334138350872,7.709113790838921,4.546345877190099,True,common_shape,False,False
58:402594:3966:13616,58,0.3940690496607586,B4,0,12.0,0.640871828868013,0.9801734820322181,10.0,0.0,24.0,0.6497400556160078,0.2030179968614952,8.056866206447724,4.546345877190099,True,common_shape,False,False
58:402626:3997:13647,58,0.541267037155947,B4,0,5.0,0.6843528052886387,0.807673143996014,14.0,616.79,3714.5,0.44163274287600396,0.3743368611779794,7.935975334072849,4.546345877190099,True,broad_late_shape,True,False
58:402712:4076:13733,58,0.5563097716184259,B6,1,13.0,0.5740286203862363,0.990597248824656,8.0,0.0,30.5,0.7355876657232236,0.12516101858871093,7.964621122580776,4.546345877190099,True,common_shape,False,False
58:403406:4719:14427,58,0.5832495730863195,B8,2,17.0,0.0,0.29531366228613937,3.0,0.0,12.0,0.31064431427994343,0.5321801119185519,7.818683116115804,4.546345877190099,True,low_charge_pair_artifact,False,True
58:403541:4843:14562,58,0.5331877766956191,B4,0,13.0,0.4571108782625262,0.9556803072832029,7.0,0.0,17.5,0.3391933815925543,0.4186667447809157,7.600076891552232,4.546345877190099,True,low_charge_pair_artifact,False,True
58:404100:5367:15118,58,0.6035666770317079,B4,0,16.0,0.22578913051816055,0.979371152886375,5.0,0.0,9.5,0.5135584761271003,0.26004097525507675,7.704315073793711,4.546345877190099,True,delayed_peak_shape,True,False
58:404147:5411:15165,58,0.3679393590787483,B6,1,11.0,0.6252592546037332,0.9967219085776725,10.0,0.0,11.5,0.6238354919336514,0.22316748865702501,8.093281851882956,4.546345877190099,True,common_shape,False,False
58:404180:5444:15198,58,0.6698865697333403,B4,0,6.0,0.6537175292395018,0.9818361303060217,11.0,1092.2700000000004,2969.5,0.5778456837280367,0.220038720541904,7.825453934136312,4.546345877190099,True,pretrigger_baseline_shape,True,False
58:404302:5557:15320,58,0.08011924053512393,B8,2,11.0,0.4916433712008565,0.977137488255559,12.0,0.0,35.5,0.6575321014719699,0.1847003479479281,7.825265760182412,5.546345877190099,True,common_shape,False,False
58:404573:5824:15589,58,0.7198372729108877,B4,0,17.0,0.0,0.16131105398457585,2.0,351.3199999999997,251.0,0.4469337929053569,0.363315725870631,7.684331998334829,4.546345877190099,True,delayed_peak_shape,True,False
58:405501:6684:16516,58,0.5117156613312622,B4,0,13.0,0.5064265431176207,0.9698996655518395,8.0,0.0,10.5,0.611085396898866,0.24259973459277234,8.049538481478606,4.546345877190099,True,common_shape,False,False
58:405830:6983:16845,58,0.1309938285561953,B8,2,8.0,0.6747681108371493,0.9187076602397082,12.0,0.0,16.5,0.5905879535384984,0.22952955803664832,8.037786305890682,4.546345877190106,True,common_shape,False,False
58:405995:7135:17010,58,0.33744918140628655,B8,2,6.0,0.6834003097660011,0.8953459119496855,15.0,0.0,1076.5,0.383413109309368,0.49023386159465326,7.90614393189356,4.546345877190099,True,low_charge_pair_artifact,False,True
58:406327:7441:17342,58,0.942879091271517,B4,0,6.0,0.6461159635755436,0.9756014910199933,12.0,1816.79,3207.0,0.46008730901153727,0.3168849622602091,7.673270250981343,4.546345877190099,True,pretrigger_baseline_shape,True,False
58:406604:7705:17619,58,0.2069431281996007,B4,0,9.0,0.6978677882862074,0.9617670682730923,13.0,0.0,31.0,0.503744893327281,0.27652879893567117,8.046646637962217,2.192914453443919,False,common_shape,False,False
58:406641:7736:17656,58,0.2716971529529714,B8,2,7.0,0.6504051075037934,0.9004880694143167,14.0,0.0,177.0,0.3129067245119306,0.4665563992869067,7.614881714547675,4.546345877190099,True,low_charge_pair_artifact,False,True
58:406766:7856:17781,58,0.45402259050506233,B6,1,12.0,0.60852439985074,0.9673716012084592,9.0,0.0,29.5,0.6560422960725075,0.1687450535640797,7.92340061447269,4.546345877190099,True,common_shape,False,False
58:407215:8277:18230,58,0.11703546775138483,B8,2,9.0,0.6188702958084111,0.8722007722007722,12.0,0.0,13.0,0.5243976513464264,0.3262586265529966,8.077469453147735,5.046345877190099,True,common_shape,False,False
58:407221:8283:18236,58,0.5511509917704744,B6,1,13.0,0.43399647704901045,0.9948420373952289,8.0,0.0,9.0,0.7938426821405545,0.10109128452264382,7.90417914808539,4.546345877190099,True,common_shape,False,False
58:408610:9560:19622,58,0.5771953851674938,B8,2,17.0,0.0,0.2693446088794926,3.0,0.0,15.0,0.6614459516151587,0.18983316328417493,7.929155250877298,4.546345877190099,True,delayed_peak_shape,True,False
58:408871:9807:19882,58,0.11082522277619443,B6,1,11.0,0.6478419897585954,0.9928698752228164,12.0,0.0,18.5,0.8956303513433718,0.04918084382713005,8.060196680960601,5.307085546556088,True,common_shape,False,False
58:408897:9829:19908,58,0.5926000250270897,B4,0,17.0,0.0,0.3949913215968262,3.0,0.0,19.5,0.2767657087189479,0.5698106686599352,7.8042084326580605,4.546345877190099,True,low_charge_pair_artifact,False,True
58:409157:10061:20168,58,0.08682525499534671,B6,1,9.0,0.6260222742777298,0.9966985803895675,12.0,0.0,28.5,0.6567466500467435,0.17343055229259235,7.914692062604697,6.307085546556088,True,common_shape,False,False
58:409234:10135:20245,58,0.5979100922988411,B4,0,15.0,0.36778375733855184,0.8884443398446693,5.0,0.0,18.5,0.3308190538657047,0.556345148744795,7.995944789226878,4.546345877190099,True,low_charge_pair_artifact,False,True
58:410177:11017:21186,58,0.5381863377009106,B4,0,5.0,0.5204981435643564,0.9717568214456678,9.0,594.3299999999999,1610.0,0.8931167165455323,0.0461379729380471,7.704716898034259,4.546345877190099,True,common_shape,False,False
58:410621:11439:21629,58,0.43536480870486494,B8,2,14.0,0.4207742043832396,0.9774030940378933,9.0,0.0,25.5,0.5348513818877108,0.2666145187715564,7.621323524327473,4.546345877190099,True,delayed_peak_shape,True,False
58:412157:12844:23160,58,0.21612075743397394,B6,1,12.0,0.6656668017835428,0.9957377049180328,11.0,0.0,19.0,0.9092264122820093,0.041798882986215896,8.060890586007867,4.807085546556088,True,common_shape,False,False
58:412546:13200:23548,58,0.13806312640727783,B8,2,9.0,0.6594946133625078,0.889614718037595,12.0,0.0,197.0,0.7020397280362618,0.1687431764070438,8.002885786150621,5.807085546556095,True,common_shape,False,False
58:413325:13961:24327,58,0.17307281234458366,B8,2,11.0,0.6872152423029132,0.9916546300754293,12.0,0.0,18.5,0.9164583026915722,0.03742047271027175,8.097171684362491,4.807085546556095,True,common_shape,False,False
58:413638:14256:24640,58,0.6025665574568556,B4,0,16.0,0.21904451210671305,0.9020912547528517,5.0,0.0,17.5,0.5969631236442516,0.2548082112685066,7.811182166517418,4.546345877190099,True,delayed_peak_shape,True,False
58:413843:14451:24845,58,0.4686665625422198,B4,0,7.0,0.5063418129702616,0.9702021993614757,10.0,248.63500000000022,1518.0,0.5305072720822986,0.250872808385593,7.642556315617889,4.546345877190099,True,common_shape,False,False
58:416328:373:27330,58,0.22584160991153432,B4,0,10.0,0.6899553000019691,0.9860650298606503,13.0,0.0,16.5,0.48687505048057506,0.2833084278831153,8.470905646377178,9.546345877190106,True,common_shape,False,False
58:417165:1152:28167,58,0.3692166530073883,B8,2,6.0,0.6288700825338305,0.9938303341902314,11.0,79.60999999999967,1146.0,0.8270779777206513,0.08338757252608095,7.86589824063778,4.546345877190099,True,common_shape,False,False
58:417278:1288:28280,58,0.17171566614251885,B6,1,10.0,0.5190539937527889,0.9923460898502496,12.0,0.0,26.5,0.540765391014975,0.2684185777847637,7.6597032473781725,4.307085546556081,True,common_shape,False,False
58:417735:1712:28737,58,0.6031867689100934,B4,0,17.0,0.0,0.754200146092038,4.0,0.0,24.5,0.5434915773353752,0.23804458679196785,7.829502265058877,4.546345877190099,True,delayed_peak_shape,True,False
