model,score_column,n_events,n_tail,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,brier,brier_ci_low,brier_ci_high,tail_rejection_at_90_clean,tail_rejection_at_90_clean_ci_low,tail_rejection_at_90_clean_ci_high,clean_acceptance,clean_acceptance_ci_low,clean_acceptance_ci_high,flagged_fraction,flagged_fraction_ci_low,flagged_fraction_ci_high
ridge,score_ridge_C0.3,3820,3537,0.9641907707615903,0.9533383502219692,0.972694939039464,0.9969016077814059,0.99282838139718,0.9989795103859267,0.0836395410809554,0.06121756317255963,0.11318453950869328,0.9454339836019225,0.9076450966323495,0.9730639730639731,0.8692579505300353,0.802515167438972,0.9047650225520151,0.8850785340314136,0.7998455657128831,0.9461152882205514
gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.08,3820,3537,0.9020700899426658,0.8790724650097053,0.9626117121671883,0.9904434086298464,0.9783892539162083,0.9986760705112218,0.05556379143729468,0.02260380534653003,0.10642471214090525,1.0,1.0,1.0,0.014134275618374558,0.0,0.0588336214573838,0.9989528795811519,0.9974669371213317,1.0
cnn,score_cnn_width8,3820,3537,0.9028383439680071,0.862336950789706,0.9374287616431439,0.9903951863515115,0.9790209750746005,0.9968160231890836,0.13646736871587595,0.0803871410329005,0.19413639372909644,0.7924795024031666,0.6348046515692842,0.9292027626143361,0.901060070671378,0.7729750155597048,0.9545492889300483,0.7410994764397906,0.5622356125430189,0.9047516877750954
tcn,score_tcn_width8,3820,3537,0.902201462380029,0.8754611626081522,0.9079434603448405,0.9899297253740663,0.9784463371113116,0.9944293619012772,0.1012470808297323,0.06690914481369026,0.14085597968477004,0.7837150127226463,0.6363636363636364,0.9057811624986399,0.8833922261484098,0.7379554140127388,0.9412298079853704,0.7342931937172775,0.5588794678634916,0.8776466868027184
traditional_s16f_scorecard,score_traditional_s16f_scorecard,3820,3537,0.589764338826999,0.5559204648081114,0.6348031114480983,0.9563175565296304,0.9212782726256092,0.9817436119920032,0.7229626809578982,0.6674266061545083,0.7721232014289374,0.3480350579587221,0.3291316526610644,0.36289784219020305,0.8939929328621908,0.8260869565217391,0.9206674972132975,0.3301047120418848,0.3106440057434415,0.34917617237008874
mlp,score_mlp_hidden48,3820,3537,0.5000509505270382,0.4421173883602373,0.7320136409211192,0.940017046815575,0.9001146897966075,0.9881106681190425,0.07773559313421648,0.04229762940411129,0.13067316242882432,0.37772123268306473,0.29208726799088247,0.4771624355987825,0.7809187279151943,0.6926773900635621,1.0,0.36596858638743457,0.28103555832813476,0.45462157997917774
