method,base_method,drift_order,mean_cv_sigma68_ns,folds,total_pair_residuals,heldout_run
s02e_binned_timewalk_drift0,s02b_template,0,3.084977708430832,3,11241,58
s02e_binned_timewalk_drift1,s02b_template,1,3.5113395477572986,3,11241,58
s02e_binned_timewalk_drift2,s02b_template,2,136.4923617513507,3,11241,58
s02e_global_timewalk_drift0,template_phase,0,1.7507014091208648,3,11241,58
s02e_global_timewalk_drift1,template_phase,1,1.983669931004676,3,11241,58
s02e_global_timewalk_drift2,template_phase,2,166.3948781479799,3,11241,58
s02e_binned_timewalk_drift0,s02b_template,0,3.3854458249546915,3,9171,59
s02e_binned_timewalk_drift1,s02b_template,1,22.110322226929423,3,9171,59
s02e_binned_timewalk_drift2,s02b_template,2,45.842677819704285,3,9171,59
s02e_global_timewalk_drift0,template_phase,0,1.7597684876343838,3,9171,59
s02e_global_timewalk_drift1,template_phase,1,10.445277630359238,3,9171,59
s02e_global_timewalk_drift2,template_phase,2,17.851324680409544,3,9171,59
s02e_binned_timewalk_drift0,s02b_template,0,2.5579295469350143,3,9036,60
s02e_binned_timewalk_drift1,s02b_template,1,3.2989699197484215,3,9036,60
s02e_binned_timewalk_drift2,s02b_template,2,3.418291723736766,3,9036,60
s02e_global_timewalk_drift0,template_phase,0,1.7339117935367596,3,9036,60
s02e_global_timewalk_drift1,template_phase,1,2.5270257837910743,3,9036,60
s02e_global_timewalk_drift2,template_phase,2,5.610973221141986,3,9036,60
s02e_binned_timewalk_drift0,s02b_template,0,2.9389952374558668,3,8661,61
s02e_binned_timewalk_drift1,s02b_template,1,2.9971468336203984,3,8661,61
s02e_binned_timewalk_drift2,s02b_template,2,18.417007099333482,3,8661,61
s02e_global_timewalk_drift0,template_phase,0,1.687042030834751,3,8661,61
s02e_global_timewalk_drift1,template_phase,1,1.783260016250462,3,8661,61
s02e_global_timewalk_drift2,template_phase,2,30.60019344384732,3,8661,61
s02e_binned_timewalk_drift0,s02b_template,0,2.8937626352868135,3,9039,62
s02e_binned_timewalk_drift1,s02b_template,1,10.025922037098258,3,9039,62
s02e_binned_timewalk_drift2,s02b_template,2,24.344800225497824,3,9039,62
s02e_global_timewalk_drift0,template_phase,0,1.7296391522666221,3,9039,62
s02e_global_timewalk_drift1,template_phase,1,7.529314553048098,3,9039,62
s02e_global_timewalk_drift2,template_phase,2,18.91153799838266,3,9039,62
s02e_binned_timewalk_drift0,s02b_template,0,2.8988771359511674,3,10350,63
s02e_binned_timewalk_drift1,s02b_template,1,11.124146584872639,3,10350,63
s02e_binned_timewalk_drift2,s02b_template,2,16.191188963753486,3,10350,63
s02e_global_timewalk_drift0,template_phase,0,1.7398807177929134,3,10350,63
s02e_global_timewalk_drift1,template_phase,1,13.330047002397519,3,10350,63
s02e_global_timewalk_drift2,template_phase,2,21.977933344492243,3,10350,63
s02e_binned_timewalk_drift0,s02b_template,0,3.1024711375815315,3,11262,65
s02e_binned_timewalk_drift1,s02b_template,1,3.5768271120644948,3,11262,65
s02e_binned_timewalk_drift2,s02b_template,2,23.987645642183285,3,11262,65
s02e_global_timewalk_drift0,template_phase,0,1.7465451993808643,3,11262,65
s02e_global_timewalk_drift1,template_phase,1,2.7247971682361776,3,11262,65
s02e_global_timewalk_drift2,template_phase,2,21.63940183279037,3,11262,65
